error_type,feature,direction,case_count,appearance_count,mean_abs_shap,mean_shap_value,median_rank,feature_group,korean_name,description,case_share
false_negative,capital_impairment_ratio,decrease_risk,16,16,0.4048071838915348,-0.4048071838915348,4.5,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,0.6956521739130435
false_negative,dividend_payer,decrease_risk,15,15,0.38529444734255475,-0.38529444734255475,4.0,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0.6521739130434783
false_negative,gross_profit,increase_risk,14,14,0.3858086307133947,0.3858086307133947,4.0,profitability_returns,매출총이익,매출총이익(손실),0.6086956521739131
false_negative,equity_ratio,decrease_risk,14,14,0.2672407595174653,-0.2672407595174653,7.5,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,0.6086956521739131
false_negative,interest_coverage_ratio,increase_risk,10,10,0.3275814458727836,0.3275814458727836,6.0,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,0.43478260869565216
false_negative,total_debt_turnover,decrease_risk,10,10,0.30549116507172586,-0.30549116507172586,7.0,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,0.43478260869565216
false_negative,assets_total,decrease_risk,9,9,0.5775468250115713,-0.5775468250115713,5.0,stability_leverage,자산총계,총자산,0.391304347826087
false_negative,gross_profit,decrease_risk,8,8,0.7944984082132578,-0.7944984082132578,1.5,profitability_returns,매출총이익,매출총이익(손실),0.34782608695652173
false_negative,net_margin,decrease_risk,8,8,0.39477771893143654,-0.39477771893143654,4.5,profitability_returns,순이익률,매출액 대비 당기순이익 비율,0.34782608695652173
false_negative,cashflow_coverage_ratio,decrease_risk,8,8,0.3077402152121067,-0.3077402152121067,7.0,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,0.34782608695652173
false_negative,dividend_payer,increase_risk,8,8,0.24570720270276067,0.24570720270276067,7.0,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0.34782608695652173
false_negative,listed_year,decrease_risk,7,7,0.27348757854529787,-0.27348757854529787,5.0,context,상장연도,상장일에서 추출한 연도,0.30434782608695654
false_negative,depreciation,increase_risk,7,7,0.19880441895553042,0.19880441895553042,9.0,cashflow_structure,감가상각비,감가상각비,0.30434782608695654
false_negative,depreciation,decrease_risk,6,6,0.8669644494851431,-0.8669644494851431,2.5,cashflow_structure,감가상각비,감가상각비,0.2608695652173913
false_negative,interest_coverage_ratio,decrease_risk,6,6,0.7736955483754476,-0.7736955483754476,1.0,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,0.2608695652173913
false_negative,industry_macro_category,increase_risk,6,6,0.22672368586063382,0.22672368586063382,7.5,context,산업 대분류,모델링용 산업 대분류,0.2608695652173913
false_negative,capital_impairment_ratio,increase_risk,5,5,0.41874018907546995,0.41874018907546995,4.0,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,0.21739130434782608
false_negative,firm_size_group,decrease_risk,5,5,0.35444894433021545,-0.35444894433021545,8.0,context,기업규모 그룹,모델링용 기업규모 그룹,0.21739130434782608
false_negative,equity_ratio,increase_risk,5,5,0.32727804481983186,0.32727804481983186,5.0,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,0.21739130434782608
false_negative,assets_total,increase_risk,5,5,0.27748553752899163,0.27748553752899163,4.0,stability_leverage,자산총계,총자산,0.21739130434782608
false_negative,net_margin,increase_risk,4,4,0.5225438177585602,0.5225438177585602,2.5,profitability_returns,순이익률,매출액 대비 당기순이익 비율,0.17391304347826086
false_negative,short_term_borrowings_share,decrease_risk,4,4,0.4302985817193985,-0.4302985817193985,7.0,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,0.17391304347826086
false_negative,net_margin_diff,decrease_risk,4,4,0.29322831332683563,-0.29322831332683563,10.0,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,0.17391304347826086
false_negative,firm_size_group,increase_risk,4,4,0.2902484610676765,0.2902484610676765,7.0,context,기업규모 그룹,모델링용 기업규모 그룹,0.17391304347826086
false_negative,cashflow_coverage_ratio,increase_risk,4,4,0.18674974888563153,0.18674974888563153,8.0,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,0.17391304347826086
false_negative,industry_macro_category,decrease_risk,3,3,0.7279705007870992,-0.7279705007870992,1.0,context,산업 대분류,모델링용 산업 대분류,0.13043478260869565
false_negative,market_to_book,increase_risk,3,3,0.7263664503892263,0.7263664503892263,3.0,market_shareholder,Market-to-Book,시가총액 대비 장부가치 비율,0.13043478260869565
false_negative,listed_year,increase_risk,3,3,0.41823498407999676,0.41823498407999676,6.0,context,상장연도,상장일에서 추출한 연도,0.13043478260869565
false_negative,ocf_to_sales,decrease_risk,3,3,0.2693679382403691,-0.2693679382403691,6.0,cashflow_structure,OCF/매출액,매출액 대비 영업현금흐름 비율,0.13043478260869565
false_negative,accruals_ratio,increase_risk,3,3,0.2654081284999847,0.2654081284999847,8.0,cashflow_structure,발생액 비율,총자산 대비 순이익과 영업현금흐름의 차이 (이익품질 지표),0.13043478260869565
false_negative,total_debt_turnover,increase_risk,3,3,0.2284146845340728,0.2284146845340728,8.0,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,0.13043478260869565
false_negative,cash_ratio,decrease_risk,2,2,0.4365401118993759,-0.4365401118993759,5.0,stability_leverage,현금비율,유동부채 대비 현금및현금성자산 비율,0.08695652173913043
false_negative,total_borrowings_ratio,decrease_risk,2,2,0.43238259851932526,-0.43238259851932526,5.5,stability_leverage,총차입금비율,총자산 대비 총차입금 비율,0.08695652173913043
false_negative,intangible_assets_ratio,decrease_risk,2,2,0.39453527331352234,-0.39453527331352234,5.5,cashflow_structure,무형자산 비중,총자산 대비 무형자산 비율,0.08695652173913043
false_negative,ocf_to_total_borrowings,decrease_risk,2,2,0.37798211723566055,-0.37798211723566055,6.0,cashflow_structure,OCF/총차입금,총차입금 대비 영업현금흐름 비율,0.08695652173913043
