policy,threshold_detail,pr_auc,roc_auc,brier,logloss,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
valid_recall85_max_precision,global:0.315,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6293103448275862,0.874251497005988,0.731829573934837,419,86,21,146
global_max_precision_recall_ge_0.80,global:0.335,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6359447004608295,0.8263473053892215,0.71875,426,79,29,138
global_max_precision_recall_ge_0.85,global:0.315,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6293103448275862,0.874251497005988,0.731829573934837,419,86,21,146
global_max_precision_recall_ge_0.88,global:0.245,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.573076923076923,0.8922155688622755,0.6978922716627635,394,111,18,149
global_best_valid_f1,global:0.335,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6359447004608295,0.8263473053892215,0.71875,426,79,29,138
market_segment_best_valid_f1,KOSDAQ:0.335; KOSPI:0.290; fallback:0.315,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6318181818181818,0.8323353293413174,0.7183462532299741,424,81,28,139
industry_macro_category_segment_best_valid_f1,it_services:0.335; manufacturing:0.335; wholesale_retail:0.505; fallback:0.315,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6342592592592593,0.8203592814371258,0.7154046997389034,426,79,30,137
targeted_market_KOSDAQ_recall_ge_0.80,market=KOSDAQ:0.360; fallback:0.315,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6462264150943396,0.8203592814371258,0.7229551451187335,430,75,30,137
targeted_market_KOSDAQ_recall_ge_0.85,market=KOSDAQ:0.335; fallback:0.315,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6376146788990825,0.8323353293413174,0.7220779220779221,426,79,28,139
targeted_industry_macro_category_manufacturing_recall_ge_0.80,industry_macro_category=manufacturing:0.335; fallback:0.315,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6318181818181818,0.8323353293413174,0.7183462532299741,424,81,28,139
targeted_industry_macro_category_it_services_recall_ge_0.80,industry_macro_category=it_services:0.360; fallback:0.315,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.631578947368421,0.8622754491017964,0.7291139240506329,421,84,23,144
