variant,note,feature_count,best_iteration,threshold_tuned,threshold_selection_rule,valid_precision_at_threshold,valid_recall_at_threshold,valid_f1_at_threshold,test_pr_auc,test_roc_auc,test_brier,test_logloss,raw_test_pr_auc,raw_test_roc_auc,raw_test_brier,raw_test_logloss,test_precision,test_recall,test_f1,test_true_negative,test_false_positive,test_false_negative,test_true_positive
baseline_43_native,"현재 43개 변수, XGBoost native missing 기준",43,332,0.315,valid_max_precision_with_recall_ge_0.85,0.6651982378854625,0.8579545454545454,0.749379652605459,0.7743939580944008,0.9110393075235668,0.10178817167985191,0.3210880411511589,0.7743939580944008,0.9110393075235668,0.11845694202942965,0.3719453511720213,0.64,0.8622754491017964,0.7346938775510204,424,81,23,144
drop_firm_size_dummies_native,기업규모 one-hot 제거,39,333,0.29,valid_max_precision_with_recall_ge_0.85,0.6425531914893617,0.8579545454545454,0.7347931873479319,0.7711094872262512,0.9065690401375467,0.10398989037304973,0.3270362250752989,0.7711094872262512,0.9065690401375467,0.12039955246835118,0.3752077057010739,0.6101694915254238,0.8622754491017964,0.7146401985111662,413,92,23,144
scale_adjusted_amounts_add_native,총자산 대비 매출총이익/감가상각비 + log 총자산 추가,46,359,0.305,valid_max_precision_with_recall_ge_0.85,0.6493506493506493,0.8522727272727273,0.7371007371007371,0.7745115427065479,0.9100610659868382,0.10266818546567812,0.32195715396040037,0.7745115427065479,0.9100610659868382,0.11902651730090807,0.3725668065661134,0.6094420600858369,0.8502994011976048,0.71,414,91,25,142
amount_log_replace_native,절대금액 3개를 signed log1p 변수로 대체,43,248,0.31,valid_max_precision_with_recall_ge_0.85,0.6452991452991453,0.8579545454545454,0.7365853658536585,0.7679095567066219,0.9072804885278948,0.1035893799979349,0.32551550882488633,0.7679095567066219,0.9072804885278948,0.12334961286588209,0.38154939694366957,0.6094420600858369,0.8502994011976048,0.71,414,91,25,142
log_amounts_drop_firm_size_native,절대금액은 log로 대체하고 기업규모 one-hot 제거,39,226,0.295,valid_max_precision_with_recall_ge_0.85,0.6302521008403361,0.8522727272727273,0.7246376811594203,0.7709737499772311,0.9061777435228553,0.10427251047797925,0.3275797842682146,0.7709737499772311,0.9061777435228553,0.12325445946931242,0.378855160541629,0.5991735537190083,0.8682634730538922,0.7090464547677262,408,97,22,145
amount_log_add_native,절대금액 raw 유지 + signed log1p 변수 추가,46,352,0.26,valid_max_precision_with_recall_ge_0.85,0.6477732793522267,0.9090909090909091,0.7565011820330969,0.773814185831596,0.9093377601233177,0.10290906636213139,0.32370473322714893,0.773814185831596,0.9093377601233177,0.11928806762789226,0.3736716870268485,0.5896414342629482,0.8862275449101796,0.7081339712918661,402,103,19,148
full_shap_context_add_native,log 절대금액 + 산업 백분위 + 규모보정 + 전년 변화량 통합,69,129,0.325,valid_max_precision_with_recall_ge_0.85,0.6607929515418502,0.8522727272727273,0.7444168734491315,0.7634292601245461,0.9040315408786388,0.10477391510236651,0.3310039957722199,0.7634292601245461,0.9040315408786388,0.12096670620787259,0.3738496166126484,0.6133333333333333,0.8263473053892215,0.7040816326530612,418,87,29,138
lag_delta_key_ratios_add_native,주요 재무비율의 전년 대비 변화량 추가,52,261,0.32,valid_max_precision_with_recall_ge_0.85,0.6425531914893617,0.8579545454545454,0.7347931873479319,0.7725432747388763,0.9063674630936147,0.10399661949860908,0.32527728887254714,0.7725432747388763,0.9063674630936147,0.11986851440693244,0.3683277043277461,0.5949367088607594,0.844311377245509,0.698019801980198,409,96,26,141
ratio_industry_pct_add_native,SHAP 상위 재무비율의 산업-연도 내부 백분위 추가,52,168,0.32,valid_max_precision_with_recall_ge_0.85,0.6410256410256411,0.8522727272727273,0.7317073170731707,0.7664928592743001,0.905661943439853,0.10443980584305096,0.329495896765916,0.7664928592743001,0.905661943439853,0.12357433384254866,0.37943719639384443,0.5850622406639004,0.844311377245509,0.6911764705882353,405,100,26,141
industry_amount_pct_add_native,절대금액 raw 유지 + 산업-연도 내부 백분위 추가,46,139,0.32,valid_max_precision_with_recall_ge_0.85,0.6455696202531646,0.8693181818181818,0.7409200968523002,0.7622714662033546,0.9040967569810874,0.10542205692125546,0.3316640686029083,0.7622714662033546,0.9040967569810874,0.1285387703815984,0.39345135004972526,0.5864978902953587,0.8323353293413174,0.6881188118811881,407,98,28,139
industry_amount_pct_replace_native,절대금액 3개를 산업-연도 내부 백분위로 대체,43,330,0.275,valid_max_precision_with_recall_ge_0.85,0.652542372881356,0.875,0.7475728155339806,0.7640591099534609,0.903355664907808,0.10664459637325271,0.33182598074714964,0.7640591099534609,0.903355664907808,0.12560234873266918,0.3876288502927543,0.5674603174603174,0.8562874251497006,0.6825775656324582,396,109,24,143
