market,stock_code,corp_name,fiscal_year,eval_year,is_speculative,credit_rating,credit_rating_rank,representative_rating_agency,representative_rating_agency_code,representative_rating_target,representative_rating_date,representative_disclosure_date,representative_current_outlook,is_model_input_available,model_input_dataset,source_rating_count,source_agencies,source_targets,source_rating_dates,source_periods,source_files,source_pdf_company_names
KOSDAQ,035760,(주)씨제이이엔엠,2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-02-03,2026-02-04,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-03,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)씨제이이엔엠
KOSDAQ,086890,(주)이수앱지스,2025,2026,1,BB-,13,한국기업평가,KR,회사채,2026-03-31,2026-03-31,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-03-31,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)이수앱지스
KOSPI,000120,씨제이대한통운(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-01-20,2026-01-20,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-20,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,CJ대한통운(주)
KOSPI,000660,에스케이하이닉스(주),2025,2026,0,AA+,2,한국기업평가,KR,회사채,2026-01-29,2026-01-30,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-29,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에스케이하이닉스(주)
KOSPI,000720,현대건설(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-01-15,2026-01-16,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-15,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,현대건설(주)
KOSPI,000880,(주)한화,2025,2026,0,A+,5,한국기업평가,KR,회사채,2026-02-11,2026-02-11,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-11,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)한화
KOSPI,001040,씨제이(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-01-23,2026-01-23,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-23,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,CJ(주)
KOSPI,001680,대상(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-01-15,2026-01-16,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-15,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,대상(주)
KOSPI,002320,(주)한진,2025,2026,0,BBB+,8,한국기업평가,KR,회사채,2026-01-09,2026-01-09,긍정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-09,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)한진
KOSPI,002380,(주)케이씨씨,2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-01-15,2026-01-16,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-15,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)케이씨씨
KOSPI,003490,(주)대한항공,2025,2026,0,A,6,한국기업평가,KR,회사채,2026-02-24,2026-02-25,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-24,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)대한항공
KOSPI,004170,(주)신세계,2025,2026,0,AA,3,한국기업평가,KR,회사채,2026-01-13,2026-01-13,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-13,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)신세계
KOSPI,004710,한솔테크닉스(주),2025,2026,0,BBB+,8,한국기업평가,KR,회사채,2026-03-12,2026-03-12,안정적,True,feature_44_inference_2026,4,한국기업평가,회사채,2026-01-27;2026-03-12,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한솔테크닉스(주)
KOSPI,004990,롯데지주(주),2025,2026,0,A+,5,한국기업평가,KR,회사채,2026-02-11,2026-02-11,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-11,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,롯데지주(주)
KOSPI,006120,에스케이디스커버리(주),2025,2026,0,A+,5,한국기업평가,KR,회사채,2026-01-20,2026-01-20,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-20,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에스케이디스커버리(주)
KOSPI,006280,(주)녹십자,2025,2026,0,A+,5,한국기업평가,KR,회사채,2026-02-24,2026-02-24,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-24,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)녹십자
KOSPI,007980,티피(주),2025,2026,0,BBB-,10,한국기업평가,KR,회사채,2026-03-20,2026-03-20,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-03-20,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,티피(주)
KOSPI,009540,에이치디한국조선해양(주),2025,2026,0,AA-,4,한국기업평가,KR,기업신용평가,2026-03-25,2026-03-25,안정적,True,feature_44_inference_2026,1,한국기업평가,기업신용평가,2026-03-25,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에이치디한국조선해양(주)
KOSPI,011170,롯데케미칼(주),2025,2026,0,AA-,4,한국기업평가,KR,기업신용평가,2026-03-06,2026-03-06,안정적,True,feature_44_inference_2026,1,한국기업평가,기업신용평가,2026-03-06,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,롯데케미칼(주)
KOSPI,011760,현대코퍼레이션(주),2025,2026,0,A,6,한국기업평가,KR,회사채,2026-02-26,2026-02-27,긍정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-26,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,현대코퍼레이션(주)
KOSPI,012450,한화에어로스페이스(주),2025,2026,0,AA,3,한국기업평가,KR,회사채,2026-01-02,2026-01-02,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-02,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한화에어로스페이스(주)
KOSPI,014680,(주)한솔케미칼,2025,2026,0,A+,5,한국기업평가,KR,회사채,2026-02-13,2026-02-13,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-02-13,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)한솔케미칼
KOSPI,015760,한국전력공사(주),2025,2026,0,AAA,1,한국기업평가,KR,회사채,2026-03-30,2026-03-31,안정적,True,feature_44_inference_2026,3,한국기업평가,회사채,2026-01-02;2026-03-30,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한국전력공사
KOSPI,018670,에스케이가스(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-01-14,2026-01-14,안정적,True,feature_44_inference_2026,1,한국기업평가,회사채,2026-01-14,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에스케이가스(주)
KOSPI,018880,한온시스템(주),2025,2026,0,AA-,4,한국기업평가,KR,회사채,2026-03-23,2026-03-23,안정적,True,feature_44_inference_2026,2,한국기업평가,회사채,2026-03-23,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,한온시스템(주)
