universe,market,stock_code,corp_name,fiscal_year,eval_year,as_of_date,has_prior_rating,prior_credit_rating,prior_credit_rating_rank,prior_is_speculative,prior_rating_boundary_group,prior_rating_date,prior_rating_age_days,prior_rating_agency,prior_rating_agency_group,prior_rating_target,prior_source_eval_year,prior_source_label_set,prior_selection_scope,prior_selection_rule,prior_reference_rule
inference_2026,KOSDAQ,000250,삼천당제약(주),2025,2026,2025-12-31,True,BBB-,10,0,exact_bbb_minus_bb_plus_boundary,2024-12-31,365,NICE평가정보주식회사,OTHER,기업신용등급,2024,legacy_target_processed_audit,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,latest_public_rating_on_or_before_fiscal_year_end_then_worst_if_tied
inference_2026,KOSDAQ,000440,(주)중앙에너비스,2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,0007C0,(주)아크릴,2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,0008Z0,에스엔시스(주),2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,0009K0,(주)에임드바이오,2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,001000,신라섬유(주),2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,0010V0,제이피아이헬스케어(주),2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,0013V0,삼진식품(주),2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,001540,안국약품(주),2025,2026,2025-12-31,True,BBB+,8,0,investment_grade_non_boundary,2022-12-22,1105,(주)NICE디앤비,OTHER,기업신용등급,2022,legacy_target_processed_audit,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,latest_public_rating_on_or_before_fiscal_year_end_then_worst_if_tied
inference_2026,KOSDAQ,0015G0,(주)그린광학,2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,0015N0,(주)아로마티카,2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
inference_2026,KOSDAQ,0015S0,(주)페스카로,2025,2026,2025-12-31,False,,,,no_prior_rating,,,,,,,,,,no_public_rating_on_or_before_fiscal_year_end
