market,stock_code,corp_name,fiscal_year,eval_year,pdf_company_name,rating_agency,rating_agency_code,rating_target,rating_date,disclosure_date,credit_rating,credit_rating_rank,is_speculative,current_outlook,source_period,source_file,matched_alias,raw_excerpt
KOSDAQ,035760,(주)씨제이이엔엠,2025,2026,(주)씨제이이엔엠,한국기업평가,KR,회사채,2026-02-03,2026-02-04,AA-,4,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)씨제이이엔엠,(주)씨제이이엔엠 SB 본 29-1 900 AA- (안정적)
KOSDAQ,086890,(주)이수앱지스,2025,2026,(주)이수앱지스,한국기업평가,KR,회사채,2026-03-31,2026-03-31,BB-,13,1,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)이수앱지스,(주)이수앱지스 CB 정기 8 500BB- (안정적)BB- (안정적)
KOSPI,000120,씨제이대한통운(주),2025,2026,CJ대한통운(주),한국기업평가,KR,회사채,2026-01-20,2026-01-20,AA-,4,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,씨제이대한통운(주),CJ대한통운(주) SB 본 104-1 800 AA- (안정적)
KOSPI,000660,에스케이하이닉스(주),2025,2026,에스케이하이닉스(주),한국기업평가,KR,회사채,2026-01-29,2026-01-30,AA+,2,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,에스케이하이닉스(주),"에스케이하이닉스(주) SB 수시 220-3 1,200AA (긍정적)AA+ (안정적)"
KOSPI,000720,현대건설(주),2025,2026,현대건설(주),한국기업평가,KR,회사채,2026-01-15,2026-01-16,AA-,4,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,현대건설(주),"현대건설(주) SB 본 311-1 1,400 AA- (안정적)"
KOSPI,000880,(주)한화,2025,2026,(주)한화,한국기업평가,KR,회사채,2026-02-11,2026-02-11,A+,5,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)한화,"(주)한화 SB 본 254-1 1,330 A+ (안정적)"
KOSPI,001040,씨제이(주),2025,2026,CJ(주),한국기업평가,KR,회사채,2026-01-23,2026-01-23,AA-,4,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,씨제이(주),"CJ(주) SB 본 160 1,500 AA- (안정적)"
KOSPI,001680,대상(주),2025,2026,대상(주),한국기업평가,KR,회사채,2026-01-15,2026-01-16,AA-,4,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,대상(주),"대상(주) SB 본 149-1 2,100 AA- (안정적)"
KOSPI,002320,(주)한진,2025,2026,(주)한진,한국기업평가,KR,회사채,2026-01-09,2026-01-09,BBB+,8,0,긍정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)한진,(주)한진 SB 본 126-1 380 BBB+ (긍정적)
KOSPI,002380,(주)케이씨씨,2025,2026,(주)케이씨씨,한국기업평가,KR,회사채,2026-01-15,2026-01-16,AA-,4,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)케이씨씨,"(주)케이씨씨 SB 본 80-1 1,000 AA- (안정적)"
KOSPI,003490,(주)대한항공,2025,2026,(주)대한항공,한국기업평가,KR,회사채,2026-02-24,2026-02-25,A,6,0,안정적,2026-01-01~2026-03-31,신용등급공시 | 등급속보 | 등급공시 - 한국기업평가 (Korea Ratings).pdf,(주)대한항공,"(주)대한항공 SB 본 115-1 2,320 A (안정적)"
