market,stock_code,corp_name,fiscal_year,eval_year,is_speculative,credit_rating,credit_rating_rank,rating_agency,rating_agency_group,rating_target,rating_date,selection_scope,selection_rule,candidate_count_in_year,big3_candidate_count_in_year,other_domestic_candidate_count_in_year,foreign_candidate_count_in_year,source_label_set
KOSDAQ,001840,이화공영(주),2014,2015,0,A-,7,SCI평가정보,OTHER,기업신용등급,2015-12-31,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,005160,동국산업(주),2014,2015,0,BBB+,8,NICE신용평가,BIG3,기업신용등급,2015-12-28,BIG3,worst_rating_then_latest_rating_date_for_diagnostics,4,4,0,0,legacy_target_processed_audit
KOSDAQ,007820,(주)에스엠코어,2014,2015,0,A-,7,이크레더블,OTHER,기업신용등급,2015-04-13,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,3,0,3,0,legacy_target_processed_audit
KOSDAQ,010170,대한광통신(주),2014,2015,1,BB,12,NICE신용평가,BIG3,기업신용평가,2015-04-15,BIG3,worst_rating_then_latest_rating_date_for_diagnostics,1,1,0,0,legacy_target_processed_audit
KOSDAQ,010240,(주)흥국,2014,2015,0,BBB,9,한국기업데이터,OTHER,기업신용등급,2015-04-01,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,010280,(주)아이티센엔텍,2014,2015,0,A-,7,서울신용평가정보,OTHER,기업신용평가,2015-03-24,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,011370,(주)서한,2014,2015,0,A-,7,서울신용평가정보(주),OTHER,회사채,2015-04-21,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,3,0,3,0,legacy_target_processed_audit
KOSDAQ,012700,(주)리드코프,2014,2015,0,BBB,9,한국신용평가,BIG3,기업신용등급,2015-06-30,BIG3,worst_rating_then_latest_rating_date_for_diagnostics,3,2,1,0,legacy_target_processed_audit
KOSDAQ,017000,신원종합개발(주),2014,2015,0,A-,7,나이스디엔비,OTHER,기업신용평가,2015-06-29,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,2,0,2,0,legacy_target_processed_audit
KOSDAQ,017480,삼현철강(주),2014,2015,0,A-,7,한국기업데이터(주),OTHER,기업신용평가,2015-08-13,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,017890,한국알콜산업(주),2014,2015,0,AA,3,크레탑,OTHER,회사전체,2015-05-07,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,019210,(주)와이지-원,2014,2015,0,BBB,9,한국기업평가,BIG3,회사채,2015-04-29,BIG3,worst_rating_then_latest_rating_date_for_diagnostics,1,1,0,0,legacy_target_processed_audit
KOSDAQ,019770,(주)서연탑메탈,2014,2015,0,A-,7,NICE신용평가,BIG3,기업신용평가,2015-04-15,BIG3,worst_rating_then_latest_rating_date_for_diagnostics,4,1,3,0,legacy_target_processed_audit
KOSDAQ,021320,(주)케이씨씨건설,2014,2015,0,A-,7,한국신용평가,BIG3,공모사채(19-2회),2015-04-22,BIG3,worst_rating_then_latest_rating_date_for_diagnostics,5,5,0,0,legacy_target_processed_audit
KOSDAQ,024830,(주)세원물산,2014,2015,0,BBB,9,NICE신용평가정보,OTHER,상응 회사채,2015-04-23,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,025440,(주)디에이치오토웨어,2014,2015,1,BB-,13,한국기업평가,BIG3,사모사채,2015-08-31,BIG3,worst_rating_then_latest_rating_date_for_diagnostics,2,2,0,0,legacy_target_processed_audit
KOSDAQ,026150,(주)특수건설,2014,2015,0,BBB+,8,한국기업데이터,OTHER,기업신용평가,2015-05-31,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,026960,(주)동서,2014,2015,0,AA,3,NICE평가정보(주),OTHER,기업신용,2015-05-04,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,027710,(주)팜스토리,2014,2015,1,BB+,11,NICE신용평가,BIG3,회사채,2015-02-28,BIG3,worst_rating_then_latest_rating_date_for_diagnostics,1,1,0,0,legacy_target_processed_audit
KOSDAQ,028300,에이치엘비(주),2014,2015,1,BB+,11,한국기업데이터,OTHER,기업신용평가,2015-12-31,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,029960,(주)코엔텍,2014,2015,0,A+,5,서울신용평가정보,OTHER,기업신용인증용,2015-03-26,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,030530,(주)원익홀딩스,2014,2015,0,A+,5,이크레더블,OTHER,기업평가,2015-04-13,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
KOSDAQ,032080,(주)아즈텍더블유비이,2014,2015,0,BBB,9,AAA~D,OTHER,기업신용평가,2015-12-31,OTHER_DOMESTIC,worst_rating_then_latest_rating_date_for_diagnostics,1,0,1,0,legacy_target_processed_audit
