agency,rating_raw,rating_normalized
한국기업평가,AAA,AAA
한국기업평가,AA+,AA+
한국기업평가,AA,AA
한국기업평가,AA-,AA-
한국기업평가,A+,A+
한국기업평가,A,A
한국기업평가,A-,A-
한국기업평가,BBB+,BBB+
한국기업평가,BBB,BBB
한국기업평가,BBB-,BBB-
한국기업평가,BB+,BB+
한국기업평가,BB,BB
한국기업평가,BB-,BB-
한국기업평가,B+,B+
한국기업평가,B,B
한국기업평가,B-,B-
한국기업평가,CCC+,CCC+
한국기업평가,CCC,CCC
한국기업평가,CCC-,CCC-
한국기업평가,CC,CC
한국기업평가,C,C
한국기업평가,D,D
한국신용평가,AAA,AAA
한국신용평가,AA+,AA+
한국신용평가,AA,AA
한국신용평가,AA-,AA-
한국신용평가,A+,A+
한국신용평가,A,A
한국신용평가,A-,A-
한국신용평가,BBB+,BBB+
한국신용평가,BBB,BBB
한국신용평가,BBB-,BBB-
한국신용평가,BB+,BB+
한국신용평가,BB,BB
한국신용평가,BB-,BB-
한국신용평가,B+,B+
한국신용평가,B,B
한국신용평가,B-,B-
한국신용평가,CCC+,CCC+
한국신용평가,CCC,CCC
한국신용평가,CCC-,CCC-
한국신용평가,CC,CC
한국신용평가,C,C
한국신용평가,D,D
NICE신용평가,AAA,AAA
NICE신용평가,AA+,AA+
NICE신용평가,AA,AA
NICE신용평가,AA-,AA-
NICE신용평가,A+,A+
NICE신용평가,A,A
NICE신용평가,A-,A-
NICE신용평가,BBB+,BBB+
NICE신용평가,BBB,BBB
NICE신용평가,BBB-,BBB-
NICE신용평가,BB+,BB+
NICE신용평가,BB,BB
NICE신용평가,BB-,BB-
NICE신용평가,B+,B+
NICE신용평가,B,B
NICE신용평가,B-,B-
NICE신용평가,CCC+,CCC+
NICE신용평가,CCC,CCC
NICE신용평가,CCC-,CCC-
NICE신용평가,CC,CC
NICE신용평가,C,C
NICE신용평가,D,D
이크레더블,AAA,AAA
이크레더블,AA+,AA+
이크레더블,AA,AA
이크레더블,AA-,AA-
이크레더블,A+,A+
이크레더블,A,A
이크레더블,A-,A-
이크레더블,BBB+,BBB+
이크레더블,BBB,BBB
이크레더블,BBB-,BBB-
이크레더블,BB+,BB+
이크레더블,BB,BB
이크레더블,BB-,BB-
이크레더블,B+,B+
이크레더블,B,B
이크레더블,B-,B-
이크레더블,CCC+,CCC+
이크레더블,CCC,CCC
이크레더블,CCC-,CCC-
이크레더블,CC,CC
이크레더블,C,C
이크레더블,D,D
나이스디앤비,AAA,AAA
나이스디앤비,AA+,AA+
나이스디앤비,AA,AA
나이스디앤비,AA-,AA-
나이스디앤비,A+,A+
나이스디앤비,A,A
나이스디앤비,A-,A-
나이스디앤비,BBB+,BBB+
나이스디앤비,BBB,BBB
나이스디앤비,BBB-,BBB-
나이스디앤비,BB+,BB+
나이스디앤비,BB,BB
나이스디앤비,BB-,BB-
나이스디앤비,B+,B+
나이스디앤비,B,B
나이스디앤비,B-,B-
나이스디앤비,CCC+,CCC+
나이스디앤비,CCC,CCC
나이스디앤비,CCC-,CCC-
나이스디앤비,CC,CC
나이스디앤비,C,C
나이스디앤비,D,D
