,listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit
listed_year,1.0,0.1390718383846971,0.09595522954532669,-0.17921190631225659,0.2177573426531735,-0.03955375402090575,-0.16553598393920543,-0.021635607307695027,-0.043670163656955224,-0.1390678901291059,0.13279874063686914,-0.025918044697550973,-0.017802525787065187,-0.019831437761338586,0.052708456272103986,-0.019432698277614565,-0.10901877847749401,0.039680699058248836,0.11177095857813518,-0.21652159087384906,0.18702581896570844,0.09100057829337498,0.08555382422210556,0.05651732964394725,0.011787079719674524,0.019178272784911854
current_ratio,0.1390718383846971,1.0,0.8348752851181881,-0.07386139086725178,0.46148383163666873,-0.03567839940380197,-0.30185255846365616,0.021268130163558583,0.026482268523958692,-0.07632116867581253,0.09034077386972919,0.09905694314844662,0.005894487957453029,0.03123133391502863,0.2484932316442335,0.09165696006356298,-0.06680555655798269,-0.059656079118943044,0.3987715253705757,-0.033468015259718806,0.1343736277292725,0.049615560492607416,-0.030630495800780876,0.016967960768574167,0.017733242502656343,-0.0365433280377987
cash_ratio,0.09595522954532669,0.8348752851181881,1.0,-0.041272435479500755,0.2636278508571479,-0.020327878151555054,-0.17155172512432917,0.011163559438325175,0.028171103079201818,-0.041372124380626145,0.0322644739006279,0.040924111317202534,-0.03250690867196609,0.012937754570535372,0.14675734048197836,0.025927066432939776,-0.037444649556260055,-0.026012547690060332,0.20156191629852116,-0.0564975623388433,0.1560602509674228,0.04646236665695234,-0.058107564776872817,0.03183020054706052,0.017607310682612835,-0.023505306814337563
assets_total,-0.17921190631225659,-0.07386139086725178,-0.041272435479500755,1.0,-0.15859262514483996,0.014920468663471425,0.08515082339807035,-0.4540426624126522,0.021496229581917575,0.6846830421174739,-0.10540858698454855,0.022353387866150123,0.011994869888891023,0.014857433628198262,-0.024562026362219398,-0.001460656160925171,0.6764201548981778,0.08521288877194845,-0.14142550752954947,0.17497239600511244,-0.08874431808872504,-0.010573237365179006,-0.2095636563682107,0.06297300852440181,-0.0025810313873758546,-0.034447279205065275
equity_ratio,0.2177573426531735,0.46148383163666873,0.2636278508571479,-0.15859262514483996,1.0,-0.14473068794325683,-0.6670714664267952,0.004693768830564642,0.06667911088155447,-0.1048138282382461,0.14301939476740738,0.27854214350797746,0.2116047039276793,0.1370329024208156,0.37655699155722544,0.14780124990233828,-0.09928697905500042,0.0011061304800768286,0.586287041088102,0.038301012256330744,-0.037865177576397964,0.06412733719909212,0.11476318491040179,-0.0006031370515856968,0.030410693891523316,-0.09392865471951901
debt_ratio,-0.03955375402090575,-0.03567839940380197,-0.020327878151555054,0.014920468663471425,-0.14473068794325683,1.0,0.12906418353523222,0.007405708365454059,-0.015112604839650871,-0.001786645641818561,-0.010680444475545675,-0.04838387912719123,-0.03285654547585095,-0.3734566853581637,-0.03373535328145201,-0.028247974515682978,0.005175641626938402,-0.01881907126403271,-0.06037337418371559,-0.0056720294237017485,0.285408051774839,-0.026190356672932905,-0.023767895458047073,-0.018253470130586365,0.00030844026174732823,0.011242709368946868
total_borrowings_ratio,-0.16553598393920543,-0.30185255846365616,-0.17155172512432917,0.08515082339807035,-0.6670714664267952,0.12906418353523222,1.0,-0.016047401623675434,-0.05154729951951853,0.07215643226150134,-0.1342924974465904,-0.19110094842953593,-0.14600425050372656,-0.06971249398770649,-0.2879599596966004,-0.05403638562738952,0.08797718503892973,-0.03982149008638146,-0.4470342695627563,0.025998989202478135,-0.014729612089567485,-0.06620617890918319,-0.14181680112761916,-0.020315705655050708,-0.022934960751539904,0.06218238567734989
capital_impairment_ratio,-0.021635607307695027,0.021268130163558583,0.011163559438325175,-0.4540426624126522,0.004693768830564642,0.007405708365454059,-0.016047401623675434,1.0,-0.01818059138982064,-0.25664215491636255,0.011877886896231264,-0.0366664925729297,-0.02317222711349094,-0.016133041700362637,-0.006070877181667129,-0.01582165075877018,-0.41982822939077835,-0.09518702523066364,0.038682282124051635,-0.08996599751694566,0.04678835506745052,-0.013156464988483087,0.08348262963188066,-0.15803045977379,0.002351400970421696,0.03860137847555693
net_margin,-0.043670163656955224,0.026482268523958692,0.028171103079201818,0.021496229581917575,0.06667911088155447,-0.015112604839650871,-0.05154729951951853,-0.01818059138982064,1.0,0.03178324244987049,0.015052538547734034,0.5226100351283575,0.40078393619125197,0.2225054666132466,0.216261629179104,0.33794393945889967,0.020344591287893128,-0.02773311838182815,0.11328883926968253,0.13752010390295757,-0.3609670616339664,-0.015139251305440887,-0.006526233960758778,0.07499890673704661,0.18666499894504746,-0.19905604682007944
gross_profit,-0.1390678901291059,-0.07632116867581253,-0.041372124380626145,0.6846830421174739,-0.1048138282382461,-0.001786645641818561,0.07215643226150134,-0.25664215491636255,0.03178324244987049,1.0,-0.11116685479694584,0.07397640320211601,0.08431391845425397,0.030102608254655005,0.031003222676824108,-0.04357895174430343,0.7225698147785172,0.17352708621765287,-0.11002748680396586,0.1977346029065438,-0.06925076036119782,-0.018594342530728,-0.2689984745481202,0.022779316920676144,-0.00020538493588802642,-0.05311814573334872
interest_coverage_ratio,0.13279874063686914,0.09034077386972919,0.0322644739006279,-0.10540858698454855,0.14301939476740738,-0.010680444475545675,-0.1342924974465904,0.011877886896231264,0.015052538547734034,-0.11116685479694584,1.0,0.07987319706360468,0.07211294700597203,0.01652890754681958,0.14816677018783597,0.044801789733755544,-0.09463624144789776,0.013119662542797127,0.1814483586087374,-0.4211437322635093,0.003681732999358076,-0.0009042541571223657,0.052659782885407964,-0.1992000366772816,-0.0065666481262515505,-0.10896847343161528
pretax_roa,-0.025918044697550973,0.09905694314844662,0.040924111317202534,0.022353387866150123,0.27854214350797746,-0.04838387912719123,-0.19110094842953593,-0.0366664925729297,0.5226100351283575,0.07397640320211601,0.07987319706360468,1.0,0.8128618998730696,0.3876983550827685,0.44117990843085403,0.5943339760440063,0.030409472126026533,-0.01317582608905949,0.31013941057382227,0.31303127177839535,-0.21826360535595662,-0.008360790279065914,-0.05079451677537674,0.17594286912780494,0.12568897086327277,-0.3235416290738016
operating_roa,-0.017802525787065187,0.005894487957453029,-0.03250690867196609,0.011994869888891023,0.2116047039276793,-0.03285654547585095,-0.14600425050372656,-0.02317222711349094,0.40078393619125197,0.08431391845425397,0.07211294700597203,0.8128618998730696,1.0,0.24038928367617324,0.5243284554845051,0.2850347343497222,0.034477369789355866,0.002458232578215001,0.32164043239955686,0.3229963545160583,-0.1618508361696505,-0.025699385724461597,-0.06146754241976345,0.13180605381369137,0.033644204664372256,-0.33653997994233065
