feature_name,importance
listed_year,1690
capital_impairment_ratio,617
depreciation,567
assets_total,557
intangible_assets_ratio,553
market_to_book,537
total_debt_turnover,500
total_assets_growth,498
industry_macro_category,476
gross_profit,458
interest_coverage_ratio,447
ocf_to_total_liabilities,422
cash_ratio,413
net_margin,378
current_ratio,378
firm_size_group,358
total_borrowings_ratio,355
spec_spread,352
net_margin_diff,343
accruals_ratio,343
short_term_borrowings_share,338
operating_roa,319
equity_ratio,315
pretax_roe,235
debt_ratio,232
pretax_roa,149
dividend_payer,90
market,48
is_2y_consecutive_ocf_deficit,32
