feature_transformed,importance,feature_name
numeric__listed_year,1762,listed_year
numeric__capital_impairment_ratio,631,capital_impairment_ratio
numeric__market_to_book,558,market_to_book
numeric__depreciation,556,depreciation
numeric__intangible_assets_ratio,542,intangible_assets_ratio
numeric__assets_total,513,assets_total
numeric__total_debt_turnover,503,total_debt_turnover
numeric__gross_profit,451,gross_profit
numeric__interest_coverage_ratio,446,interest_coverage_ratio
numeric__total_assets_growth,437,total_assets_growth
numeric__cash_ratio,411,cash_ratio
numeric__ocf_to_total_liabilities,399,ocf_to_total_liabilities
numeric__net_margin_diff,384,net_margin_diff
numeric__net_margin,375,net_margin
numeric__current_ratio,363,current_ratio
numeric__short_term_borrowings_share,363,short_term_borrowings_share
numeric__accruals_ratio,354,accruals_ratio
numeric__spec_spread,343,spec_spread
numeric__total_borrowings_ratio,337,total_borrowings_ratio
numeric__operating_roa,318,operating_roa
numeric__equity_ratio,317,equity_ratio
numeric__debt_ratio,269,debt_ratio
numeric__pretax_roe,195,pretax_roe
numeric__pretax_roa,181,pretax_roa
categorical__firm_size_group_small_and_medium,149,firm_size_group
categorical__firm_size_group_large,140,firm_size_group
categorical__industry_macro_category_manufacturing,124,industry_macro_category
categorical__industry_macro_category_it_services,116,industry_macro_category
categorical__industry_macro_category_construction,108,industry_macro_category
numeric__dividend_payer,98,dividend_payer
categorical__industry_macro_category_wholesale_retail,88,industry_macro_category
categorical__firm_size_group_mid_sized,82,firm_size_group
categorical__market_KOSDAQ,37,market
categorical__industry_macro_category_other,23,industry_macro_category
numeric__is_2y_consecutive_ocf_deficit,19,is_2y_consecutive_ocf_deficit
categorical__market_KOSPI,4,market
categorical__industry_macro_category_transport_storage,4,industry_macro_category
categorical__firm_size_group_other,0,firm_size_group
