model,split,segment,rows,positive_rows,positive_rate,pr_auc,roc_auc,precision_at_0_5,recall_at_0_5
logistic_regression,train,overall,3178,713,0.22435494021397104,0.7732372474052999,0.9033108682850226,0.5296762589928058,0.8260869565217391
logistic_regression,train,KOSDAQ,1571,523,0.33290897517504775,0.7842033924603207,0.855391495044736,0.5238095238095238,0.8623326959847036
logistic_regression,train,KOSPI,1607,190,0.11823273179838208,0.7428170930340452,0.9313598038851539,0.549800796812749,0.7263157894736842
logistic_regression,valid,overall,1349,341,0.25277983691623424,0.7438147378710063,0.891662884606433,0.5581395348837209,0.844574780058651
logistic_regression,valid,KOSDAQ,795,269,0.3383647798742138,0.7647994970564511,0.8554320324536728,0.5471264367816092,0.8847583643122676
logistic_regression,valid,KOSPI,554,72,0.1299638989169675,0.6796644326113987,0.9253112033195021,0.6172839506172839,0.6944444444444444
logistic_regression,test,overall,672,167,0.24851190476190477,0.6839254448423501,0.8783423252504892,0.547244094488189,0.8323353293413174
logistic_regression,test,KOSDAQ,384,138,0.359375,0.7092442543654246,0.8221839283610227,0.5405405405405406,0.8695652173913043
logistic_regression,test,KOSPI,288,29,0.10069444444444445,0.5795028649193477,0.9050059912128877,0.59375,0.6551724137931034
xgboost,train,overall,3178,713,0.22435494021397104,0.9869699746588962,0.9957543050106825,0.8270142180094787,0.9789621318373072
xgboost,train,KOSDAQ,1571,523,0.33290897517504775,0.9822792505366436,0.9899617590822178,0.7937984496124031,0.9789674952198852
xgboost,train,KOSPI,1607,190,0.11823273179838208,0.996314102092545,0.9994465698473425,0.9346733668341709,0.9789473684210527
xgboost,valid,overall,1349,341,0.25277983691623424,0.7977716319906378,0.9183991411813993,0.6412037037037037,0.8123167155425219
xgboost,valid,KOSDAQ,795,269,0.3383647798742138,0.7978606832214961,0.8797086802267234,0.6215469613259669,0.8364312267657993
xgboost,valid,KOSPI,554,72,0.1299638989169675,0.8133304577862237,0.9604944674965422,0.7428571428571429,0.7222222222222222
xgboost,test,overall,672,167,0.24851190476190477,0.7621085941357423,0.8997747080097231,0.6233183856502242,0.8323353293413174
xgboost,test,KOSDAQ,384,138,0.359375,0.7704792726531794,0.8431719099799693,0.6105263157894737,0.8405797101449275
xgboost,test,KOSPI,288,29,0.10069444444444445,0.7485674531213349,0.9505392091598989,0.696969696969697,0.7931034482758621
lightgbm,train,overall,3178,713,0.22435494021397104,0.9971534930476973,0.9991698647829785,0.9183937823834197,0.9943899018232819
lightgbm,train,KOSDAQ,1571,523,0.33290897517504775,0.9951802682584276,0.9975479106155036,0.8948275862068965,0.9923518164435946
lightgbm,train,KOSPI,1607,190,0.11823273179838208,0.9999174746075715,0.9999925714073469,0.9895833333333334,1.0
lightgbm,valid,overall,1349,341,0.25277983691623424,0.8079829509196629,0.9220968323790906,0.6624685138539043,0.7712609970674487
lightgbm,valid,KOSDAQ,795,269,0.3383647798742138,0.8072033294930899,0.8848396398433855,0.6437125748502994,0.7992565055762082
lightgbm,valid,KOSPI,554,72,0.1299638989169675,0.8229201736915289,0.9657964499769479,0.7619047619047619,0.6666666666666666
lightgbm,test,overall,672,167,0.24851190476190477,0.7660598839253456,0.9039722535127763,0.6372549019607843,0.7784431137724551
lightgbm,test,KOSDAQ,384,138,0.359375,0.7707905343698109,0.8495051254860375,0.6363636363636364,0.8115942028985508
lightgbm,test,KOSPI,288,29,0.10069444444444445,0.7487661984569449,0.9484090001331381,0.6428571428571429,0.6206896551724138
