feature_name,importance
gross_profit,0.13240501
industry_macro_category,0.10174025
dividend_payer,0.09796265
firm_size_group,0.08500239
interest_coverage_ratio,0.07995601
capital_impairment_ratio,0.047743425
market,0.041169174
net_margin,0.0312667
pretax_roe,0.03030892
pretax_roa,0.0300041
equity_ratio,0.026987156
debt_ratio,0.025116049
total_borrowings_ratio,0.024206351
assets_total,0.02214503
depreciation,0.021320025
ocf_to_total_liabilities,0.020747107
current_ratio,0.018639885
intangible_assets_ratio,0.01738139
net_margin_diff,0.016352294
total_debt_turnover,0.015828151
listed_year,0.014634643
market_to_book,0.014199387
total_assets_growth,0.014059266
cash_ratio,0.01274082
short_term_borrowings_share,0.012738862
is_2y_consecutive_ocf_deficit,0.012454731
operating_roa,0.012262496
accruals_ratio,0.011799944
spec_spread,0.008827738
