feature_transformed,importance,feature_name
numeric__gross_profit,0.13081184,gross_profit
numeric__dividend_payer,0.09585268,dividend_payer
numeric__interest_coverage_ratio,0.070848316,interest_coverage_ratio
categorical__firm_size_group_large,0.04655895,firm_size_group
numeric__capital_impairment_ratio,0.042780504,capital_impairment_ratio
numeric__net_margin,0.035917085,net_margin
categorical__market_KOSPI,0.035058852,market
numeric__pretax_roa,0.03095665,pretax_roa
numeric__pretax_roe,0.030583778,pretax_roe
numeric__debt_ratio,0.029445838,debt_ratio
categorical__market_KOSDAQ,0.02698673,market
categorical__firm_size_group_small_and_medium,0.026815072,firm_size_group
categorical__industry_macro_category_construction,0.026699208,industry_macro_category
categorical__industry_macro_category_it_services,0.02454679,industry_macro_category
numeric__equity_ratio,0.02452322,equity_ratio
numeric__total_borrowings_ratio,0.023748616,total_borrowings_ratio
numeric__assets_total,0.022735165,assets_total
numeric__depreciation,0.02022579,depreciation
categorical__industry_macro_category_manufacturing,0.01943889,industry_macro_category
numeric__ocf_to_total_liabilities,0.019434478,ocf_to_total_liabilities
numeric__intangible_assets_ratio,0.017823081,intangible_assets_ratio
numeric__current_ratio,0.01627717,current_ratio
numeric__total_debt_turnover,0.01530037,total_debt_turnover
numeric__market_to_book,0.014787523,market_to_book
numeric__net_margin_diff,0.013982239,net_margin_diff
categorical__industry_macro_category_transport_storage,0.013975397,industry_macro_category
categorical__industry_macro_category_other,0.013956733,industry_macro_category
numeric__total_assets_growth,0.013690415,total_assets_growth
numeric__listed_year,0.013607782,listed_year
categorical__industry_macro_category_wholesale_retail,0.012660899,industry_macro_category
numeric__short_term_borrowings_share,0.012035484,short_term_borrowings_share
numeric__operating_roa,0.01159485,operating_roa
numeric__accruals_ratio,0.0109886145,accruals_ratio
numeric__cash_ratio,0.01098736,cash_ratio
numeric__is_2y_consecutive_ocf_deficit,0.008706833,is_2y_consecutive_ocf_deficit
numeric__spec_spread,0.008015118,spec_spread
categorical__firm_size_group_mid_sized,0.007641616,firm_size_group
categorical__firm_size_group_other,0.0,firm_size_group
