feature_name,mean_abs_shap
gross_profit,0.62149215
assets_total,0.5777618
firm_size_group,0.51667833
interest_coverage_ratio,0.44843414
industry_macro_category,0.44791594
net_margin,0.38805768
depreciation,0.3869776
capital_impairment_ratio,0.37941852
dividend_payer,0.36998075
listed_year,0.34067795
ocf_to_total_liabilities,0.25113174
equity_ratio,0.20587905
net_margin_diff,0.19847223
total_debt_turnover,0.19488332
market_to_book,0.18153699
intangible_assets_ratio,0.17464969
debt_ratio,0.15040156
cash_ratio,0.15026233
short_term_borrowings_share,0.15007302
total_assets_growth,0.14624001
total_borrowings_ratio,0.14545828
current_ratio,0.119040914
operating_roa,0.09921727
accruals_ratio,0.099102706
pretax_roe,0.0811729
market,0.06920105
pretax_roa,0.056006473
spec_spread,0.030917779
is_2y_consecutive_ocf_deficit,0.021113997
