feature_transformed,mean_abs_shap,feature_name
numeric__gross_profit,0.62535936,gross_profit
numeric__assets_total,0.5670989,assets_total
numeric__interest_coverage_ratio,0.45413303,interest_coverage_ratio
numeric__net_margin,0.4259912,net_margin
numeric__depreciation,0.41551423,depreciation
numeric__capital_impairment_ratio,0.39767212,capital_impairment_ratio
numeric__dividend_payer,0.34598982,dividend_payer
numeric__listed_year,0.32677644,listed_year
categorical__firm_size_group_large,0.28021264,firm_size_group
numeric__net_margin_diff,0.22061934,net_margin_diff
categorical__firm_size_group_small_and_medium,0.21125242,firm_size_group
numeric__equity_ratio,0.20042576,equity_ratio
numeric__ocf_to_total_liabilities,0.19540001,ocf_to_total_liabilities
numeric__market_to_book,0.18613487,market_to_book
numeric__total_debt_turnover,0.17775166,total_debt_turnover
numeric__intangible_assets_ratio,0.17409575,intangible_assets_ratio
numeric__total_borrowings_ratio,0.16412675,total_borrowings_ratio
numeric__debt_ratio,0.1608284,debt_ratio
categorical__industry_macro_category_it_services,0.15747193,industry_macro_category
numeric__cash_ratio,0.14765213,cash_ratio
numeric__total_assets_growth,0.14243485,total_assets_growth
categorical__industry_macro_category_manufacturing,0.13782923,industry_macro_category
numeric__short_term_borrowings_share,0.13728817,short_term_borrowings_share
numeric__current_ratio,0.10725489,current_ratio
numeric__operating_roa,0.1005766,operating_roa
numeric__pretax_roe,0.091460876,pretax_roe
categorical__market_KOSDAQ,0.072853245,market
numeric__accruals_ratio,0.07243141,accruals_ratio
categorical__industry_macro_category_construction,0.06265979,industry_macro_category
categorical__industry_macro_category_wholesale_retail,0.05640337,industry_macro_category
numeric__pretax_roa,0.053231835,pretax_roa
numeric__spec_spread,0.024052132,spec_spread
numeric__is_2y_consecutive_ocf_deficit,0.021877889,is_2y_consecutive_ocf_deficit
categorical__firm_size_group_mid_sized,0.016330717,firm_size_group
categorical__industry_macro_category_other,0.01229954,industry_macro_category
categorical__market_KOSPI,0.003759983,market
categorical__industry_macro_category_transport_storage,0.0012193526,industry_macro_category
categorical__firm_size_group_other,0.0,firm_size_group
