feature_group,source_feature,model_features
context,market,"['market_to_book', 'market_KOSDAQ', 'market_KOSPI']"
context,listed_year,['listed_year']
context,firm_size_group,"['firm_size_group_large', 'firm_size_group_mid_sized', 'firm_size_group_other', 'firm_size_group_small_and_medium']"
context,industry_macro_category,"['industry_macro_category_construction', 'industry_macro_category_it_services', 'industry_macro_category_manufacturing', 'industry_macro_category_other', 'industry_macro_category_transport_storage', 'industry_macro_category_wholesale_retail']"
stability_leverage,current_ratio,['current_ratio']
stability_leverage,cash_ratio,['cash_ratio']
stability_leverage,assets_total,['assets_total']
stability_leverage,equity_ratio,['equity_ratio']
stability_leverage,debt_ratio,['debt_ratio']
stability_leverage,total_borrowings_ratio,['total_borrowings_ratio']
stability_leverage,capital_impairment_ratio,['capital_impairment_ratio']
profitability_returns,net_margin,"['net_margin', 'net_margin_diff']"
profitability_returns,gross_profit,['gross_profit']
profitability_returns,interest_coverage_ratio,['interest_coverage_ratio']
profitability_returns,pretax_roa,['pretax_roa']
profitability_returns,operating_roa,['operating_roa']
profitability_returns,pretax_roe,['pretax_roe']
cashflow_structure,ocf_to_total_liabilities,['ocf_to_total_liabilities']
cashflow_structure,ocf_to_total_borrowings,['ocf_to_total_borrowings']
cashflow_structure,ocf_to_sales,['ocf_to_sales']
cashflow_structure,cashflow_coverage_ratio,['cashflow_coverage_ratio']
cashflow_structure,accruals_ratio,['accruals_ratio']
cashflow_structure,depreciation,['depreciation']
cashflow_structure,intangible_assets_ratio,['intangible_assets_ratio']
cashflow_structure,total_debt_turnover,['total_debt_turnover']
market_shareholder,dividend_payer,['dividend_payer']
market_shareholder,market_to_book,['market_to_book']
macro,spec_spread,['spec_spread']
trend_early_warning,short_term_borrowings_share,['short_term_borrowings_share']
trend_early_warning,total_assets_growth,['total_assets_growth']
trend_early_warning,net_margin_diff,['net_margin_diff']
trend_early_warning,is_2y_consecutive_ocf_deficit,['is_2y_consecutive_ocf_deficit']
trend_early_warning,icr_under_1,['icr_under_1']
trend_early_warning,is_2y_consecutive_operating_loss,['is_2y_consecutive_operating_loss']
