market,stock_code,corp_name,fiscal_year,eval_year,listed_year,firm_size_group,industry_macro_category,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss
KOSDAQ,79940,(주)가비아,2023,2024,2005.0,mid_sized,it_services,2.395225,0.863069,462666237.0,0.630587,0.585823,0.172721,-42.108489,0.132422,125292134.0,78.098881,0.083235,0.092081,0.131996,0.34049,0.728234,0.222465,106.682436,-0.05091,24585641.0,0.006215,1.530533,1.0,0.776181,6.374,0.076959,0.256142,-0.041501,0.0,0.0,0.0
KOSDAQ,399720,(주)가온칩스,2023,2024,2022.0,small_and_medium,manufacturing,2.593111,0.281967,94609679.0,0.655531,0.525482,0.050999,-9.796975,0.09976,12717996.0,14.446401,0.056909,0.045996,0.086813,0.173867,1.174373,0.089097,18.8109,0.007167,2379390.0,0.065832,1.95143,0.0,10.595561,6.374,0.0,0.292816,-0.002242,0.0,0.0,0.0
KOSDAQ,198440,(주)강동씨앤엘,2023,2024,2014.0,small_and_medium,manufacturing,,,0.0,,,,,,0.0,1000000.0,,,,,,,1000000.0,,0.0,,,0.0,,6.374,,,,0.0,0.0,0.0
KOSDAQ,14200,(주)광림,2023,2024,1993.0,mid_sized,manufacturing,1.872726,0.67306,273731612.0,0.656741,0.52267,0.076067,-2.963781,0.067555,32530695.0,1.158065,0.08858,0.038021,0.134878,-0.224481,-1.012991,-0.115803,-2.346978,0.122007,4791347.0,0.004133,1.938484,0.0,0.507596,6.374,0.89984,-0.01565,0.196958,0.0,0.0,0.0
KOSDAQ,204020,(주)그리티,2023,2024,2018.0,mid_sized,manufacturing,4.851577,0.559934,93959767.0,0.805798,0.241005,0.031929,-6.214953,0.047707,105671108.0,30.189113,0.111424,0.118381,0.138278,0.75448,4.589033,0.078177,37.365206,-0.057107,3860795.0,0.018356,9.65096,1.0,0.811617,6.374,1.0,0.061672,0.034857,0.0,0.0,0.0
KOSDAQ,186230,(주)그린플러스,2023,2024,2019.0,small_and_medium,manufacturing,0.861236,0.224157,97246190.0,0.474065,1.109418,0.344405,-6.777689,-0.260387,1688863.0,-3.602447,-0.16117,-0.084404,-0.339974,-0.094505,-0.144317,-0.082098,-2.121387,-0.107939,2893521.0,0.004463,1.151119,1.0,2.149739,6.374,0.765896,-0.082362,-0.218017,0.0,1.0,0.0
KOSDAQ,83450,(주)글로벌스탠다드테크놀로지,2023,2024,2006.0,mid_sized,manufacturing,4.546874,1.202889,279780463.0,0.833156,0.200255,0.029597,-49.033731,0.132289,93906780.0,462.129954,0.153783,0.152041,0.184579,1.016412,5.729671,0.169925,515.445724,-0.03756,2885660.0,0.011582,5.981521,1.0,1.101257,6.374,0.640042,0.110983,-0.019868,0.0,0.0,0.0
KOSDAQ,36190,(주)금화피에스시,2023,2024,2000.0,mid_sized,construction,3.249317,0.736897,430472935.0,0.76739,0.303119,0.048919,-109.113484,0.11256,63683858.0,20.663739,0.112819,0.100955,0.147017,0.401154,1.907509,0.118979,19.099544,-0.005034,4407204.0,0.016162,3.371636,1.0,0.474056,6.374,0.0,0.076153,0.000708,0.0,0.0,0.0
KOSDAQ,456700,(주)길교이앤씨,2023,2024,2023.0,small_and_medium,it_services,,,0.0,,,,,,0.0,1000000.0,,,,,,,1000000.0,,0.0,,,0.0,,6.374,,,,0.0,0.0,0.0
KOSDAQ,187790,(주)나노,2023,2024,2014.0,small_and_medium,manufacturing,0.714812,0.143731,67785020.0,0.123003,7.129885,0.26992,0.459304,-0.060178,11067971.0,1.675193,-0.078192,0.02394,-0.635692,0.003654,0.011873,0.002467,0.224258,-0.081397,2025555.0,0.001604,1.48159,0.0,5.030552,6.374,0.899981,-0.0306,0.156816,0.0,0.0,0.0
KOSDAQ,121600,(주)나노신소재,2023,2024,2011.0,small_and_medium,manufacturing,18.023541,2.850265,430041533.0,0.556927,0.795566,0.330558,-38.357384,0.201685,33088623.0,6.481362,0.044534,0.027653,0.079964,0.048846,0.065472,0.111904,5.072486,0.017364,4262846.0,0.003486,0.436498,1.0,6.163009,6.374,0.0,1.011787,-0.03833,0.0,0.0,0.0
KOSDAQ,137080,(주)나래나노텍,2023,2024,2022.0,small_and_medium,manufacturing,1.015527,0.043604,173053091.0,0.540611,0.849759,0.345268,-13.536854,-0.250984,-3280612.0,-5.450581,-0.096443,-0.086627,-0.178397,-0.362,-0.481651,-0.543755,-10.463522,0.089539,4757660.0,0.010255,0.665741,1.0,0.745929,6.374,0.769878,-0.066822,-0.27963,1.0,1.0,0.0
KOSDAQ,94860,(주)네오리진,2017,2018,2007.0,small_and_medium,it_services,3.563299,1.501075,17683620.0,0.822575,0.215694,0.035457,-2.052503,0.017942,5149229.0,2.480316,0.010753,0.009538,0.013072,-0.04666,-0.233485,-0.015804,-2.152836,0.017677,296531.0,0.257827,2.952463,0.0,2.067156,6.229,1.0,,,0.0,0.0,0.0
KOSDAQ,253590,(주)네오셈,2023,2024,2018.0,small_and_medium,manufacturing,4.300848,1.809456,106442403.0,0.815547,0.226171,0.024608,-18.980772,0.082055,30509495.0,13.765566,0.087002,0.075972,0.10668,0.538644,4.03745,0.10478,18.002227,-0.021548,1200334.0,0.019882,5.140734,1.0,3.928777,6.374,0.649013,-0.186304,-0.051845,0.0,0.0,0.0
KOSDAQ,42420,(주)네오위즈홀딩스,2023,2024,2000.0,mid_sized,it_services,2.626966,1.082901,891927653.0,0.788418,0.268363,0.0,-150.116789,0.102386,366584640.0,9.299852,0.044395,0.019483,0.05631,0.306926,,0.158004,30.997754,-0.022859,6872900.0,0.092043,1.942522,0.0,0.31991,6.374,,0.108782,0.30821,0.0,0.0,0.0
KOSDAQ,311390,(주)네오크레마,2023,2024,2019.0,small_and_medium,manufacturing,1.552598,0.328502,71136284.0,0.546296,0.830509,0.0149,-8.64712,-0.199378,5701944.0,4.376956,-0.074419,0.00392,-0.136225,0.070339,2.141799,0.091294,35.631457,-0.101609,1319888.0,0.013212,0.77047,0.0,1.759225,6.374,0.009382,-0.079958,-0.130563,0.0,0.0,0.0
KOSDAQ,92730,(주)네오팜,2023,2024,2007.0,mid_sized,manufacturing,7.93768,0.701155,177458519.0,0.901765,0.108936,0.0,-37.99571,0.239049,65385305.0,1186.854805,0.165522,0.14261,0.183553,1.334441,,0.239563,1090.968907,-0.000281,1195909.0,0.012605,5.570316,1.0,1.325787,6.374,,0.142333,0.038809,0.0,0.0,0.0
KOSDAQ,7390,(주)네이처셀,2023,2024,1992.0,small_and_medium,manufacturing,9.639219,7.092991,68398679.0,0.897959,0.113637,0.0,-0.914648,-0.603607,8194949.0,-8.955396,-0.169166,-0.150193,-0.188389,-0.304928,,-0.109982,-1.855281,-0.139653,1560850.0,0.024995,2.772536,0.0,8.346181,6.374,,-0.272517,-0.287497,1.0,1.0,1.0
KOSDAQ,33640,(주)네패스,2023,2024,1999.0,mid_sized,manufacturing,0.708956,0.251673,963118458.0,0.29401,2.401247,0.383605,-23.348756,-0.227985,53299849.0,-2.90808,-0.11548,-0.072683,-0.392776,0.117597,0.216427,0.166546,3.321747,-0.196672,158722820.0,0.01296,0.706096,0.0,1.601795,6.374,0.271155,-0.149139,-0.388767,0.0,1.0,1.0
KOSDAQ,217270,(주)넵튠,2023,2024,2015.0,large,it_services,2.142008,1.26865,408424096.0,0.891784,0.121347,0.0273,-14.638016,-0.167839,99746933.0,3.342142,-0.066686,0.005278,-0.074778,0.03296,0.130652,0.014605,2.258522,-0.044557,1985891.0,0.05487,2.256825,0.0,0.881186,6.374,0.852018,-0.041881,5.617913,0.0,0.0,0.0
KOSDAQ,104620,(주)노랑풍선,2023,2024,2019.0,small_and_medium,it_services,0.812033,0.064211,105280369.0,0.382691,1.613077,0.164307,-4.086413,0.060028,98612582.0,3.799773,0.064857,0.062846,0.169476,0.046451,0.174519,0.030614,1.733725,0.027552,1180453.0,0.058533,1.517337,0.0,2.583353,6.374,0.996629,0.132053,1.154288,0.0,0.0,0.0
KOSDAQ,194700,(주)노바렉스,2023,2024,2018.0,mid_sized,manufacturing,2.028774,0.503393,264733681.0,0.757056,0.320907,0.050995,-20.372404,0.072722,43900783.0,18.6542,0.09875,0.096323,0.130439,0.393409,1.874245,0.083736,18.509612,-0.012572,8325319.0,0.010472,4.698197,1.0,1.136044,6.374,0.833333,-0.021611,0.001925,0.0,0.0,0.0
