market,industry_macro_category,split,feature,count,mean_abs_shap,mean_signed_shap,rank_within_group
KOSDAQ,construction,test,industry_macro_category,12,0.837067132194837,-0.837067132194837,1
KOSDAQ,construction,test,gross_profit,9,0.5382860998312632,0.3109912309381697,2
KOSDAQ,construction,test,firm_size_group,2,0.531855545938015,-0.4202168360352516,3
KOSDAQ,construction,test,short_term_borrowings_share,3,0.5193521579106649,-0.5193521579106649,4
KOSDAQ,construction,test,interest_coverage_ratio,11,0.49215390059080993,-0.16592918065461246,5
KOSDAQ,construction,test,market_to_book,4,0.4663577303290367,0.4663577303290367,6
KOSDAQ,construction,test,intangible_assets_ratio,3,0.4433370530605316,0.4433370530605316,7
KOSDAQ,construction,test,assets_total,9,0.4116645140780343,-0.18176026973459455,8
KOSDAQ,construction,test,depreciation,7,0.3531688451766968,0.09759618554796491,9
KOSDAQ,construction,test,net_margin,10,0.34027180820703506,0.03688569813966751,10
KOSDAQ,construction,test,equity_ratio,5,0.32784731686115265,-0.053104671835899356,11
KOSDAQ,construction,test,capital_impairment_ratio,9,0.3112990723715888,-0.15414926409721375,12
KOSDAQ,construction,test,total_debt_turnover,6,0.2891645481189092,-0.2322667439778646,13
KOSDAQ,construction,test,cash_ratio,3,0.2858046193917592,-0.2858046193917592,14
KOSDAQ,construction,test,listed_year,5,0.2851299926638603,-0.2463545396924019,15
KOSDAQ,construction,test,dividend_payer,8,0.28017765656113625,-0.09908139705657959,16
KOSDAQ,construction,test,is_2y_consecutive_ocf_deficit,1,0.26365333795547485,0.26365333795547485,17
KOSDAQ,construction,test,total_borrowings_ratio,4,0.23425551690161228,-0.19327030889689922,18
KOSDAQ,construction,test,net_margin_diff,2,0.22204133868217468,-0.22204133868217468,19
KOSDAQ,construction,test,cashflow_coverage_ratio,5,0.17954841256141663,0.0009615302085876464,20
KOSDAQ,construction,test,pretax_roe,1,0.11891943216323853,-0.11891943216323853,21
KOSDAQ,construction,test,current_ratio,1,0.1010001003742218,-0.1010001003742218,22
KOSDAQ,construction,train,industry_macro_category,94,0.9776625842490094,-0.9776625842490094,1
KOSDAQ,construction,train,interest_coverage_ratio,87,0.6007773468549225,-0.3806650326854881,2
KOSDAQ,construction,train,ocf_to_total_borrowings,2,0.5782138407230377,-0.5782138407230377,3
KOSDAQ,construction,train,net_margin_diff,11,0.4482960606163198,0.17839089713313364,4
KOSDAQ,construction,train,short_term_borrowings_share,13,0.44569477381614536,-0.44569477381614536,5
KOSDAQ,construction,train,firm_size_group,36,0.44162298801044625,-0.3003901783376932,6
KOSDAQ,construction,train,assets_total,77,0.38965006830630367,-0.02334910650531967,7
KOSDAQ,construction,train,gross_profit,79,0.3771160322276852,0.15698809393599064,8
KOSDAQ,construction,train,total_assets_growth,9,0.366399095290237,0.23208950046035978,9
KOSDAQ,construction,train,total_debt_turnover,14,0.3662103552903448,-0.30994153767824173,10
KOSDAQ,construction,train,depreciation,28,0.3560497260519436,-0.036662102809974124,11
KOSDAQ,construction,train,capital_impairment_ratio,90,0.3403162981073062,-0.03698656078841951,12
KOSDAQ,construction,train,equity_ratio,27,0.3382404225843924,0.03149114604349489,13
KOSDAQ,construction,train,intangible_assets_ratio,12,0.33711722244819003,-0.06791405379772186,14
KOSDAQ,construction,train,debt_ratio,7,0.335567227431706,-0.335567227431706,15
KOSDAQ,construction,train,listed_year,66,0.30225226147608325,-0.29047824713316833,16
KOSDAQ,construction,train,current_ratio,6,0.29096448545654613,0.262817391504844,17
KOSDAQ,construction,train,cash_ratio,3,0.2882594168186188,-0.10700516899426778,18
KOSDAQ,construction,train,net_margin,74,0.2774914352072252,-0.1547710438435142,19
KOSDAQ,construction,train,is_2y_consecutive_ocf_deficit,1,0.2605651915073395,0.2605651915073395,20
KOSDAQ,construction,train,accruals_ratio,8,0.2572635766118765,0.21924321167171001,21
KOSDAQ,construction,train,dividend_payer,79,0.22776294216702256,0.05990716673528092,22
KOSDAQ,construction,train,ocf_to_sales,7,0.22691468681607926,-0.05275397641318185,23
KOSDAQ,construction,train,market_to_book,4,0.2201523408293724,0.008457906544208527,24
KOSDAQ,construction,train,total_borrowings_ratio,34,0.21882368777604663,-0.10741513726465843,25
KOSDAQ,construction,train,operating_roa,3,0.2092843552430471,-0.2092843552430471,26
KOSDAQ,construction,train,cashflow_coverage_ratio,69,0.19184445881325266,-0.1306984344686287,27
KOSDAQ,construction,valid,net_margin_diff,1,0.8995697498321533,0.8995697498321533,1
KOSDAQ,construction,valid,industry_macro_category,15,0.8517593661944072,-0.8517593661944072,2
KOSDAQ,construction,valid,firm_size_group,3,0.6876888771851858,-0.6101861695448557,3
KOSDAQ,construction,valid,market_to_book,4,0.6782301068305969,0.6782301068305969,4
KOSDAQ,construction,valid,interest_coverage_ratio,15,0.583788342277209,-0.3657330999771754,5
KOSDAQ,construction,valid,ocf_to_total_borrowings,1,0.5257092118263245,-0.5257092118263245,6
KOSDAQ,construction,valid,short_term_borrowings_share,2,0.5219574570655823,-0.5219574570655823,7
KOSDAQ,construction,valid,gross_profit,12,0.44842775849004585,0.2924304883927107,8
KOSDAQ,construction,valid,intangible_assets_ratio,1,0.4413606822490692,0.4413606822490692,9
KOSDAQ,construction,valid,debt_ratio,1,0.37604570388793945,-0.37604570388793945,10
KOSDAQ,construction,valid,equity_ratio,6,0.3641924237211545,-0.1575521156191826,11
KOSDAQ,construction,valid,depreciation,4,0.35999763011932373,-0.08455055952072144,12
KOSDAQ,construction,valid,assets_total,12,0.3386164841552575,-0.04621028030912081,13
KOSDAQ,construction,valid,net_margin,12,0.3113732586304347,-0.2456329216559728,14
KOSDAQ,construction,valid,listed_year,7,0.29384411445685793,-0.24817614257335663,15
KOSDAQ,construction,valid,capital_impairment_ratio,11,0.2819069596854123,-0.1494290205565366,16
KOSDAQ,construction,valid,total_borrowings_ratio,10,0.25316893458366396,-0.1626567453145981,17
KOSDAQ,construction,valid,dividend_payer,9,0.24157128731409708,-0.00461933347913954,18
KOSDAQ,construction,valid,cashflow_coverage_ratio,11,0.23644624244083057,-0.19242822311141275,19
KOSDAQ,construction,valid,operating_roa,1,0.22282534837722778,-0.22282534837722778,20
KOSDAQ,construction,valid,total_debt_turnover,6,0.22162081549564996,-0.096726489563783,21
KOSDAQ,construction,valid,cash_ratio,1,0.21129409968852997,0.21129409968852997,22
KOSDAQ,construction,valid,ocf_to_sales,3,0.20636307696501413,-0.10562800864378612,23
KOSDAQ,construction,valid,total_assets_growth,2,0.15334634110331535,0.07285628095269203,24
KOSDAQ,it_services,test,industry_macro_category,76,0.5860329364475451,-0.5860329364475451,1
KOSDAQ,it_services,test,net_margin_diff,18,0.5683187867204348,0.4753299380342166,2
KOSDAQ,it_services,test,interest_coverage_ratio,68,0.5364243324626895,-0.11503463304218124,3
KOSDAQ,it_services,test,gross_profit,69,0.5008628305749617,0.06912076149297797,4
KOSDAQ,it_services,test,net_margin,54,0.4757316714083707,-0.025865988047034653,5
KOSDAQ,it_services,test,market_to_book,5,0.4719644129276276,0.4719644129276276,6
KOSDAQ,it_services,test,total_assets_growth,8,0.427129901945591,0.427129901945591,7
KOSDAQ,it_services,test,firm_size_group,46,0.4264810741271662,0.027097499079030495,8
KOSDAQ,it_services,test,assets_total,59,0.41956379049915377,0.06423649444418439,9
KOSDAQ,it_services,test,short_term_borrowings_share,8,0.41346196457743645,-0.41346196457743645,10
KOSDAQ,it_services,test,ocf_to_total_borrowings,5,0.4123140245676041,-0.32118513286113737,11
KOSDAQ,it_services,test,intangible_assets_ratio,12,0.3855772949755192,-0.3855772949755192,12
KOSDAQ,it_services,test,depreciation,28,0.38333058304020334,0.0038459934294223785,13
KOSDAQ,it_services,test,dividend_payer,73,0.3212458383138866,0.05261295972621604,14
KOSDAQ,it_services,test,debt_ratio,13,0.3125438426549618,-0.260841130064084,15
KOSDAQ,it_services,test,equity_ratio,31,0.30995958562820186,-0.15433615446090698,16
KOSDAQ,it_services,test,listed_year,40,0.30371906571090224,0.08566706962883472,17
KOSDAQ,it_services,test,total_debt_turnover,8,0.30315142683684826,-0.30315142683684826,18
KOSDAQ,it_services,test,total_borrowings_ratio,37,0.3026911374684927,-0.21978144226847468,19
KOSDAQ,it_services,test,ocf_to_total_liabilities,1,0.29302746057510376,-0.29302746057510376,20
KOSDAQ,it_services,test,accruals_ratio,7,0.27332291432789396,0.27332291432789396,21
KOSDAQ,it_services,test,cash_ratio,19,0.2718215380844317,0.11918719975571883,22
KOSDAQ,it_services,test,current_ratio,2,0.26928897202014923,0.26928897202014923,23
KOSDAQ,it_services,test,pretax_roe,2,0.25932352989912033,0.03561434894800186,24
KOSDAQ,it_services,test,cashflow_coverage_ratio,44,0.25125479410317814,-0.10676555860448968,25
KOSDAQ,it_services,test,capital_impairment_ratio,32,0.2309503429569304,-0.13227415783330798,26
KOSDAQ,it_services,test,ocf_to_sales,3,0.20253528654575348,0.08288873732089996,27
KOSDAQ,it_services,test,operating_roa,2,0.16018596291542053,-0.16018596291542053,28
KOSDAQ,it_services,train,interest_coverage_ratio,283,0.6001897424775383,-0.34894854714929424,1
KOSDAQ,it_services,train,industry_macro_category,305,0.555297544158873,-0.555297544158873,2
KOSDAQ,it_services,train,ocf_to_total_borrowings,28,0.4854179344006947,-0.4854179344006947,3
KOSDAQ,it_services,train,short_term_borrowings_share,44,0.47274288298054173,-0.47274288298054173,4
KOSDAQ,it_services,train,gross_profit,260,0.47235899584797714,0.16618798323548756,5
KOSDAQ,it_services,train,firm_size_group,204,0.451897162907556,0.017471206356205193,6
KOSDAQ,it_services,train,net_margin,216,0.43372864955691276,-0.1445419966691622,7
KOSDAQ,it_services,train,depreciation,93,0.43107902803408205,-0.10287149562951058,8
KOSDAQ,it_services,train,assets_total,242,0.428574043056689,0.04916706970654243,9
KOSDAQ,it_services,train,net_margin_diff,35,0.4141908458300999,0.0641468414238521,10
KOSDAQ,it_services,train,total_assets_growth,20,0.40717477947473524,0.3755003198981285,11
KOSDAQ,it_services,train,market_to_book,12,0.3778340282539527,0.2725720840195815,12
KOSDAQ,it_services,train,intangible_assets_ratio,55,0.367365641485561,-0.3300115184350447,13
KOSDAQ,it_services,train,equity_ratio,126,0.3233381215305555,-0.19707195661843768,14
KOSDAQ,it_services,train,dividend_payer,291,0.32267890568451374,-0.007812462209426251,15
KOSDAQ,it_services,train,total_borrowings_ratio,166,0.3219411410840161,-0.23708188264484864,16
KOSDAQ,it_services,train,total_debt_turnover,34,0.30203571608837915,-0.30203571608837915,17
KOSDAQ,it_services,train,pretax_roe,5,0.30180576741695403,0.1647808223962784,18
KOSDAQ,it_services,train,current_ratio,15,0.2976535389820735,0.2976535389820735,19
KOSDAQ,it_services,train,debt_ratio,61,0.2923323043057176,-0.2778757346458122,20
KOSDAQ,it_services,train,cash_ratio,56,0.2879235183021852,0.001596855531845774,21
KOSDAQ,it_services,train,listed_year,144,0.2862975703966286,-0.04059373225188918,22
KOSDAQ,it_services,train,accruals_ratio,16,0.2726465677842498,0.2726465677842498,23
KOSDAQ,it_services,train,ocf_to_total_liabilities,4,0.2704494148492813,-0.2704494148492813,24
KOSDAQ,it_services,train,ocf_to_sales,31,0.2545376213327531,-0.09342505903013291,25
KOSDAQ,it_services,train,capital_impairment_ratio,156,0.24923647061372414,-0.11128039887318245,26
KOSDAQ,it_services,train,cashflow_coverage_ratio,184,0.23975503894136005,-0.15443471944688456,27
KOSDAQ,it_services,train,is_2y_consecutive_ocf_deficit,2,0.20466388761997223,0.20466388761997223,28
KOSDAQ,it_services,train,operating_roa,12,0.19516190141439438,-0.19516190141439438,29
KOSDAQ,it_services,valid,industry_macro_category,83,0.5730606604771442,-0.5730606604771442,1
KOSDAQ,it_services,valid,interest_coverage_ratio,75,0.5397553302844366,-0.1717316108942032,2
KOSDAQ,it_services,valid,gross_profit,73,0.506559575665487,0.14745539630929086,3
KOSDAQ,it_services,valid,net_margin,55,0.5050273960286921,0.0056347570636055685,4
KOSDAQ,it_services,valid,ocf_to_total_borrowings,9,0.492275380425983,-0.44816601607534623,5
KOSDAQ,it_services,valid,firm_size_group,51,0.468378618943925,0.0026061315746868357,6
KOSDAQ,it_services,valid,market_to_book,7,0.46420597391469137,0.407824701496533,7
KOSDAQ,it_services,valid,net_margin_diff,12,0.4499862951536973,0.22344155982136726,8
KOSDAQ,it_services,valid,short_term_borrowings_share,11,0.4359556097875942,-0.4359556097875942,9
KOSDAQ,it_services,valid,assets_total,62,0.43043523450051585,0.022319627384985646,10
KOSDAQ,it_services,valid,depreciation,30,0.4077041248480479,-0.039079121748606366,11
KOSDAQ,it_services,valid,intangible_assets_ratio,12,0.4019853522380193,-0.4019853522380193,12
KOSDAQ,it_services,valid,equity_ratio,35,0.35033086538314817,-0.18469875710351127,13
KOSDAQ,it_services,valid,dividend_payer,76,0.32534968754962873,-0.0289702911518122,14
KOSDAQ,it_services,valid,listed_year,37,0.3192824890484681,0.07813648436520551,15
KOSDAQ,it_services,valid,debt_ratio,14,0.3156605064868927,-0.2921141322169985,16
KOSDAQ,it_services,valid,total_borrowings_ratio,44,0.3089853110299869,-0.20600618032569235,17
KOSDAQ,it_services,valid,pretax_roe,2,0.30085912346839905,0.30085912346839905,18
KOSDAQ,it_services,valid,accruals_ratio,6,0.2950909957289696,0.2950909957289696,19
KOSDAQ,it_services,valid,ocf_to_sales,6,0.29314714670181274,-0.2172704885403315,20
KOSDAQ,it_services,valid,current_ratio,9,0.28827296362982857,0.28827296362982857,21
KOSDAQ,it_services,valid,cash_ratio,14,0.2851805548582758,0.06901056958096367,22
KOSDAQ,it_services,valid,total_debt_turnover,7,0.26391912358147757,-0.21945388402257646,23
KOSDAQ,it_services,valid,total_assets_growth,4,0.2608487233519554,0.2608487233519554,24
KOSDAQ,it_services,valid,cashflow_coverage_ratio,55,0.25524726659059527,-0.12924869155341928,25
KOSDAQ,it_services,valid,capital_impairment_ratio,38,0.24810384527633064,-0.08559900914367877,26
KOSDAQ,it_services,valid,operating_roa,3,0.18463516235351562,-0.18463516235351562,27
KOSDAQ,manufacturing,test,interest_coverage_ratio,248,0.520029945058688,-0.04314680079058293,1
KOSDAQ,manufacturing,test,total_assets_growth,21,0.4615132375842049,0.4615132375842049,2
KOSDAQ,manufacturing,test,gross_profit,248,0.426774290540526,0.27950465138400754,3
KOSDAQ,manufacturing,test,ocf_to_total_borrowings,8,0.41900675371289253,-0.41900675371289253,4
KOSDAQ,manufacturing,test,net_margin,191,0.41299861638333785,0.03277216968736099,5
KOSDAQ,manufacturing,test,short_term_borrowings_share,33,0.4061803228475831,-0.37577298035224277,6
KOSDAQ,manufacturing,test,equity_ratio,138,0.3982152448616166,-0.12933246575403903,7
KOSDAQ,manufacturing,test,net_margin_diff,76,0.38794847538596705,0.10206637139383115,8
KOSDAQ,manufacturing,test,intangible_assets_ratio,23,0.3876259935938794,0.03082677592401919,9
KOSDAQ,manufacturing,test,market_to_book,8,0.3795458935201168,0.3255629949271679,10
KOSDAQ,manufacturing,test,depreciation,122,0.3762251418389258,-0.0072646858017952716,11
KOSDAQ,manufacturing,test,assets_total,186,0.36295792921095765,0.015969325658134234,12
KOSDAQ,manufacturing,test,listed_year,162,0.355782618953122,0.021749602515756347,13
KOSDAQ,manufacturing,test,capital_impairment_ratio,197,0.354425689517544,-0.12297245171772042,14
KOSDAQ,manufacturing,test,total_debt_turnover,77,0.33534700336394374,-0.270647869868712,15
KOSDAQ,manufacturing,test,dividend_payer,258,0.3336484036011289,-0.01871920174868532,16
KOSDAQ,manufacturing,test,firm_size_group,144,0.31759439693349933,0.19913412097634542,17
KOSDAQ,manufacturing,test,debt_ratio,87,0.30478726978274595,-0.23678384036168285,18
KOSDAQ,manufacturing,test,cash_ratio,50,0.2820943906903267,-0.03243989199399948,19
KOSDAQ,manufacturing,test,total_borrowings_ratio,121,0.2674091400440074,-0.15190022420292057,20
KOSDAQ,manufacturing,test,current_ratio,37,0.25903818333471146,0.2343947428303796,21
KOSDAQ,manufacturing,test,accruals_ratio,19,0.2432015236271055,0.23527571598165914,22
KOSDAQ,manufacturing,test,ocf_to_sales,40,0.23945394568145276,-0.11926251538097858,23
KOSDAQ,manufacturing,test,is_2y_consecutive_ocf_deficit,9,0.23757609062724644,0.23757609062724644,24
KOSDAQ,manufacturing,test,ocf_to_total_liabilities,6,0.2274983748793602,-0.1720184658964475,25
KOSDAQ,manufacturing,test,cashflow_coverage_ratio,161,0.22663831872784573,-0.05134788724761572,26
