market,industry_macro_category,fiscal_year,split,rows,companies,positive_rows,positive_rate,mean_prob_speculative,median_prob_speculative,pred_share_0_5,pred_share_tuned
KOSDAQ,construction,2014,train,8,8,1,0.125,0.20932479,0.11646093,0.125,0.125
KOSDAQ,construction,2015,train,9,9,2,0.2222222222222222,0.32778776,0.13084628,0.2222222222222222,0.2222222222222222
KOSDAQ,construction,2016,train,11,11,2,0.18181818181818182,0.2037815,0.11646093,0.09090909090909091,0.09090909090909091
KOSDAQ,construction,2017,train,10,10,1,0.1,0.17473331,0.106572464,0.1,0.1
KOSDAQ,construction,2018,train,13,13,0,0.0,0.096954875,0.10196082,0.0,0.0
KOSDAQ,construction,2019,train,15,15,2,0.13333333333333333,0.23003688,0.12500992,0.13333333333333333,0.13333333333333333
KOSDAQ,construction,2020,train,13,13,2,0.15384615384615385,0.22286426,0.106229104,0.15384615384615385,0.15384615384615385
KOSDAQ,construction,2021,train,15,15,0,0.0,0.10046746,0.10187589,0.0,0.0
KOSDAQ,construction,2022,valid,15,15,2,0.13333333333333333,0.21969683,0.10685245,0.13333333333333333,0.13333333333333333
KOSDAQ,construction,2023,test,12,12,2,0.16666666666666666,0.27699134,0.15665668,0.16666666666666666,0.16666666666666666
KOSDAQ,it_services,2014,train,21,21,3,0.14285714285714285,0.1892073,0.053131696,0.14285714285714285,0.09523809523809523
KOSDAQ,it_services,2015,train,22,22,3,0.13636363636363635,0.25410888,0.15287063,0.13636363636363635,0.13636363636363635
KOSDAQ,it_services,2016,train,23,23,4,0.17391304347826086,0.3130426,0.1921546,0.2608695652173913,0.21739130434782608
KOSDAQ,it_services,2017,train,26,26,4,0.15384615384615385,0.28327057,0.1060179,0.3076923076923077,0.2692307692307692
KOSDAQ,it_services,2018,train,38,38,11,0.2894736842105263,0.34609535,0.33675188,0.3157894736842105,0.2894736842105263
KOSDAQ,it_services,2019,train,47,47,11,0.23404255319148937,0.34441388,0.21989734,0.3191489361702128,0.2765957446808511
KOSDAQ,it_services,2020,train,57,57,13,0.22807017543859648,0.3368882,0.18838325,0.3508771929824561,0.2982456140350877
KOSDAQ,it_services,2021,train,76,76,16,0.21052631578947367,0.342132,0.22075538,0.34210526315789475,0.3157894736842105
KOSDAQ,it_services,2022,valid,83,83,21,0.25301204819277107,0.37638658,0.26488057,0.42168674698795183,0.39759036144578314
KOSDAQ,it_services,2023,test,76,76,19,0.25,0.4163638,0.42170745,0.4342105263157895,0.4342105263157895
KOSDAQ,it_services,2024,test,1,1,0,0.0,0.25324264,0.25324264,0.0,0.0
KOSDAQ,manufacturing,2014,train,99,99,41,0.41414141414141414,0.5015009,0.51953435,0.5353535353535354,0.47474747474747475
KOSDAQ,manufacturing,2015,train,104,104,35,0.33653846153846156,0.46218035,0.42459637,0.49038461538461536,0.4326923076923077
KOSDAQ,manufacturing,2016,train,130,130,47,0.36153846153846153,0.45338476,0.39770955,0.46923076923076923,0.4230769230769231
KOSDAQ,manufacturing,2017,train,164,164,59,0.3597560975609756,0.4655049,0.5057759,0.5060975609756098,0.42073170731707316
KOSDAQ,manufacturing,2018,train,186,186,64,0.34408602150537637,0.44739226,0.4917144,0.4946236559139785,0.40860215053763443
KOSDAQ,manufacturing,2019,train,223,223,78,0.34977578475336324,0.4856874,0.5057759,0.5112107623318386,0.43946188340807174
KOSDAQ,manufacturing,2020,train,247,247,92,0.3724696356275304,0.47531632,0.49426055,0.4979757085020243,0.4251012145748988
KOSDAQ,manufacturing,2021,train,279,279,100,0.35842293906810035,0.49369046,0.5056385,0.5197132616487455,0.45878136200716846
KOSDAQ,manufacturing,2022,valid,281,281,110,0.3914590747330961,0.49991632,0.5202254,0.5373665480427047,0.49110320284697506
KOSDAQ,manufacturing,2023,test,267,267,106,0.3970037453183521,0.5168738,0.5216908,0.5543071161048689,0.4868913857677903
KOSDAQ,manufacturing,2024,test,6,6,3,0.5,0.654603,0.7867936,0.6666666666666666,0.6666666666666666
KOSDAQ,other,2014,train,2,2,0,0.0,0.022804325,0.022804325,0.0,0.0
KOSDAQ,other,2015,train,2,2,0,0.0,0.04931618,0.04931618,0.0,0.0
KOSDAQ,other,2016,train,1,1,0,0.0,0.026888564,0.026888564,0.0,0.0
KOSDAQ,other,2017,train,2,2,0,0.0,0.043604944,0.043604944,0.0,0.0
KOSDAQ,other,2018,train,3,3,1,0.3333333333333333,0.22786069,0.026630534,0.3333333333333333,0.3333333333333333
KOSDAQ,other,2019,train,2,2,0,0.0,0.31030333,0.31030333,0.5,0.5
KOSDAQ,other,2020,train,4,4,1,0.25,0.3521248,0.21353945,0.25,0.25
KOSDAQ,other,2021,train,3,3,0,0.0,0.14863873,0.05387883,0.0,0.0
KOSDAQ,other,2022,valid,4,4,0,0.0,0.119236685,0.052111577,0.0,0.0
KOSDAQ,other,2023,test,3,3,0,0.0,0.19648749,0.20718752,0.0,0.0
KOSDAQ,transport_storage,2018,train,1,1,0,0.0,0.47043833,0.47043833,0.0,0.0
KOSDAQ,transport_storage,2019,train,2,2,1,0.5,0.5286478,0.5286478,0.5,0.5
KOSDAQ,transport_storage,2020,train,1,1,1,1.0,0.8090266,0.8090266,1.0,1.0
KOSDAQ,transport_storage,2021,train,1,1,0,0.0,0.11779692,0.11779692,0.0,0.0
KOSDAQ,transport_storage,2022,valid,1,1,0,0.0,0.05205449,0.05205449,0.0,0.0
KOSDAQ,transport_storage,2023,test,1,1,0,0.0,0.24103981,0.24103981,0.0,0.0
KOSDAQ,transport_storage,2024,test,1,1,0,0.0,0.3291734,0.3291734,0.0,0.0
KOSDAQ,wholesale_retail,2014,train,5,5,1,0.2,0.2015487,0.07400692,0.2,0.2
KOSDAQ,wholesale_retail,2015,train,4,4,2,0.5,0.454824,0.44157946,0.5,0.5
KOSDAQ,wholesale_retail,2016,train,10,10,5,0.5,0.514253,0.6379553,0.6,0.6
KOSDAQ,wholesale_retail,2017,train,9,9,3,0.3333333333333333,0.38948298,0.11060929,0.4444444444444444,0.4444444444444444
KOSDAQ,wholesale_retail,2018,train,12,12,5,0.4166666666666667,0.47970605,0.3751806,0.5,0.5
KOSDAQ,wholesale_retail,2019,train,21,21,13,0.6190476190476191,0.6501261,0.8184991,0.7142857142857143,0.6666666666666666
