review_priority,error_type,error_type_ko,review_category,market,stock_code,corp_name,fiscal_year,eval_year,industry_macro_category,firm_size_group,actual_label_name,predicted_label_name,prob_speculative,threshold,probability_gap_from_threshold,top_shap_features,risk_increasing_features,risk_decreasing_features,model_misread_hypothesis_ko,recommended_next_action_ko
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,규모·우량기업 안정 신호가 위험을 가림,KOSPI,003620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,"매출총이익(위험↓, SHAP=-1.483, 값=345,715,769, 산업백분위=83p); 감가상각비(위험↓, SHAP=-1.234, 값=118,273,864, 산업백분위=88p); 자산총계(위험↓, SHAP=-1.075, 값=3,104,452,197, 산업백분위=86p); 무형자산 비중(위험↓, SHAP=-0.507, 값=0.0613, 산업백분위=93p); 자본잠식률(위험↑, SHAP=+0.461, 값=-0.4466, 산업백분위=97p)","자본잠식률(위험↑, SHAP=+0.461, 값=-0.4466, 산업백분위=97p); 이자보상배율(위험↑, SHAP=+0.307, 값=0.0622, 산업백분위=17p); 상장연도(위험↑, SHAP=+0.291, 값=1,975.00, 산업백분위=4p); 배당금 지급 여부(위험↑, SHAP=+0.255, 값=0.0000, 산업백분위=22p)","매출총이익(위험↓, SHAP=-1.483, 값=345,715,769, 산업백분위=83p); 감가상각비(위험↓, SHAP=-1.234, 값=118,273,864, 산업백분위=88p); 자산총계(위험↓, SHAP=-1.075, 값=3,104,452,197, 산업백분위=86p); 무형자산 비중(위험↓, SHAP=-0.507, 값=0.0613, 산업백분위=93p); 총부채회전율(위험↓, SHAP=-0.371, 값=2.319, 산업백분위=63p)","자산규모, 배당, 매출총이익, 감가상각비 같은 우량·규모성 안정 신호가 실제 투기등급 위험을 낮춰 본 사례입니다.","규모가 큰 기업의 이벤트성 위험은 뉴스, 공시, 등급전망, 감사의견 같은 외부근거 플래그로 보완하는 편이 좋습니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,현재 재무비율 안정 신호가 위험을 가림,KOSDAQ,094970,제이엠티(주),2023,2024,manufacturing,small_and_medium,투기등급,투자적격,0.0123269867060947,0.315,0.3026730132939053,"이자보상배율(위험↓, SHAP=-1.167, 값=53.294, 산업백분위=76p); OCF/총차입금(위험↓, SHAP=-0.629, 값=7.281, 산업백분위=97p); 자기자본비율(위험↓, SHAP=-0.585, 값=0.7131, 산업백분위=78p); 자본잠식률(위험↓, SHAP=-0.537, 값=-17.886, 산업백분위=37p); 총차입금비율(위험↓, SHAP=-0.470, 값=0.0271, 산업백분위=14p)","매출총이익(위험↑, SHAP=+0.327, 값=27,759,094, 산업백분위=44p)","이자보상배율(위험↓, SHAP=-1.167, 값=53.294, 산업백분위=76p); OCF/총차입금(위험↓, SHAP=-0.629, 값=7.281, 산업백분위=97p); 자기자본비율(위험↓, SHAP=-0.585, 값=0.7131, 산업백분위=78p); 자본잠식률(위험↓, SHAP=-0.537, 값=-17.886, 산업백분위=37p); 총차입금비율(위험↓, SHAP=-0.470, 값=0.0271, 산업백분위=14p)",현재 재무비율은 양호해 보였지만 다음 연도 라벨은 투기등급으로 나타난 사례입니다.,"단일 연도 수준값보다 악화 속도, 최근 공시 이슈, 산업 충격 신호를 함께 보도록 보완합니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,현재 재무비율 안정 신호가 위험을 가림,KOSDAQ,092870,(주)엑시콘,2023,2024,manufacturing,mid_sized,투기등급,투자적격,0.0168424239424952,0.315,0.2981575760575048,"이자보상배율(위험↓, SHAP=-0.749, 값=1,000,000, 산업백분위=93p); 순이익률(위험↓, SHAP=-0.657, 값=0.0594, 산업백분위=72p); 자기자본비율(위험↓, SHAP=-0.499, 값=0.8793, 산업백분위=96p); 순이익률 변화(위험↓, SHAP=-0.398, 값=-0.1075, 산업백분위=9p); 매출총이익(위험↑, SHAP=+0.396, 값=28,251,051, 산업백분위=44p)","매출총이익(위험↑, SHAP=+0.396, 값=28,251,051, 산업백분위=44p)","이자보상배율(위험↓, SHAP=-0.749, 값=1,000,000, 산업백분위=93p); 순이익률(위험↓, SHAP=-0.657, 값=0.0594, 산업백분위=72p); 자기자본비율(위험↓, SHAP=-0.499, 값=0.8793, 산업백분위=96p); 순이익률 변화(위험↓, SHAP=-0.398, 값=-0.1075, 산업백분위=9p); 총차입금비율(위험↓, SHAP=-0.394, 값=0.0482, 산업백분위=19p)",현재 재무비율은 양호해 보였지만 다음 연도 라벨은 투기등급으로 나타난 사례입니다.,"단일 연도 수준값보다 악화 속도, 최근 공시 이슈, 산업 충격 신호를 함께 보도록 보완합니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,규모·우량기업 안정 신호가 위험을 가림,KOSPI,003620,케이지모빌리티(주),2023,2024,manufacturing,mid_sized,투기등급,투자적격,0.0307287380482937,0.315,0.2842712619517063,"매출총이익(위험↓, SHAP=-1.283, 값=407,465,928, 산업백분위=85p); 감가상각비(위험↓, SHAP=-1.021, 값=116,993,347, 산업백분위=88p); 자산총계(위험↓, SHAP=-0.965, 값=2,635,399,999, 산업백분위=85p); 자본잠식률(위험↑, SHAP=+0.804, 값=-0.1582, 산업백분위=98p); 무형자산 비중(위험↓, SHAP=-0.497, 값=0.0709, 산업백분위=95p)","자본잠식률(위험↑, SHAP=+0.804, 값=-0.1582, 산업백분위=98p); 상장연도(위험↑, SHAP=+0.380, 값=1,975.00, 산업백분위=4p); 배당금 지급 여부(위험↑, SHAP=+0.304, 값=0.0000, 산업백분위=22p); 자기자본비율(위험↑, SHAP=+0.188, 값=0.4108, 산업백분위=28p)","매출총이익(위험↓, SHAP=-1.283, 값=407,465,928, 산업백분위=85p); 감가상각비(위험↓, SHAP=-1.021, 값=116,993,347, 산업백분위=88p); 자산총계(위험↓, SHAP=-0.965, 값=2,635,399,999, 산업백분위=85p); 무형자산 비중(위험↓, SHAP=-0.497, 값=0.0709, 산업백분위=95p); 총부채회전율(위험↓, SHAP=-0.347, 값=2.406, 산업백분위=66p)","자산규모, 배당, 매출총이익, 감가상각비 같은 우량·규모성 안정 신호가 실제 투기등급 위험을 낮춰 본 사례입니다.","규모가 큰 기업의 이벤트성 위험은 뉴스, 공시, 등급전망, 감사의견 같은 외부근거 플래그로 보완하는 편이 좋습니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,현재 재무비율 안정 신호가 위험을 가림,KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,투기등급,투자적격,0.0314177294021568,0.315,0.2835822705978432,"자본잠식률(위험↓, SHAP=-0.532, 값=-20.642, 산업백분위=32p); 순이익률(위험↓, SHAP=-0.482, 값=0.0687, 산업백분위=76p); 이자보상배율(위험↑, SHAP=+0.452, 값=2.031, 산업백분위=30p); 배당금 지급 여부(위험↓, SHAP=-0.434, 값=1.000, 산업백분위=72p); 자산총계(위험↓, SHAP=-0.418, 값=616,469,709, 산업백분위=66p)","이자보상배율(위험↑, SHAP=+0.452, 값=2.031, 산업백분위=30p)","자본잠식률(위험↓, SHAP=-0.532, 값=-20.642, 산업백분위=32p); 순이익률(위험↓, SHAP=-0.482, 값=0.0687, 산업백분위=76p); 배당금 지급 여부(위험↓, SHAP=-0.434, 값=1.000, 산업백분위=72p); 자산총계(위험↓, SHAP=-0.418, 값=616,469,709, 산업백분위=66p); 자기자본비율(위험↓, SHAP=-0.404, 값=0.6722, 산업백분위=73p)",현재 재무비율은 양호해 보였지만 다음 연도 라벨은 투기등급으로 나타난 사례입니다.,"단일 연도 수준값보다 악화 속도, 최근 공시 이슈, 산업 충격 신호를 함께 보도록 보완합니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,규모·우량기업 안정 신호가 위험을 가림,KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,"감가상각비(위험↓, SHAP=-1.022, 값=92,254,102, 산업백분위=87p); 매출총이익(위험↓, SHAP=-0.841, 값=213,424,277, 산업백분위=78p); 자산총계(위험↓, SHAP=-0.791, 값=2,103,214,253, 산업백분위=82p); 상장연도(위험↓, SHAP=-0.447, 값=2,017.00, 산업백분위=87p); 순이익률(위험↓, SHAP=-0.376, 값=0.0691, 산업백분위=76p)","현금흐름 커버리지(위험↑, SHAP=+0.268, 값=-2.295, 산업백분위=11p); 총자산증가율(위험↑, SHAP=+0.233, 값=0.3836, 산업백분위=94p); 산업 대분류(위험↑, SHAP=+0.226, 값=manufacturing, 산업백분위=-); 배당금 지급 여부(위험↑, SHAP=+0.217, 값=0.0000, 산업백분위=22p)","감가상각비(위험↓, SHAP=-1.022, 값=92,254,102, 산업백분위=87p); 매출총이익(위험↓, SHAP=-0.841, 값=213,424,277, 산업백분위=78p); 자산총계(위험↓, SHAP=-0.791, 값=2,103,214,253, 산업백분위=82p); 상장연도(위험↓, SHAP=-0.447, 값=2,017.00, 산업백분위=87p); 순이익률(위험↓, SHAP=-0.376, 값=0.0691, 산업백분위=76p)","자산규모, 배당, 매출총이익, 감가상각비 같은 우량·규모성 안정 신호가 실제 투기등급 위험을 낮춰 본 사례입니다.","규모가 큰 기업의 이벤트성 위험은 뉴스, 공시, 등급전망, 감사의견 같은 외부근거 플래그로 보완하는 편이 좋습니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,현재 재무비율 안정 신호가 위험을 가림,KOSDAQ,123410,코리아에프티(주),2023,2024,manufacturing,mid_sized,투기등급,투자적격,0.0488009836753811,0.315,0.2661990163246189,"매출총이익(위험↓, SHAP=-0.605, 값=95,847,992, 산업백분위=67p); 총부채회전율(위험↓, SHAP=-0.555, 값=2.858, 산업백분위=75p); 감가상각비(위험↓, SHAP=-0.536, 값=21,185,740, 산업백분위=68p); 배당금 지급 여부(위험↓, SHAP=-0.360, 값=1.000, 산업백분위=72p); 자산총계(위험↓, SHAP=-0.322, 값=415,160,886, 산업백분위=60p)","세전계속사업이익 기준 ROE(위험↑, SHAP=+0.260, 값=0.2168, 산업백분위=93p); 산업 대분류(위험↑, SHAP=+0.132, 값=manufacturing, 산업백분위=-)","매출총이익(위험↓, SHAP=-0.605, 값=95,847,992, 산업백분위=67p); 총부채회전율(위험↓, SHAP=-0.555, 값=2.858, 산업백분위=75p); 감가상각비(위험↓, SHAP=-0.536, 값=21,185,740, 산업백분위=68p); 배당금 지급 여부(위험↓, SHAP=-0.360, 값=1.000, 산업백분위=72p); 자산총계(위험↓, SHAP=-0.322, 값=415,160,886, 산업백분위=60p)",현재 재무비율은 양호해 보였지만 다음 연도 라벨은 투기등급으로 나타난 사례입니다.,"단일 연도 수준값보다 악화 속도, 최근 공시 이슈, 산업 충격 신호를 함께 보도록 보완합니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,규모·우량기업 안정 신호가 위험을 가림,KOSPI,001390,케이지케미칼(주),2023,2024,manufacturing,mid_sized,투기등급,투자적격,0.05702918296024,0.315,0.25797081703976,"감가상각비(위험↓, SHAP=-1.197, 값=209,090,911, 산업백분위=92p); Market-to-Book(위험↑, SHAP=+1.184, 값=0.1290, 산업백분위=0p); 매출총이익(위험↓, SHAP=-0.996, 값=1,236,213,065, 산업백분위=94p); 상장연도(위험↑, SHAP=+0.669, 값=1,989.00, 산업백분위=14p); 자산총계(위험↓, SHAP=-0.571, 값=7,818,145,771, 산업백분위=92p)","Market-to-Book(위험↑, SHAP=+1.184, 값=0.1290, 산업백분위=0p); 상장연도(위험↑, SHAP=+0.669, 값=1,989.00, 산업백분위=14p); 산업 대분류(위험↑, SHAP=+0.184, 값=manufacturing, 산업백분위=-)","감가상각비(위험↓, SHAP=-1.197, 값=209,090,911, 산업백분위=92p); 매출총이익(위험↓, SHAP=-0.996, 값=1,236,213,065, 산업백분위=94p); 자산총계(위험↓, SHAP=-0.571, 값=7,818,145,771, 산업백분위=92p); 배당금 지급 여부(위험↓, SHAP=-0.347, 값=1.000, 산업백분위=72p); 자본잠식률(위험↓, SHAP=-0.218, 값=-50.123, 산업백분위=10p)","자산규모, 배당, 매출총이익, 감가상각비 같은 우량·규모성 안정 신호가 실제 투기등급 위험을 낮춰 본 사례입니다.","규모가 큰 기업의 이벤트성 위험은 뉴스, 공시, 등급전망, 감사의견 같은 외부근거 플래그로 보완하는 편이 좋습니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,규모·우량기업 안정 신호가 위험을 가림,KOSPI,004840,(주)디알비동일,2023,2024,manufacturing,mid_sized,투기등급,투자적격,0.0609834831190192,0.315,0.2540165168809808,"감가상각비(위험↓, SHAP=-0.758, 값=27,129,048, 산업백분위=72p); 자산총계(위험↓, SHAP=-0.736, 값=963,651,592, 산업백분위=74p); Market-to-Book(위험↑, SHAP=+0.692, 값=0.2341, 산업백분위=2p); 매출총이익(위험↓, SHAP=-0.562, 값=145,153,276, 산업백분위=73p); 총부채회전율(위험↑, SHAP=+0.366, 값=1.585, 산업백분위=39p)","Market-to-Book(위험↑, SHAP=+0.692, 값=0.2341, 산업백분위=2p); 총부채회전율(위험↑, SHAP=+0.366, 값=1.585, 산업백분위=39p); 단기차입금 비중(위험↑, SHAP=+0.211, 값=0.8555, 산업백분위=76p)","감가상각비(위험↓, SHAP=-0.758, 값=27,129,048, 산업백분위=72p); 자산총계(위험↓, SHAP=-0.736, 값=963,651,592, 산업백분위=74p); 매출총이익(위험↓, SHAP=-0.562, 값=145,153,276, 산업백분위=73p); 배당금 지급 여부(위험↓, SHAP=-0.280, 값=1.000, 산업백분위=72p); 자기자본비율(위험↓, SHAP=-0.274, 값=0.5169, 산업백분위=48p)","자산규모, 배당, 매출총이익, 감가상각비 같은 우량·규모성 안정 신호가 실제 투기등급 위험을 낮춰 본 사례입니다.","규모가 큰 기업의 이벤트성 위험은 뉴스, 공시, 등급전망, 감사의견 같은 외부근거 플래그로 보완하는 편이 좋습니다."
상,false_negative,False Negative: 실제 투기등급인데 모델은 투자적격,현재 재무비율 안정 신호가 위험을 가림,KOSDAQ,172670,(주)에이엘티,2023,2024,manufacturing,small_and_medium,투기등급,투자적격,0.0656312599881557,0.315,0.2493687400118443,"단기차입금 비중(위험↓, SHAP=-0.694, 값=0.1899, 산업백분위=16p); 순이익률(위험↓, SHAP=-0.567, 값=0.1053, 산업백분위=87p); 배당금 지급 여부(위험↓, SHAP=-0.500, 값=1.000, 산업백분위=72p); 자본잠식률(위험↓, SHAP=-0.422, 값=-23.035, 산업백분위=28p); 이자보상배율(위험↑, SHAP=+0.398, 값=1.268, 산업백분위=24p)","이자보상배율(위험↑, SHAP=+0.398, 값=1.268, 산업백분위=24p); 매출총이익(위험↑, SHAP=+0.254, 값=10,189,759, 산업백분위=28p); 기업규모 그룹(위험↑, SHAP=+0.180, 값=small_and_medium, 산업백분위=-)","단기차입금 비중(위험↓, SHAP=-0.694, 값=0.1899, 산업백분위=16p); 순이익률(위험↓, SHAP=-0.567, 값=0.1053, 산업백분위=87p); 배당금 지급 여부(위험↓, SHAP=-0.500, 값=1.000, 산업백분위=72p); 자본잠식률(위험↓, SHAP=-0.422, 값=-23.035, 산업백분위=28p); 자기자본비율(위험↓, SHAP=-0.222, 값=0.5438, 산업백분위=52p)",현재 재무비율은 양호해 보였지만 다음 연도 라벨은 투기등급으로 나타난 사례입니다.,"단일 연도 수준값보다 악화 속도, 최근 공시 이슈, 산업 충격 신호를 함께 보도록 보완합니다."
