error_type,error_note,corp_name,stock_code,market,fiscal_year,eval_year,industry_macro_category,prob_speculative,decision_threshold,actual_label_name,predicted_label_name,probability_distance_from_threshold
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)라닉스,317120,KOSDAQ,2023,2024,manufacturing,0.9714948278260264,0.32,투자적격,투기등급,0.6514948278260264
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,한국맥널티(주),222980,KOSDAQ,2023,2024,manufacturing,0.899530899240436,0.32,투자적격,투기등급,0.579530899240436
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,유니온머티리얼(주),47400,KOSPI,2023,2024,manufacturing,0.8686737899430643,0.32,투자적격,투기등급,0.5486737899430643
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)웹스,196700,KOSDAQ,2023,2024,manufacturing,0.8567232035038771,0.32,투자적격,투기등급,0.5367232035038771
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)푸드나무,290720,KOSDAQ,2023,2024,wholesale_retail,0.8513373916278404,0.32,투자적격,투기등급,0.5313373916278403
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,알에스오토메이션(주),140670,KOSDAQ,2023,2024,manufacturing,0.817820661011438,0.32,투자적격,투기등급,0.497820661011438
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,한국맥널티(주),222980,KOSDAQ,2024,2025,manufacturing,0.796515159168308,0.32,투자적격,투기등급,0.47651515916830794
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,브이엠(주),89970,KOSDAQ,2023,2024,manufacturing,0.7914819778100582,0.32,투자적격,투기등급,0.47148197781005824
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)에스에너지,95910,KOSDAQ,2023,2024,manufacturing,0.7722585319222016,0.32,투자적격,투기등급,0.4522585319222016
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)엑스페릭스,317770,KOSDAQ,2023,2024,manufacturing,0.7710705853338395,0.32,투자적격,투기등급,0.45107058533383954
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)길교이앤씨,456700,KOSDAQ,2023,2024,it_services,0.7573088577043495,0.32,투자적격,투기등급,0.4373088577043495
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)파라텍,33540,KOSDAQ,2023,2024,manufacturing,0.7562092425782729,0.32,투자적격,투기등급,0.4362092425782729
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)한솔홈데코,25750,KOSPI,2023,2024,manufacturing,0.7483013718302276,0.32,투자적격,투기등급,0.4283013718302276
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)에이프로,262260,KOSDAQ,2023,2024,manufacturing,0.7467852930313471,0.32,투자적격,투기등급,0.4267852930313471
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)오르비텍,46120,KOSDAQ,2023,2024,it_services,0.7460027218466423,0.32,투자적격,투기등급,0.4260027218466423
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지모빌리티(주),3620,KOSPI,2024,2025,manufacturing,0.0182998929647452,0.32,투기등급,투자적격,0.3017001070352548
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지모빌리티(주),3620,KOSPI,2023,2024,manufacturing,0.0231994327008628,0.32,투기등급,투자적격,0.29680056729913723
