error_type,feature,direction,case_count,appearance_count,mean_abs_shap,mean_shap_value,median_rank,feature_group,korean_name,description,case_share
false_negative,capital_impairment_ratio,decrease_risk,20,20,0.40994998067617416,-0.40994998067617416,4.0,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,0.6666666666666666
false_negative,dividend_payer,decrease_risk,18,18,0.3837252938085132,-0.3837252938085132,4.0,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0.6
false_negative,interest_coverage_ratio,increase_risk,16,16,0.32570254337042565,0.32570254337042565,6.5,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,0.5333333333333333
false_negative,equity_ratio,decrease_risk,16,16,0.2662883484736085,-0.2662883484736085,7.5,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,0.5333333333333333
false_negative,assets_total,decrease_risk,15,15,0.5760923931996028,-0.5760923931996028,5.0,stability_leverage,자산총계,총자산,0.5
false_negative,gross_profit,increase_risk,15,15,0.37598637342453,0.37598637342453,4.0,profitability_returns,매출총이익,매출총이익(손실),0.5
false_negative,gross_profit,decrease_risk,14,14,0.7010861518127578,-0.7010861518127578,2.0,profitability_returns,매출총이익,매출총이익(손실),0.4666666666666667
false_negative,total_debt_turnover,decrease_risk,12,12,0.29338414222002024,-0.29338414222002024,7.0,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,0.4
false_negative,dividend_payer,increase_risk,12,12,0.2393983888129393,0.2393983888129393,7.0,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0.4
false_negative,listed_year,decrease_risk,11,11,0.2988154630769383,-0.2988154630769383,5.0,context,상장연도,상장일에서 추출한 연도,0.36666666666666664
false_negative,depreciation,decrease_risk,10,10,0.9639253795146943,-0.9639253795146943,1.5,cashflow_structure,감가상각비,감가상각비,0.3333333333333333
false_negative,net_margin,decrease_risk,10,10,0.4016087412834167,-0.4016087412834167,4.0,profitability_returns,순이익률,매출액 대비 당기순이익 비율,0.3333333333333333
false_negative,cashflow_coverage_ratio,decrease_risk,10,10,0.3052727699279785,-0.3052727699279785,7.0,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,0.3333333333333333
false_negative,equity_ratio,increase_risk,8,8,0.42923243530094624,0.42923243530094624,4.0,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,0.26666666666666666
false_negative,industry_macro_category,increase_risk,8,8,0.23153031431138513,0.23153031431138513,8.0,context,산업 대분류,모델링용 산업 대분류,0.26666666666666666
false_negative,depreciation,increase_risk,8,8,0.19760725274682042,0.19760725274682042,9.0,cashflow_structure,감가상각비,감가상각비,0.26666666666666666
false_negative,interest_coverage_ratio,decrease_risk,7,7,0.7663472124508449,-0.7663472124508449,1.0,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,0.23333333333333334
false_negative,capital_impairment_ratio,increase_risk,7,7,0.3968888350895473,0.3968888350895473,5.0,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,0.23333333333333334
false_negative,assets_total,increase_risk,6,6,0.27524671951929724,0.27524671951929724,3.5,stability_leverage,자산총계,총자산,0.2
false_negative,net_margin,increase_risk,5,5,0.4940693974494934,0.4940693974494934,3.0,profitability_returns,순이익률,매출액 대비 당기순이익 비율,0.16666666666666666
false_negative,net_margin_diff,decrease_risk,5,5,0.2796145647764206,-0.2796145647764206,10.0,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,0.16666666666666666
false_negative,cashflow_coverage_ratio,increase_risk,5,5,0.20296666026115412,0.20296666026115412,7.0,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,0.16666666666666666
false_negative,firm_size_group,decrease_risk,5,5,0.14008129537105557,-0.14008129537105557,9.0,context,기업규모 그룹,모델링용 기업규모 그룹,0.16666666666666666
false_negative,market_to_book,increase_risk,4,4,0.679955966770649,0.679955966770649,4.0,market_shareholder,Market-to-Book,시가총액 대비 장부가치 비율,0.13333333333333333
false_negative,short_term_borrowings_share,decrease_risk,4,4,0.5668591409921646,-0.5668591409921646,4.0,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,0.13333333333333333
false_negative,listed_year,increase_risk,4,4,0.38632389158010483,0.38632389158010483,6.5,context,상장연도,상장일에서 추출한 연도,0.13333333333333333
false_negative,firm_size_group,increase_risk,4,4,0.2902484610676765,0.2902484610676765,7.0,context,기업규모 그룹,모델링용 기업규모 그룹,0.13333333333333333
false_negative,accruals_ratio,increase_risk,4,4,0.282278373837471,0.282278373837471,7.5,cashflow_structure,발생액 비율,총자산 대비 순이익과 영업현금흐름의 차이 (이익품질 지표),0.13333333333333333
false_negative,industry_macro_category,decrease_risk,3,3,0.7279705007870992,-0.7279705007870992,1.0,context,산업 대분류,모델링용 산업 대분류,0.1
false_negative,cash_ratio,decrease_risk,3,3,0.4841863413651784,-0.4841863413651784,5.0,stability_leverage,현금비율,유동부채 대비 현금및현금성자산 비율,0.1
false_negative,total_borrowings_ratio,decrease_risk,3,3,0.37260469794273376,-0.37260469794273376,6.0,stability_leverage,총차입금비율,총자산 대비 총차입금 비율,0.1
false_negative,ocf_to_sales,decrease_risk,3,3,0.2693679382403691,-0.2693679382403691,6.0,cashflow_structure,OCF/매출액,매출액 대비 영업현금흐름 비율,0.1
false_negative,total_debt_turnover,increase_risk,3,3,0.2284146845340728,0.2284146845340728,8.0,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,0.1
false_negative,operating_roa,decrease_risk,3,3,0.17803579072157535,-0.17803579072157535,9.0,profitability_returns,총자산영업이익률,총자산 대비 영업이익 비율,0.1
false_negative,intangible_assets_ratio,decrease_risk,2,2,0.5019110292196274,-0.5019110292196274,4.5,cashflow_structure,무형자산 비중,총자산 대비 무형자산 비율,0.06666666666666667
false_negative,ocf_to_total_borrowings,decrease_risk,2,2,0.37798211723566055,-0.37798211723566055,6.0,cashflow_structure,OCF/총차입금,총차입금 대비 영업현금흐름 비율,0.06666666666666667
false_negative,cash_ratio,increase_risk,2,2,0.27785440534353256,0.27785440534353256,6.5,stability_leverage,현금비율,유동부채 대비 현금및현금성자산 비율,0.06666666666666667
false_negative,pretax_roe,increase_risk,2,2,0.23990440368652338,0.23990440368652338,6.5,profitability_returns,세전계속사업이익 기준 ROE,자기자본 대비 세전이익 비율,0.06666666666666667
