error_type,market,stock_code,corp_name,fiscal_year,eval_year,industry_macro_category,firm_size_group,prob_speculative,threshold,probability_distance_from_threshold,actual_label_name,predicted_label_name,top_shap_features
false_negative,KOSPI,003620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,0.0095734081981097,0.315,0.3054265918018903,투기등급,투자적격,"매출총이익(decrease_risk, SHAP=-1.483, 값=345715769); 감가상각비(decrease_risk, SHAP=-1.234, 값=118273864); 자산총계(decrease_risk, SHAP=-1.075, 값=3104452197); 무형자산 비중(decrease_risk, SHAP=-0.507, 값=0.061267); 자본잠식률(increase_risk, SHAP=+0.461, 값=-0.44655)"
false_negative,KOSDAQ,094970,제이엠티(주),2023,2024,manufacturing,small_and_medium,0.0123269867060947,0.315,0.3026730132939053,투기등급,투자적격,"이자보상배율(decrease_risk, SHAP=-1.167, 값=53.294298); OCF/총차입금(decrease_risk, SHAP=-0.629, 값=7.280508); 자기자본비율(decrease_risk, SHAP=-0.585, 값=0.713055); 자본잠식률(decrease_risk, SHAP=-0.537, 값=-17.885609); 총차입금비율(decrease_risk, SHAP=-0.470, 값=0.027052)"
false_negative,KOSDAQ,092870,(주)엑시콘,2023,2024,manufacturing,mid_sized,0.0168424239424952,0.315,0.2981575760575048,투기등급,투자적격,"이자보상배율(decrease_risk, SHAP=-0.749, 값=1000000.0); 순이익률(decrease_risk, SHAP=-0.657, 값=0.059372); 자기자본비율(decrease_risk, SHAP=-0.499, 값=0.879343); 순이익률 변화(decrease_risk, SHAP=-0.398, 값=-0.107497); 매출총이익(increase_risk, SHAP=+0.396, 값=28251051)"
false_negative,KOSPI,003620,케이지모빌리티(주),2023,2024,manufacturing,mid_sized,0.0307287380482937,0.315,0.2842712619517063,투기등급,투자적격,"매출총이익(decrease_risk, SHAP=-1.283, 값=407465928); 감가상각비(decrease_risk, SHAP=-1.021, 값=116993347); 자산총계(decrease_risk, SHAP=-0.965, 값=2635399999); 자본잠식률(increase_risk, SHAP=+0.804, 값=-0.158239); 무형자산 비중(decrease_risk, SHAP=-0.497, 값=0.070925)"
false_negative,KOSDAQ,108230,(주)톱텍,2024,2025,manufacturing,mid_sized,0.0314177294021568,0.315,0.2835822705978432,투기등급,투자적격,"자본잠식률(decrease_risk, SHAP=-0.532, 값=-20.642183); 순이익률(decrease_risk, SHAP=-0.482, 값=0.068742); 이자보상배율(increase_risk, SHAP=+0.452, 값=2.030646); 배당금 지급 여부(decrease_risk, SHAP=-0.434, 값=1); 자산총계(decrease_risk, SHAP=-0.418, 값=616469709)"
false_negative,KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,0.045508394316246,0.315,0.269491605683754,투기등급,투자적격,"감가상각비(decrease_risk, SHAP=-1.022, 값=92254102); 매출총이익(decrease_risk, SHAP=-0.841, 값=213424277); 자산총계(decrease_risk, SHAP=-0.791, 값=2103214253); 상장연도(decrease_risk, SHAP=-0.447, 값=2017); 순이익률(decrease_risk, SHAP=-0.376, 값=0.069142)"
false_negative,KOSDAQ,123410,코리아에프티(주),2023,2024,manufacturing,mid_sized,0.0488009836753811,0.315,0.2661990163246189,투기등급,투자적격,"매출총이익(decrease_risk, SHAP=-0.605, 값=95847992); 총부채회전율(decrease_risk, SHAP=-0.555, 값=2.85753); 감가상각비(decrease_risk, SHAP=-0.536, 값=21185740); 배당금 지급 여부(decrease_risk, SHAP=-0.360, 값=1); 자산총계(decrease_risk, SHAP=-0.322, 값=415160886)"
false_negative,KOSPI,001390,케이지케미칼(주),2023,2024,manufacturing,mid_sized,0.05702918296024,0.315,0.25797081703976,투기등급,투자적격,"감가상각비(decrease_risk, SHAP=-1.197, 값=209090911); Market-to-Book(increase_risk, SHAP=+1.184, 값=0.12898); 매출총이익(decrease_risk, SHAP=-0.996, 값=1236213065); 상장연도(increase_risk, SHAP=+0.669, 값=1989); 자산총계(decrease_risk, SHAP=-0.571, 값=7818145771)"
false_negative,KOSPI,004840,(주)디알비동일,2023,2024,manufacturing,mid_sized,0.0609834831190192,0.315,0.2540165168809808,투기등급,투자적격,"감가상각비(decrease_risk, SHAP=-0.758, 값=27129048); 자산총계(decrease_risk, SHAP=-0.736, 값=963651592); Market-to-Book(increase_risk, SHAP=+0.692, 값=0.234066); 매출총이익(decrease_risk, SHAP=-0.562, 값=145153276); 총부채회전율(increase_risk, SHAP=+0.366, 값=1.584773)"
false_negative,KOSDAQ,172670,(주)에이엘티,2023,2024,manufacturing,small_and_medium,0.0656312599881557,0.315,0.2493687400118443,투기등급,투자적격,"단기차입금 비중(decrease_risk, SHAP=-0.694, 값=0.189935); 순이익률(decrease_risk, SHAP=-0.567, 값=0.105321); 배당금 지급 여부(decrease_risk, SHAP=-0.500, 값=1); 자본잠식률(decrease_risk, SHAP=-0.422, 값=-23.035184); 이자보상배율(increase_risk, SHAP=+0.398, 값=1.268346)"
false_positive,KOSDAQ,317120,(주)라닉스,2023,2024,manufacturing,small_and_medium,0.9559325644351472,0.315,0.6409325644351471,투자적격,투기등급,"총자산증가율(increase_risk, SHAP=+0.568, 값=-0.303645); 순이익률(increase_risk, SHAP=+0.537, 값=-0.465185); 이자보상배율(increase_risk, SHAP=+0.506, 값=-1.922441); 자기자본비율(increase_risk, SHAP=+0.398, 값=0.363743); 매출총이익(increase_risk, SHAP=+0.392, 값=6588483)"
false_positive,KOSDAQ,290720,(주)푸드나무,2023,2024,wholesale_retail,small_and_medium,0.9168286904425104,0.315,0.6018286904425103,투자적격,투기등급,"산업 대분류(increase_risk, SHAP=+0.641, 값=wholesale_retail); 현금비율(decrease_risk, SHAP=-0.532, 값=0.305516); 자기자본비율(increase_risk, SHAP=+0.495, 값=0.199391); 세전계속사업이익 기준 ROE(increase_risk, SHAP=+0.484, 값=-0.889455); 배당금 지급 여부(decrease_risk, SHAP=-0.410, 값=1)"
