variant,segment_type,segment,rows,positives,negatives,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
baseline_43_native,overall,all,672,167,505,0.64,0.8622754491017964,0.7346938775510204,424,81,23,144
baseline_43_native,market,KOSDAQ,384,138,246,0.6296296296296297,0.8623188405797102,0.72782874617737,176,70,19,119
baseline_43_native,market,KOSPI,288,29,259,0.6944444444444444,0.8620689655172413,0.7692307692307693,248,11,4,25
baseline_43_native,industry,manufacturing,449,132,317,0.6608187134502924,0.8560606060606061,0.7458745874587459,259,58,19,113
baseline_43_native,industry,it_services,131,21,110,0.5294117647058824,0.8571428571428571,0.6545454545454545,94,16,3,18
feature_45_candidate3,overall,all,672,167,505,0.6293103448275862,0.874251497005988,0.731829573934837,419,86,21,146
feature_45_candidate3,market,KOSDAQ,384,138,246,0.6173469387755102,0.8768115942028986,0.7245508982035929,171,75,17,121
feature_45_candidate3,market,KOSPI,288,29,259,0.6944444444444444,0.8620689655172413,0.7692307692307693,248,11,4,25
feature_45_candidate3,industry,manufacturing,449,132,317,0.6534090909090909,0.8712121212121212,0.7467532467532467,256,61,17,115
feature_45_candidate3,industry,it_services,131,21,110,0.5142857142857142,0.8571428571428571,0.6428571428571429,93,17,3,18
