variant,feature_count,best_iteration,threshold_tuned,max_depth,min_child_weight,reg_lambda,subsample,colsample_bytree,scale_pos_weight_multiplier,scale_pos_weight,valid_pr_auc,valid_roc_auc,valid_brier,valid_logloss,test_pr_auc,test_roc_auc,test_brier,test_logloss,valid_precision_at_threshold,valid_recall_at_threshold,valid_f1_at_threshold,valid_true_negative_at_threshold,valid_false_positive_at_threshold,valid_false_negative_at_threshold,valid_true_positive_at_threshold,test_precision_at_threshold,test_recall_at_threshold,test_f1_at_threshold,test_true_negative_at_threshold,test_false_positive_at_threshold,test_false_negative_at_threshold,test_true_positive_at_threshold
baseline_43_native,43,332,0.315,4,3,1.0,0.9,0.9,1.0,3.3861047835990887,0.8155875017491411,0.9246477272727273,0.0944402621710599,0.29916013112974943,0.7743939580944008,0.9110393075235668,0.10178817167985191,0.3210880411511589,0.6651982378854625,0.8579545454545454,0.749379652605459,424,76,25,151,0.64,0.8622754491017964,0.7346938775510204,424,81,23,144
feature_45_default,45,272,0.315,4,3,1.0,0.9,0.9,1.0,3.3861047835990887,0.8179252823269301,0.9253522727272727,0.09424321206325022,0.29796136394101336,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.6536796536796536,0.8579545454545454,0.742014742014742,420,80,25,151,0.6293103448275862,0.874251497005988,0.731829573934837,419,86,21,146
feature_45_tuned_001,45,226,0.295,3,1,6.0,0.75,0.75,0.8,2.708883826879271,0.8037302032986643,0.9211477272727273,0.09763662606322424,0.3093298233066375,0.7617069255141635,0.902335922214976,0.10613188784537121,0.332646882304204,0.6521739130434783,0.8522727272727273,0.7389162561576355,420,80,26,150,0.5932203389830508,0.8383233532934131,0.6947890818858561,409,96,27,140
feature_45_tuned_002,45,295,0.31,3,1,6.0,0.75,0.75,1.5,5.079157175398633,0.8037086875248672,0.9210056818181818,0.0975288316910136,0.3082329242240757,0.7698436521319172,0.9052410031422303,0.10472016301488682,0.3289511964073767,0.6413502109704642,0.8636363636363636,0.7360774818401937,415,85,24,152,0.5914893617021276,0.8323353293413174,0.6915422885572139,409,96,28,139
feature_45_tuned_003,45,234,0.305,3,1,6.0,0.9,0.9,1.2,4.0633257403189065,0.8076998516875367,0.9233295454545455,0.09637339229537097,0.305316468484783,0.7639495012706616,0.9043991225469853,0.10546367253998523,0.3301260861441512,0.6593886462882096,0.8579545454545454,0.745679012345679,422,78,25,151,0.597457627118644,0.844311377245509,0.6997518610421837,410,95,26,141
feature_45_tuned_004,45,292,0.3,3,3,0.5,0.75,0.75,0.8,2.708883826879271,0.807129886162115,0.9223806818181818,0.09663730370248044,0.3058654799609515,0.7644465459863792,0.9035157407956365,0.10617932112125704,0.33084214485946317,0.6637168141592921,0.8522727272727273,0.746268656716418,424,76,26,150,0.597457627118644,0.844311377245509,0.6997518610421837,410,95,26,141
feature_45_tuned_005,45,191,0.295,3,3,0.5,0.75,0.9,0.8,2.708883826879271,0.8056423253173061,0.9213636363636364,0.09779017026340243,0.3090245690455257,0.7591771929839742,0.9022469911661823,0.10594743272798687,0.3338321947475861,0.6413502109704642,0.8636363636363636,0.7360774818401937,415,85,24,152,0.5875,0.844311377245509,0.6928746928746928,406,99,26,141
feature_45_tuned_006,45,301,0.31,3,3,0.5,0.75,0.9,1.0,3.3861047835990887,0.8135676835935366,0.9250852272727274,0.09510718252038065,0.3018015705971161,0.7733018345645654,0.9061599573130966,0.10412396246346842,0.3268595711781921,0.6771300448430493,0.8579545454545454,0.7568922305764411,428,72,25,151,0.6061946902654868,0.8203592814371258,0.6972010178117048,416,89,30,137
feature_45_tuned_007,45,326,0.325,3,3,1.0,0.9,0.9,1.2,4.0633257403189065,0.8102802109935938,0.9230568181818182,0.09637970437224673,0.3047491626763268,0.7667735713839395,0.9046718444299519,0.10469387430735597,0.32860932102597606,0.672645739910314,0.8522727272727273,0.7518796992481203,427,73,26,150,0.6192660550458715,0.8083832335329342,0.7012987012987013,422,83,32,135
feature_45_tuned_008,45,376,0.31,3,3,6.0,0.9,0.9,1.0,3.3861047835990887,0.8095940688895051,0.9232159090909091,0.09669748066896056,0.304601050065297,0.7699206868913008,0.9053951502934724,0.1049299682412095,0.3279347306550169,0.6756756756756757,0.8522727272727273,0.7537688442211056,428,72,26,150,0.6116071428571429,0.8203592814371258,0.7007672634271099,418,87,30,137
