threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,delta_precision,delta_recall,delta_f1,delta_false_positive,delta_false_negative
0.05,0.41645244215938304,0.9700598802395209,0.5827338129496403,278,227,5,162,-0.22354755784061697,0.10778443113772451,-0.15196006460138012,146,-18
0.055,0.4297082228116711,0.9700598802395209,0.5955882352941176,290,215,5,162,-0.21029177718832892,0.10778443113772451,-0.1391056422569028,134,-18
0.06,0.4327956989247312,0.9640718562874252,0.5974025974025974,294,211,6,161,-0.20720430107526883,0.10179640718562877,-0.13729128014842307,130,-17
0.065,0.43869209809264303,0.9640718562874252,0.602996254681648,299,206,6,161,-0.20130790190735698,0.10179640718562877,-0.13169762286937248,125,-17
0.07,0.4444444444444444,0.9580838323353293,0.6072106261859582,305,200,7,160,-0.1955555555555556,0.09580838323353291,-0.12748325136506222,119,-16
0.075,0.4491525423728814,0.9520958083832335,0.6103646833013435,310,195,8,159,-0.19084745762711863,0.08982035928143706,-0.12432919424967692,114,-15
0.08,0.4542857142857143,0.9520958083832335,0.6150870406189555,314,191,8,159,-0.18571428571428572,0.08982035928143706,-0.11960683693206497,110,-15
0.085,0.4608695652173913,0.9520958083832335,0.62109375,319,186,8,159,-0.1791304347826087,0.08982035928143706,-0.11360012755102045,105,-15
0.09,0.47181008902077154,0.9520958083832335,0.6309523809523809,327,178,8,159,-0.16818991097922847,0.08982035928143706,-0.10374149659863952,97,-15
0.095,0.4732142857142857,0.9520958083832335,0.6322067594433399,328,177,8,159,-0.16678571428571431,0.08982035928143706,-0.10248711810768052,96,-15
0.1,0.4746268656716418,0.9520958083832335,0.6334661354581673,329,176,8,159,-0.1653731343283582,0.08982035928143706,-0.10122774209285312,95,-15
0.105,0.4789156626506024,0.9520958083832335,0.6372745490981964,332,173,8,159,-0.1610843373493976,0.08982035928143706,-0.09741932845282408,92,-15
0.11,0.48466257668711654,0.9461077844311377,0.640973630831643,337,168,9,158,-0.15533742331288347,0.08383233532934131,-0.0937202467193774,87,-14
0.115,0.4876543209876543,0.9461077844311377,0.6435845213849287,339,166,9,158,-0.1523456790123457,0.08383233532934131,-0.09110935616609173,85,-14
0.12,0.490625,0.9401197604790419,0.6447638603696099,342,163,10,157,-0.14937500000000004,0.07784431137724546,-0.08993001718141058,82,-13
0.125,0.4984025559105431,0.9341317365269461,0.65,348,157,11,156,-0.1415974440894569,0.07185628742514971,-0.08469387755102042,76,-12
0.13,0.5064935064935064,0.9341317365269461,0.6568421052631579,353,152,11,156,-0.13350649350649357,0.07185628742514971,-0.07785177228786255,71,-12
0.135,0.5064935064935064,0.9341317365269461,0.6568421052631579,353,152,11,156,-0.13350649350649357,0.07185628742514971,-0.07785177228786255,71,-12
0.14,0.5064935064935064,0.9341317365269461,0.6568421052631579,353,152,11,156,-0.13350649350649357,0.07185628742514971,-0.07785177228786255,71,-12
0.145,0.50814332247557,0.9341317365269461,0.6582278481012658,354,151,11,156,-0.13185667752442998,0.07185628742514971,-0.07646602944975467,70,-12
0.15,0.5114754098360655,0.9341317365269461,0.6610169491525424,356,149,11,156,-0.12852459016393447,0.07185628742514971,-0.07367692839847806,68,-12
0.155,0.5149501661129569,0.9281437125748503,0.6623931623931624,359,146,12,155,-0.12504983388704316,0.06586826347305386,-0.07230071515785808,65,-11
0.16,0.5272108843537415,0.9281437125748503,0.6724511930585684,366,139,12,155,-0.11278911564625849,0.06586826347305386,-0.06224268449245207,58,-11
0.165,0.5272108843537415,0.9281437125748503,0.6724511930585684,366,139,12,155,-0.11278911564625849,0.06586826347305386,-0.06224268449245207,58,-11
0.17,0.5272108843537415,0.9281437125748503,0.6724511930585684,366,139,12,155,-0.11278911564625849,0.06586826347305386,-0.06224268449245207,58,-11
0.175,0.5255972696245734,0.9221556886227545,0.6695652173913044,366,139,13,154,-0.11440273037542659,0.05988023952095811,-0.06512866015971608,58,-10
0.18,0.5292096219931272,0.9221556886227545,0.6724890829694323,368,137,13,154,-0.11079037800687286,0.05988023952095811,-0.06220479458158812,56,-10
0.185,0.5292096219931272,0.9221556886227545,0.6724890829694323,368,137,13,154,-0.11079037800687286,0.05988023952095811,-0.06220479458158812,56,-10
0.19,0.532871972318339,0.9221556886227545,0.6754385964912281,370,135,13,154,-0.10712802768166096,0.05988023952095811,-0.059255281059792386,54,-10
0.195,0.5387323943661971,0.9161676646706587,0.6784922394678492,374,131,14,153,-0.10126760563380288,0.053892215568862256,-0.056201638083171246,50,-9
0.2,0.5406360424028268,0.9161676646706587,0.68,375,130,14,153,-0.0993639575971732,0.053892215568862256,-0.0546938775510204,49,-9
0.205,0.5425531914893617,0.9161676646706587,0.6815144766146993,376,129,14,153,-0.09744680851063836,0.053892215568862256,-0.05317940093632112,48,-9
0.21,0.5464285714285714,0.9161676646706587,0.6845637583892618,378,127,14,153,-0.09357142857142864,0.053892215568862256,-0.05013011916175869,46,-9
0.215,0.5483870967741935,0.9161676646706587,0.6860986547085202,379,126,14,153,-0.09161290322580651,0.053892215568862256,-0.048595222842500285,45,-9
0.22,0.5527272727272727,0.9101796407185628,0.6877828054298643,382,123,15,152,-0.08727272727272728,0.0479041916167664,-0.046911072121156194,42,-8
0.225,0.5527272727272727,0.9101796407185628,0.6877828054298643,382,123,15,152,-0.08727272727272728,0.0479041916167664,-0.046911072121156194,42,-8
0.23,0.5613382899628253,0.9041916167664671,0.6926605504587156,387,118,16,151,-0.0786617100371747,0.041916167664670656,-0.042033327092304895,37,-7
0.235,0.5639097744360902,0.8982035928143712,0.6928406466512702,389,116,17,150,-0.07609022556390976,0.0359281437125748,-0.04185323089975024,35,-6
0.24,0.5687022900763359,0.8922155688622755,0.6946386946386947,392,113,18,149,-0.07129770992366413,0.029940119760479056,-0.04005518291232579,32,-5
0.245,0.573076923076923,0.8922155688622755,0.6978922716627635,394,111,18,149,-0.06692307692307697,0.029940119760479056,-0.03680160588825698,30,-5
0.25,0.573076923076923,0.8922155688622755,0.6978922716627635,394,111,18,149,-0.06692307692307697,0.029940119760479056,-0.03680160588825698,30,-5
0.255,0.5752895752895753,0.8922155688622755,0.6995305164319249,395,110,18,149,-0.06471042471042476,0.029940119760479056,-0.03516336111909557,29,-5
0.26,0.58203125,0.8922155688622755,0.7044917257683215,398,107,18,149,-0.05796875000000001,0.029940119760479056,-0.030202151782698916,26,-5
0.265,0.5843137254901961,0.8922155688622755,0.7061611374407583,399,106,18,149,-0.0556862745098039,0.029940119760479056,-0.02853274011026219,25,-5
0.27,0.5889328063241107,0.8922155688622755,0.7095238095238096,401,104,18,149,-0.0510671936758893,0.029940119760479056,-0.02517006802721089,23,-5
0.275,0.5936254980079682,0.8922155688622755,0.7129186602870813,403,102,18,149,-0.04637450199203186,0.029940119760479056,-0.02177521726393916,21,-5
0.28,0.596,0.8922155688622755,0.7146282973621103,404,101,18,149,-0.04400000000000004,0.029940119760479056,-0.020065580188910137,20,-5
0.285,0.5983935742971888,0.8922155688622755,0.7163461538461539,405,100,18,149,-0.041606425702811256,0.029940119760479056,-0.018347723704866592,19,-5
0.29,0.6032388663967612,0.8922155688622755,0.7198067632850241,407,98,18,149,-0.03676113360323885,0.029940119760479056,-0.014887114265996315,17,-5
0.295,0.6032388663967612,0.8922155688622755,0.7198067632850241,407,98,18,149,-0.03676113360323885,0.029940119760479056,-0.014887114265996315,17,-5
0.3,0.6090534979423868,0.8862275449101796,0.7219512195121951,410,95,19,148,-0.03094650205761318,0.0239520958083832,-0.01274265803882535,14,-4
0.305,0.6176470588235294,0.8802395209580839,0.725925925925926,414,91,20,147,-0.022352941176470575,0.017964071856287456,-0.008767951625094472,10,-3
0.31,0.6266094420600858,0.874251497005988,0.73,418,87,21,146,-0.013390557939914172,0.0119760479041916,-0.0046938775510204644,6,-2
0.315,0.6293103448275862,0.874251497005988,0.731829573934837,419,86,21,146,-0.010689655172413826,0.0119760479041916,-0.0028643036161833946,5,-2
0.32,0.6260869565217392,0.8622754491017964,0.72544080604534,419,86,23,144,-0.013913043478260834,0.0,-0.009253071505680444,5,0
0.325,0.6327433628318584,0.8562874251497006,0.727735368956743,422,83,24,143,-0.007256637168141622,-0.005988023952095856,-0.0069585085942774905,2,1
0.33,0.6294642857142857,0.844311377245509,0.7212276214833759,422,83,26,141,-0.010535714285714315,-0.017964071856287456,-0.013466256067644511,2,3
0.335,0.6359447004608295,0.8263473053892215,0.71875,426,79,29,138,-0.004055299539170498,-0.03592814371257491,-0.015943877551020447,-2,6
0.34,0.641860465116279,0.8263473053892215,0.7225130890052356,428,77,29,138,0.0018604651162790198,-0.03592814371257491,-0.01218078854578486,-4,6
0.345,0.647887323943662,0.8263473053892215,0.7263157894736842,430,75,29,138,0.007887323943661984,-0.03592814371257491,-0.008378088077336199,-6,6
0.35,0.6462264150943396,0.8203592814371258,0.7229551451187335,430,75,30,137,0.006226415094339632,-0.041916167664670656,-0.011738732432286958,-6,7
0.355,0.6476190476190476,0.8143712574850299,0.7214854111405835,431,74,31,136,0.007619047619047636,-0.04790419161676651,-0.013208466410436936,-7,8
0.36,0.6507177033492823,0.8143712574850299,0.723404255319149,432,73,31,136,0.010717703349282237,-0.04790419161676651,-0.011289622231871466,-8,8
0.365,0.6536585365853659,0.8023952095808383,0.7204301075268817,434,71,33,134,0.013658536585365866,-0.05988023952095811,-0.0142637700241387,-10,10
