feature,before_missing_count,after_missing_count,reduced_count,after_missing_rate
short_term_borrowings_share,2378,743,1635,0.3061392665842604
ocf_to_total_borrowings,2378,686,1692,0.2826534816646065
total_borrowings_ratio,2377,624,1753,0.25710754017305315
market_to_book,424,424,0,0.17470127729707458
net_margin_diff,2335,393,1942,0.1619283065512979
intangible_assets_ratio,2002,162,1840,0.06674907292954264
total_assets_growth,2001,63,1938,0.02595797280593325
net_margin,2004,27,1977,0.011124845488257108
ocf_to_sales,2008,24,1984,0.009888751545117428
accruals_ratio,2002,22,1980,0.009064688916357644
cashflow_coverage_ratio,2008,20,1988,0.008240626287597858
interest_coverage_ratio,2003,17,1986,0.007004532344458179
total_debt_turnover,2003,16,1987,0.006592501030078286
ocf_to_total_liabilities,2007,15,1992,0.006180469715698393
cash_ratio,2006,14,1992,0.0057684384013185
pretax_roe,2004,14,1990,0.0057684384013185
current_ratio,2005,13,1992,0.005356407086938607
pretax_roa,2004,13,1991,0.005356407086938607
debt_ratio,2004,11,1993,0.004532344458178822
equity_ratio,2004,11,1993,0.004532344458178822
operating_roa,2004,11,1993,0.004532344458178822
