market,stock_code,corp_name,fiscal_year,eval_year,critical_feature_missing_count,feature_missing_count
KOSDAQ,0015N0,(주)아로마티카,2025,2026,20,22
KOSPI,0120G0,(주)삼양바이오팜,2025,2026,20,22
KOSDAQ,0007C0,(주)아크릴,2025,2026,20,21
KOSDAQ,0008Z0,에스엔시스(주),2025,2026,20,21
KOSDAQ,0009K0,(주)에임드바이오,2025,2026,20,21
KOSDAQ,0010V0,제이피아이헬스케어(주),2025,2026,20,21
KOSDAQ,0013V0,삼진식품(주),2025,2026,20,21
KOSDAQ,0015G0,(주)그린광학,2025,2026,20,21
KOSDAQ,0015S0,(주)페스카로,2025,2026,20,21
KOSPI,0126Z0,삼성에피스홀딩스(주),2025,2026,20,21
KOSDAQ,199730,(주)바이오인프라,2025,2026,12,14
KOSDAQ,217190,제너셈(주),2025,2026,11,12
KOSDAQ,000440,(주)중앙에너비스,2025,2026,9,9
KOSPI,000970,한국주철관공업(주),2025,2026,8,8
