prediction_result,market,stock_code,corp_name,fiscal_year,eval_year,credit_rating,credit_rating_rank,rating_boundary_group,rating_agency_group,selection_scope,industry_macro_category,firm_size_group,prob_speculative,threshold,distance_from_threshold,actual_label_name,predicted_label_name,confidence_error_score
false_negative,KOSPI,003620,케이지모빌리티(주),2024,2025,BB,12.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.0182998929647452,0.32,0.3017001070352548,투기등급,투자적격,0.9817001070352548
false_negative,KOSPI,003620,케이지모빌리티(주),2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.0231994327008628,0.32,0.29680056729913723,투기등급,투자적격,0.9768005672991372
false_negative,KOSDAQ,092870,(주)엑시콘,2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.0250263408085392,0.32,0.2949736591914608,투기등급,투자적격,0.9749736591914608
false_negative,KOSDAQ,108230,(주)톱텍,2024,2025,BB,12.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.032736120607528,0.32,0.287263879392472,투기등급,투자적격,0.967263879392472
false_negative,KOSDAQ,013310,아진산업(주),2024,2025,BB,12.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.0340500807083598,0.32,0.2859499192916402,투기등급,투자적격,0.9659499192916402
false_negative,KOSDAQ,094970,제이엠티(주),2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.0374486010720216,0.32,0.2825513989279784,투기등급,투자적격,0.9625513989279784
false_negative,KOSPI,004840,(주)디알비동일,2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.042100862692922,0.32,0.277899137307078,투기등급,투자적격,0.957899137307078
false_negative,KOSDAQ,178320,(주)서진시스템,2024,2025,BB+,11.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.0501484480129441,0.32,0.2698515519870559,투기등급,투자적격,0.9498515519870558
false_negative,KOSDAQ,053700,삼보모터스(주),2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.0536039135366915,0.32,0.2663960864633085,투기등급,투자적격,0.9463960864633085
false_negative,KOSPI,001390,케이지케미칼(주),2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.055692814700084,0.32,0.26430718529991604,투기등급,투자적격,0.944307185299916
false_negative,KOSDAQ,123410,코리아에프티(주),2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.0581988854702988,0.32,0.26180111452970123,투기등급,투자적격,0.9418011145297012
false_negative,KOSDAQ,024830,(주)세원물산,2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.064722659421699,0.32,0.255277340578301,투기등급,투자적격,0.935277340578301
false_negative,KOSDAQ,031310,(주)아이즈비전,2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,it_services,mid_sized,0.0811130886128991,0.32,0.2388869113871009,투기등급,투자적격,0.9188869113871009
false_negative,KOSDAQ,053700,삼보모터스(주),2024,2025,BB+,11.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.1076896154847815,0.32,0.2123103845152185,투기등급,투자적격,0.8923103845152185
false_negative,KOSDAQ,038680,에스넷시스템(주),2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,it_services,mid_sized,0.1202063397564772,0.32,0.1997936602435228,투기등급,투자적격,0.8797936602435228
false_negative,KOSDAQ,036010,아비코전자(주),2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.1385675841084925,0.32,0.18143241589150752,투기등급,투자적격,0.8614324158915075
false_negative,KOSDAQ,044340,(주)위닉스,2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.1707203782210449,0.32,0.1492796217789551,투기등급,투자적격,0.8292796217789551
false_negative,KOSDAQ,040160,(주)누리플렉스,2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,it_services,mid_sized,0.1877968014025811,0.32,0.13220319859741891,투기등급,투자적격,0.812203198597419
false_negative,KOSDAQ,024880,(주)케이피에프,2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.1986505492571285,0.32,0.12134945074287151,투기등급,투자적격,0.8013494507428716
false_negative,KOSDAQ,215360,우리산업(주),2024,2025,BB,12.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.2075795705916232,0.32,0.11242042940837679,투기등급,투자적격,0.7924204294083768
false_negative,KOSDAQ,172670,(주)에이엘티,2023,2024,BB-,13.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.2222949995565529,0.32,0.0977050004434471,투기등급,투자적격,0.7777050004434471
false_negative,KOSDAQ,222080,씨아이에스(주),2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.2313609177561711,0.32,0.08863908224382891,투기등급,투자적격,0.7686390822438289
false_negative,KOSDAQ,145170,(주)노브랜드,2024,2025,BB+,11.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.2420034652229173,0.32,0.07799653477708271,투기등급,투자적격,0.7579965347770827
false_negative,KOSDAQ,038290,(주)마크로젠,2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,it_services,mid_sized,0.2476727061530798,0.32,0.07232729384692022,투기등급,투자적격,0.7523272938469202
false_negative,KOSDAQ,214270,(주)에프에스엔,2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,it_services,mid_sized,0.2553802093502952,0.32,0.0646197906497048,투기등급,투자적격,0.7446197906497047
false_negative,KOSPI,013360,일성건설(주),2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,construction,mid_sized,0.2840720215788553,0.32,0.0359279784211447,투기등급,투자적격,0.7159279784211448
false_negative,KOSDAQ,452280,한선엔지니어링(주),2023,2024,B,15.0,deep_speculative_B_plus_or_lower,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.2905758202657645,0.32,0.0294241797342355,투기등급,투자적격,0.7094241797342355
false_negative,KOSDAQ,033160,엠케이전자(주),2023,2024,BB+,11.0,near_speculative_BB_plus_to_BB_minus,BIG3,BIG3,manufacturing,mid_sized,0.2924914961508669,0.32,0.027508503849133115,투기등급,투자적격,0.7075085038491331
false_negative,KOSDAQ,051490,나라엠앤디(주),2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.2946437092520539,0.32,0.025356290747946097,투기등급,투자적격,0.705356290747946
false_negative,KOSDAQ,161580,(주)필옵틱스,2023,2024,BB,12.0,near_speculative_BB_plus_to_BB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.2986702500042721,0.32,0.021329749995727898,투기등급,투자적격,0.7013297499957278
false_positive,KOSDAQ,317120,(주)라닉스,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.9714948278260264,0.32,0.6514948278260264,투자적격,투기등급,0.9714948278260264
false_positive,KOSDAQ,222980,한국맥널티(주),2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.899530899240436,0.32,0.579530899240436,투자적격,투기등급,0.899530899240436
false_positive,KOSPI,047400,유니온머티리얼(주),2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.8686737899430643,0.32,0.5486737899430643,투자적격,투기등급,0.8686737899430643
false_positive,KOSDAQ,196700,(주)웹스,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.8567232035038771,0.32,0.5367232035038771,투자적격,투기등급,0.8567232035038771
false_positive,KOSDAQ,290720,(주)푸드나무,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,wholesale_retail,small_and_medium,0.8513373916278404,0.32,0.5313373916278403,투자적격,투기등급,0.8513373916278404
false_positive,KOSDAQ,140670,알에스오토메이션(주),2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.817820661011438,0.32,0.497820661011438,투자적격,투기등급,0.817820661011438
false_positive,KOSDAQ,222980,한국맥널티(주),2024,2025,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.796515159168308,0.32,0.47651515916830794,투자적격,투기등급,0.796515159168308
false_positive,KOSDAQ,089970,브이엠(주),2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.7914819778100582,0.32,0.47148197781005824,투자적격,투기등급,0.7914819778100582
false_positive,KOSDAQ,095910,(주)에스에너지,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.7722585319222016,0.32,0.4522585319222016,투자적격,투기등급,0.7722585319222016
false_positive,KOSDAQ,317770,(주)엑스페릭스,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.7710705853338395,0.32,0.45107058533383954,투자적격,투기등급,0.7710705853338395
false_positive,KOSDAQ,456700,(주)길교이앤씨,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,it_services,small_and_medium,0.7573088577043495,0.32,0.4373088577043495,투자적격,투기등급,0.7573088577043495
false_positive,KOSDAQ,033540,(주)파라텍,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.7562092425782729,0.32,0.4362092425782729,투자적격,투기등급,0.7562092425782729
false_positive,KOSPI,025750,(주)한솔홈데코,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,mid_sized,0.7483013718302276,0.32,0.4283013718302276,투자적격,투기등급,0.7483013718302276
false_positive,KOSDAQ,262260,(주)에이프로,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.7467852930313471,0.32,0.4267852930313471,투자적격,투기등급,0.7467852930313471
false_positive,KOSDAQ,046120,(주)오르비텍,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,it_services,small_and_medium,0.7460027218466423,0.32,0.4260027218466423,투자적격,투기등급,0.7460027218466423
false_positive,KOSPI,013700,(주)까뮤이앤씨,2023,2024,A-,7.0,upper_investment_A_or_above,OTHER,OTHER_DOMESTIC,construction,mid_sized,0.707058556162225,0.32,0.387058556162225,투자적격,투기등급,0.707058556162225
false_positive,KOSPI,002410,범양건영(주),2023,2024,A,6.0,upper_investment_A_or_above,OTHER,OTHER_DOMESTIC,construction,mid_sized,0.6994963516288055,0.32,0.3794963516288055,투자적격,투기등급,0.6994963516288055
false_positive,KOSDAQ,259630,(주)엠플러스,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.690482996960844,0.32,0.370482996960844,투자적격,투기등급,0.690482996960844
false_positive,KOSPI,025750,(주)한솔홈데코,2024,2025,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,mid_sized,0.6879690959105669,0.32,0.36796909591056687,투자적격,투기등급,0.6879690959105669
false_positive,KOSDAQ,109740,(주)디에스케이,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.6863733166107198,0.32,0.36637331661071976,투자적격,투기등급,0.6863733166107198
false_positive,KOSDAQ,078150,(주)에이치비테크놀러지,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.6820093852229632,0.32,0.36200938522296316,투자적격,투기등급,0.6820093852229632
false_positive,KOSDAQ,014470,(주)부방,2023,2024,A+,5.0,upper_investment_A_or_above,BIG3,BIG3,other,mid_sized,0.67208127051049,0.32,0.35208127051049004,투자적격,투기등급,0.67208127051049
