dimension,segment,rows,positive_rows,negative_rows,positive_rate,pr_auc,roc_auc,precision,recall,f1,true_positive,true_negative,false_positive,false_negative,fp_rate_among_negatives,fn_rate_among_positives,fp_share_of_total_fp,fn_share_of_total_fn,error_count,error_share
fiscal_year,2023,637,161,476,0.25274725274725274,0.7765836033717044,0.9107142857142857,0.634703196347032,0.8633540372670807,0.7315789473684211,139,396,80,22,0.16806722689075632,0.13664596273291926,0.898876404494382,0.7333333333333333,102,0.8571428571428571
is_near_boundary_bbb_bb,True,400,138,262,0.345,0.670567816304916,0.8050116163292401,0.6098901098901099,0.8043478260869565,0.69375,111,191,71,27,0.27099236641221375,0.1956521739130435,0.797752808988764,0.9,98,0.8235294117647058
market,KOSDAQ,427,163,264,0.38173302107728335,0.8003696568908804,0.8588027514407883,0.6586538461538461,0.8404907975460123,0.738544474393531,137,193,71,26,0.2689393939393939,0.15950920245398773,0.797752808988764,0.8666666666666667,97,0.8151260504201681
industry_macro_category,manufacturing,598,162,436,0.2709030100334448,0.7990188836476964,0.9099841431645712,0.6732673267326733,0.8395061728395061,0.7472527472527473,136,370,66,26,0.15137614678899083,0.16049382716049382,0.7415730337078652,0.8666666666666667,92,0.773109243697479
rating_agency_group,OTHER,431,143,288,0.33178654292343385,0.7751328183399728,0.8702408702408703,0.634020618556701,0.8601398601398601,0.7299703264094956,123,217,71,20,0.2465277777777778,0.13986013986013987,0.797752808988764,0.6666666666666666,91,0.7647058823529411
selection_scope,OTHER_DOMESTIC,431,143,288,0.33178654292343385,0.7751328183399728,0.8702408702408703,0.634020618556701,0.8601398601398601,0.7299703264094956,123,217,71,20,0.2465277777777778,0.13986013986013987,0.797752808988764,0.6666666666666666,91,0.7647058823529411
is_exact_boundary_bbb_minus_bb_plus,False,804,147,657,0.1828358208955224,0.8477429380192718,0.9524844945588585,0.6649484536082474,0.8775510204081632,0.7565982404692082,129,592,65,18,0.0989345509893455,0.12244897959183673,0.7303370786516854,0.6,83,0.6974789915966386
market_x_industry,KOSDAQ / manufacturing,302,130,172,0.4304635761589404,0.8116870140085368,0.8408989266547406,0.6792452830188679,0.8307692307692308,0.7474048442906575,108,121,51,22,0.29651162790697677,0.16923076923076924,0.5730337078651685,0.7333333333333333,73,0.6134453781512605
rating_boundary_group,near_investment_BBB_plus_to_BBB_minus,260,0,260,0.0,,,0.0,0.0,0.0,0,189,71,0,0.27307692307692305,,0.797752808988764,0.0,71,0.5966386554621849
firm_size_group,small_and_medium,232,107,125,0.46120689655172414,0.8452952617680372,0.872373831775701,0.6455696202531646,0.9532710280373832,0.769811320754717,102,69,56,5,0.448,0.04672897196261682,0.6292134831460674,0.16666666666666666,61,0.5126050420168067
market_x_firm_size,KOSDAQ / small_and_medium,223,99,124,0.4439461883408072,0.8331955814376664,0.8682795698924731,0.6266666666666667,0.9494949494949495,0.7550200803212851,94,68,56,5,0.45161290322580644,0.050505050505050504,0.6292134831460674,0.16666666666666666,61,0.5126050420168067
market_x_rating_boundary,KOSDAQ / near_investment_BBB_plus_to_BBB_minus,148,0,148,0.0,,,0.0,0.0,0.0,0,91,57,0,0.38513513513513514,,0.6404494382022472,0.0,57,0.4789915966386555
firm_size_group,mid_sized,434,95,339,0.21889400921658986,0.7472520420212272,0.9035398230088496,0.7070707070707071,0.7368421052631579,0.7216494845360825,70,310,29,25,0.0855457227138643,0.2631578947368421,0.3258426966292135,0.8333333333333334,54,0.453781512605042
industry_x_firm_size,manufacturing / mid_sized,311,78,233,0.2508038585209003,0.7546259043974641,0.8911907120061627,0.7125,0.7307692307692307,0.7215189873417721,57,210,23,21,0.09871244635193133,0.2692307692307692,0.25842696629213485,0.7,44,0.3697478991596639
industry_x_firm_size,manufacturing / small_and_medium,168,84,84,0.5,0.8525964969915898,0.8563633786848072,0.6694915254237288,0.9404761904761905,0.7821782178217822,79,45,39,5,0.4642857142857143,0.05952380952380952,0.43820224719101125,0.16666666666666666,44,0.3697478991596639
market_x_firm_size,KOSDAQ / mid_sized,184,64,120,0.34782608695652173,0.7717008005978419,0.8511718749999999,0.7413793103448276,0.671875,0.7049180327868853,43,105,15,21,0.125,0.328125,0.16853932584269662,0.7,36,0.3025210084033613
is_exact_boundary_bbb_minus_bb_plus,True,120,56,64,0.4666666666666667,0.6128356834804921,0.6932198660714286,0.6470588235294118,0.7857142857142857,0.7096774193548387,44,40,24,12,0.375,0.21428571428571427,0.2696629213483146,0.4,36,0.3025210084033613
rating_agency_group,BIG3,482,60,422,0.12448132780082988,0.851996293741521,0.964652448657188,0.7352941176470589,0.8333333333333334,0.78125,50,404,18,10,0.04265402843601896,0.16666666666666666,0.20224719101123595,0.3333333333333333,28,0.23529411764705882
selection_scope,BIG3,482,60,422,0.12448132780082988,0.851996293741521,0.964652448657188,0.7352941176470589,0.8333333333333334,0.78125,50,404,18,10,0.04265402843601896,0.16666666666666666,0.20224719101123595,0.3333333333333333,28,0.23529411764705882
rating_boundary_group,near_speculative_BB_plus_to_BB_minus,140,138,2,0.9857142857142858,0.999130493330187,0.9420289855072463,1.0,0.8043478260869565,0.891566265060241,111,2,0,27,0.0,0.1956521739130435,0.0,0.9,27,0.226890756302521
credit_rating,BBB+,104,0,104,0.0,,,0.0,0.0,0.0,0,80,24,0,0.23076923076923078,,0.2696629213483146,0.0,24,0.20168067226890757
credit_rating,BBB-,62,0,62,0.0,,,0.0,0.0,0.0,0,38,24,0,0.3870967741935484,,0.2696629213483146,0.0,24,0.20168067226890757
market_x_rating_boundary,KOSDAQ / near_speculative_BB_plus_to_BB_minus,112,111,1,0.9910714285714286,0.9991613536092407,0.9099099099099099,1.0,0.7927927927927928,0.8844221105527639,88,1,0,23,0.0,0.2072072072072072,0.0,0.7666666666666667,23,0.19327731092436976
credit_rating,BBB,94,0,94,0.0,,,0.0,0.0,0.0,0,71,23,0,0.24468085106382978,,0.25842696629213485,0.0,23,0.19327731092436976
market,KOSPI,497,40,457,0.08048289738430583,0.7669554031613568,0.962445295404814,0.6666666666666666,0.9,0.7659574468085106,36,439,18,4,0.03938730853391685,0.1,0.20224719101123595,0.13333333333333333,22,0.18487394957983194
is_near_boundary_bbb_bb,False,524,65,459,0.12404580152671756,0.9633459096861835,0.9940506116976706,0.775,0.9538461538461539,0.8551724137931035,62,441,18,3,0.0392156862745098,0.046153846153846156,0.20224719101123595,0.1,21,0.17647058823529413
market_x_industry,KOSPI / manufacturing,296,32,264,0.10810810810810811,0.7501319252009871,0.9454900568181819,0.6511627906976745,0.875,0.7466666666666667,28,249,15,4,0.056818181818181816,0.125,0.16853932584269662,0.13333333333333333,19,0.15966386554621848
industry_macro_category,it_services,176,21,155,0.11931818181818182,0.7199114262265871,0.945468509984639,0.5294117647058824,0.8571428571428571,0.6545454545454545,18,139,16,3,0.1032258064516129,0.14285714285714285,0.1797752808988764,0.1,19,0.15966386554621848
market_x_industry,KOSDAQ / it_services,82,19,63,0.23170731707317074,0.689336221409991,0.8600668337510442,0.5,0.8421052631578947,0.6274509803921569,16,47,16,3,0.25396825396825395,0.15789473684210525,0.1797752808988764,0.1,19,0.15966386554621848
market_x_firm_size,KOSPI / mid_sized,250,31,219,0.124,0.7015881214107791,0.9277507733097657,0.6585365853658537,0.8709677419354839,0.75,27,205,14,4,0.0639269406392694,0.12903225806451613,0.15730337078651685,0.13333333333333333,18,0.15126050420168066
rating_boundary_group,upper_investment_A_or_above,450,0,450,0.0,,,0.0,0.0,0.0,0,432,18,0,0.04,,0.20224719101123595,0.0,18,0.15126050420168066
fiscal_year,2024,287,42,245,0.14634146341463414,0.8727350902681572,0.9614188532555878,0.7906976744186046,0.8095238095238095,0.8,34,236,9,8,0.036734693877551024,0.19047619047619047,0.10112359550561797,0.26666666666666666,17,0.14285714285714285
industry_x_firm_size,it_services / small_and_medium,49,15,34,0.30612244897959184,0.8413934975699681,0.9186274509803922,0.5172413793103449,1.0,0.6818181818181818,15,20,14,0,0.4117647058823529,0.0,0.15730337078651685,0.0,14,0.11764705882352941
market_x_rating_boundary,KOSDAQ / upper_investment_A_or_above,114,0,114,0.0,,,0.0,0.0,0.0,0,100,14,0,0.12280701754385964,,0.15730337078651685,0.0,14,0.11764705882352941
market_x_rating_boundary,KOSPI / near_investment_BBB_plus_to_BBB_minus,112,0,112,0.0,,,0.0,0.0,0.0,0,98,14,0,0.125,,0.15730337078651685,0.0,14,0.11764705882352941
credit_rating,BB,54,54,0,1.0,,,1.0,0.7592592592592593,0.8631578947368421,41,0,0,13,,0.24074074074074073,0.0,0.43333333333333335,13,0.1092436974789916
credit_rating,BB+,58,56,2,0.9655172413793104,0.9980321422684701,0.9464285714285714,1.0,0.7857142857142857,0.88,44,2,0,12,0.0,0.21428571428571427,0.0,0.4,12,0.10084033613445378
credit_rating,A,108,0,108,0.0,,,0.0,0.0,0.0,0,99,9,0,0.08333333333333333,,0.10112359550561797,0.0,9,0.07563025210084033
credit_rating,A-,71,0,71,0.0,,,0.0,0.0,0.0,0,64,7,0,0.09859154929577464,,0.07865168539325842,0.0,7,0.058823529411764705
