comparison,feature,error_median,reference_median,median_delta,standardized_median_delta,abs_standardized_median_delta,error_mean,reference_mean,error_missing_rate,reference_missing_rate,error_rows,reference_rows
false_negative_vs_true_positive,net_margin,0.027024195327048847,-0.0728872543371045,0.09991144966415334,1.3686211109927622,1.3686211109927622,0.020992145628801348,-0.21592858388262473,0.0,0.0,30,173
false_negative_vs_true_positive,pretax_roe,0.06613285828551135,-0.0990614945051273,0.16519435279063865,1.283677321186793,1.283677321186793,0.04708265663755056,-0.24599812305696192,0.0,0.0,30,173
false_negative_vs_true_positive,pretax_roa,0.0336041124331181,-0.0518066288623487,0.0854107412954668,1.2173132114622964,1.2173132114622964,0.02127588426474388,-0.08900129664969855,0.0,0.0,30,173
false_negative_vs_true_positive,icr_under_1,0.0,1.0,-1.0,-1.0,1.0,0.2,0.7398843930635838,0.0,0.0,30,173
false_negative_vs_true_positive,dividend_payer,1.0,0.0,1.0,1.0,1.0,0.7,0.12716763005780346,0.0,0.0,30,173
false_negative_vs_true_positive,operating_roa,0.0263636237406429,-0.0203569457321279,0.0467205694727708,0.8895644062473086,0.8895644062473086,0.031621210660493206,-0.04013554251213135,0.0,0.0,30,173
false_negative_vs_true_positive,ocf_to_sales,0.0655862741894455,0.0024665052871461,0.0631197689022994,0.6105997232543022,0.6105997232543022,0.07958961825086151,-0.04516144852195639,0.0,0.0,30,173
false_negative_vs_true_positive,ocf_to_total_borrowings,0.3581435021756901,0.01834605847569,0.3397974437000001,0.5804277415070815,0.5804277415070815,0.32566886551107654,-15.293794199060523,0.03333333333333333,0.07514450867052024,30,173
false_negative_vs_true_positive,capital_impairment_ratio,-21.13555529610141,-3.6299935489930473,-17.50556174710836,-0.5647154158157573,0.5647154158157573,-25.78098251244961,-8.338109689226389,0.0,0.0,30,173
false_negative_vs_true_positive,market_to_book,0.718773,1.2654765,-0.5467034999999999,-0.5407707045998351,0.5407707045998351,0.8767746785714283,2.3722956824324326,0.06666666666666667,0.14450867052023122,30,173
false_negative_vs_true_positive,ocf_to_total_liabilities,0.10477805133298021,0.0032640759753274,0.10151397535765282,0.509999139516086,0.509999139516086,0.18529832842419225,-0.02830304248811253,0.0,0.0,30,173
false_negative_vs_true_positive,interest_coverage_ratio,2.3523969410860714,-0.7960348401694045,3.148431781255476,0.4602543572378943,0.4602543572378943,33338.73968285757,-4.496616954973757,0.0,0.0,30,173
false_negative_vs_true_positive,cashflow_coverage_ratio,4.503746047553419,0.0610391000964137,4.442706947457005,0.4513829470575662,0.4513829470575662,33342.29425833375,0.03302461162451817,0.0,0.0,30,173
false_negative_vs_true_positive,listed_year,2001.0,2010.0,-9.0,-0.42857142857142855,0.42857142857142855,2003.2,2008.3063583815028,0.0,0.0,30,173
false_negative_vs_true_positive,net_margin_diff,0.0038314061724609005,-0.021028336417661102,0.024859742590122004,0.38032431059276467,0.38032431059276467,-0.019248848471401295,-0.0025131504911323874,0.2,0.15606936416184972,30,173
false_negative_vs_true_positive,total_assets_growth,0.0548505407602502,0.0037683372319486,0.0510822035283016,0.33882803350768415,0.33882803350768415,0.09995108737381192,0.066247491086127,0.2,0.15028901734104047,30,173
false_negative_vs_true_positive,total_debt_turnover,1.9681279758363261,1.4815895050236207,0.4865384708127054,0.3148470880742663,0.3148470880742663,2.0186098835647988,1.6612359715747718,0.0,0.0,30,173
false_negative_vs_true_positive,total_borrowings_ratio,0.13771071129101403,0.1925483833415957,-0.05483767205058168,-0.24993948971673158,0.24993948971673158,0.1795787571402865,0.19919200475106744,0.0,0.0,30,173
false_negative_vs_true_positive,debt_ratio,1.239803247492075,0.9863779058631184,0.2534253416289567,0.2173060111988808,0.2173060111988808,1.2011483119099033,1.5828916994389808,0.0,0.0,30,173
false_negative_vs_true_positive,equity_ratio,0.44647328424006794,0.5014164700779873,-0.05494318583791935,-0.18170760478500877,0.18170760478500877,0.502770307263327,0.4916304760013879,0.0,0.0,30,173
false_negative_vs_true_positive,accruals_ratio,-0.0491929115277962,-0.0588955510143706,0.009702639486574398,0.1271635648579663,0.1271635648579663,-0.05089413011810982,-0.08322377231481641,0.0,0.0,30,173
