dimension,segment,rows,positive_rows,negative_rows,positive_rate,pr_auc,roc_auc,precision,recall,f1,true_positive,true_negative,false_positive,false_negative,fp_rate_among_negatives,fn_rate_among_positives
overall,test_all,924,203,721,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.7004048582995951,0.8522167487684729,0.7688888888888888,173,647,74,30,0.10263522884882108,0.1477832512315271
market,KOSDAQ,427,163,264,0.38173302107728335,0.8427058573821711,0.8900120840304889,0.711340206185567,0.8466257668711656,0.773109243697479,138,208,56,25,0.21212121212121213,0.15337423312883436
market,KOSPI,497,40,457,0.08048289738430583,0.7908134038753692,0.9649890590809629,0.660377358490566,0.875,0.7526881720430108,35,439,18,5,0.03938730853391685,0.125
industry_macro_category,construction,44,6,38,0.13636363636363635,0.7746031746031745,0.9605263157894737,0.625,0.8333333333333334,0.7142857142857143,5,35,3,1,0.07894736842105263,0.16666666666666666
industry_macro_category,it_services,176,21,155,0.11931818181818182,0.8085677828177533,0.9640552995391705,0.64,0.7619047619047619,0.6956521739130435,16,146,9,5,0.05806451612903226,0.23809523809523808
industry_macro_category,manufacturing,598,162,436,0.2709030100334448,0.8331857336995973,0.9257843470381697,0.7040816326530612,0.8518518518518519,0.770949720670391,138,378,58,24,0.13302752293577982,0.14814814814814814
industry_macro_category,other,22,0,22,0.0,,,0.0,0.0,0.0,0,21,1,0,0.045454545454545456,
industry_macro_category,transport_storage,21,0,21,0.0,,,0.0,0.0,0.0,0,20,1,0,0.047619047619047616,
industry_macro_category,wholesale_retail,63,14,49,0.2222222222222222,0.9564643689643688,0.988338192419825,0.875,1.0,0.9333333333333333,14,47,2,0,0.04081632653061224,0.0
firm_size_group,large,256,1,255,0.00390625,1.0,1.0,0.14285714285714285,1.0,0.25,1,249,6,0,0.023529411764705882,0.0
firm_size_group,mid_sized,434,95,339,0.21889400921658986,0.7710613348307244,0.9065362521347617,0.7391304347826086,0.7157894736842105,0.7272727272727273,68,315,24,27,0.07079646017699115,0.28421052631578947
firm_size_group,other,2,0,2,0.0,,,0.0,0.0,0.0,0,2,0,0,0.0,
firm_size_group,small_and_medium,232,107,125,0.46120689655172414,0.89367219378448,0.918429906542056,0.7027027027027027,0.9719626168224299,0.8156862745098039,104,81,44,3,0.352,0.028037383177570093
fiscal_year,2023,637,161,476,0.25274725274725274,0.8191536370164876,0.9286888668510882,0.6798029556650246,0.8571428571428571,0.7582417582417582,138,411,65,23,0.13655462184873948,0.14285714285714285
fiscal_year,2024,287,42,245,0.14634146341463414,0.8811410215927492,0.9637512147716228,0.7954545454545454,0.8333333333333334,0.813953488372093,35,236,9,7,0.036734693877551024,0.16666666666666666
market_x_industry,KOSDAQ / construction,15,3,12,0.2,1.0,1.0,0.75,1.0,0.8571428571428571,3,11,1,0,0.08333333333333333,0.0
market_x_industry,KOSDAQ / it_services,82,19,63,0.23170731707317074,0.7805299581173977,0.9047619047619048,0.6086956521739131,0.7368421052631579,0.6666666666666666,14,54,9,5,0.14285714285714285,0.2631578947368421
market_x_industry,KOSDAQ / manufacturing,302,130,172,0.4304635761589404,0.8462299040179424,0.8746869409660107,0.7189542483660131,0.8461538461538461,0.7773851590106007,110,129,43,20,0.25,0.15384615384615385
market_x_industry,KOSDAQ / other,4,0,4,0.0,,,0.0,0.0,0.0,0,3,1,0,0.25,
market_x_industry,KOSDAQ / transport_storage,2,0,2,0.0,,,0.0,0.0,0.0,0,2,0,0,0.0,
market_x_industry,KOSDAQ / wholesale_retail,22,11,11,0.5,0.9516705516705517,0.9504132231404958,0.8461538461538461,1.0,0.9166666666666666,11,9,2,0,0.18181818181818182,0.0
market_x_industry,KOSPI / construction,29,3,26,0.10344827586206896,0.7,0.9487179487179488,0.5,0.6666666666666666,0.5714285714285714,2,24,2,1,0.07692307692307693,0.3333333333333333
market_x_industry,KOSPI / it_services,94,2,92,0.02127659574468085,1.0,1.0,1.0,1.0,1.0,2,92,0,0,0.0,0.0
market_x_industry,KOSPI / manufacturing,296,32,264,0.10810810810810811,0.7775836897521712,0.9496922348484849,0.6511627906976745,0.875,0.7466666666666667,28,249,15,4,0.056818181818181816,0.125
market_x_industry,KOSPI / other,18,0,18,0.0,,,0.0,0.0,0.0,0,18,0,0,0.0,
market_x_industry,KOSPI / transport_storage,19,0,19,0.0,,,0.0,0.0,0.0,0,18,1,0,0.05263157894736842,
market_x_industry,KOSPI / wholesale_retail,41,3,38,0.07317073170731707,1.0,1.0,1.0,1.0,1.0,3,38,0,0,0.0,0.0
market_x_firm_size,KOSDAQ / large,19,0,19,0.0,,,0.0,0.0,0.0,0,19,0,0,0.0,
market_x_firm_size,KOSDAQ / mid_sized,184,64,120,0.34782608695652173,0.8057847432561741,0.8661458333333333,0.7777777777777778,0.65625,0.711864406779661,42,108,12,22,0.1,0.34375
market_x_firm_size,KOSDAQ / other,1,0,1,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,
market_x_firm_size,KOSDAQ / small_and_medium,223,99,124,0.4439461883408072,0.8843839748101691,0.9145487129358097,0.6857142857142857,0.9696969696969697,0.803347280334728,96,80,44,3,0.3548387096774194,0.030303030303030304
market_x_firm_size,KOSPI / large,237,1,236,0.004219409282700422,1.0,1.0,0.14285714285714285,1.0,0.25,1,230,6,0,0.025423728813559324,0.0
market_x_firm_size,KOSPI / mid_sized,250,31,219,0.124,0.7159349383595244,0.9276771247606422,0.6842105263157895,0.8387096774193549,0.7536231884057971,26,207,12,5,0.0547945205479452,0.16129032258064516
market_x_firm_size,KOSPI / other,1,0,1,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,
market_x_firm_size,KOSPI / small_and_medium,9,8,1,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,8,1,0,0,0.0,0.0
industry_x_firm_size,construction / large,16,1,15,0.0625,1.0,1.0,1.0,1.0,1.0,1,15,0,0,0.0,0.0
industry_x_firm_size,construction / mid_sized,26,4,22,0.15384615384615385,0.6678571428571429,0.9204545454545454,0.5,0.75,0.6,3,19,3,1,0.13636363636363635,0.25
industry_x_firm_size,construction / small_and_medium,2,1,1,0.5,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0.0,0.0
industry_x_firm_size,it_services / large,63,0,63,0.0,,,0.0,0.0,0.0,0,63,0,0,0.0,
industry_x_firm_size,it_services / mid_sized,64,6,58,0.09375,0.5211640211640212,0.9396551724137931,0.5,0.16666666666666666,0.25,1,57,1,5,0.017241379310344827,0.8333333333333334
industry_x_firm_size,it_services / small_and_medium,49,15,34,0.30612244897959184,0.9115870240870241,0.9549019607843138,0.6521739130434783,1.0,0.7894736842105263,15,26,8,0,0.23529411764705882,0.0
industry_x_firm_size,manufacturing / large,119,0,119,0.0,,,0.0,0.0,0.0,0,114,5,0,0.04201680672268908,
industry_x_firm_size,manufacturing / mid_sized,311,78,233,0.2508038585209003,0.7883257284334915,0.898481346979201,0.75,0.7307692307692307,0.7402597402597403,57,214,19,21,0.0815450643776824,0.2692307692307692
industry_x_firm_size,manufacturing / small_and_medium,168,84,84,0.5,0.8872422521577513,0.9002267573696145,0.7043478260869566,0.9642857142857143,0.8140703517587939,81,50,34,3,0.40476190476190477,0.03571428571428571
industry_x_firm_size,other / large,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
industry_x_firm_size,other / mid_sized,11,0,11,0.0,,,0.0,0.0,0.0,0,10,1,0,0.09090909090909091,
industry_x_firm_size,other / other,2,0,2,0.0,,,0.0,0.0,0.0,0,2,0,0,0.0,
industry_x_firm_size,other / small_and_medium,1,0,1,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,
industry_x_firm_size,transport_storage / large,16,0,16,0.0,,,0.0,0.0,0.0,0,15,1,0,0.0625,
industry_x_firm_size,transport_storage / mid_sized,4,0,4,0.0,,,0.0,0.0,0.0,0,4,0,0,0.0,
industry_x_firm_size,transport_storage / small_and_medium,1,0,1,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,
industry_x_firm_size,wholesale_retail / large,34,0,34,0.0,,,0.0,0.0,0.0,0,34,0,0,0.0,
industry_x_firm_size,wholesale_retail / mid_sized,18,7,11,0.3888888888888889,1.0,1.0,1.0,1.0,1.0,7,11,0,0,0.0,0.0
industry_x_firm_size,wholesale_retail / small_and_medium,11,7,4,0.6363636363636364,0.982142857142857,0.9642857142857143,0.7777777777777778,1.0,0.875,7,2,2,0,0.5,0.0
credit_rating,A,108,0,108,0.0,,,0.0,0.0,0.0,0,106,2,0,0.018518518518518517,
credit_rating,A+,101,0,101,0.0,,,0.0,0.0,0.0,0,100,1,0,0.009900990099009901,
credit_rating,A-,71,0,71,0.0,,,0.0,0.0,0.0,0,65,6,0,0.08450704225352113,
credit_rating,AA,43,0,43,0.0,,,0.0,0.0,0.0,0,43,0,0,0.0,
credit_rating,AA+,22,0,22,0.0,,,0.0,0.0,0.0,0,22,0,0,0.0,
credit_rating,AA-,93,0,93,0.0,,,0.0,0.0,0.0,0,93,0,0,0.0,
credit_rating,AAA,12,0,12,0.0,,,0.0,0.0,0.0,0,12,0,0,0.0,
credit_rating,B,19,19,0,1.0,,,1.0,0.9473684210526315,0.972972972972973,18,0,0,1,,0.05263157894736842
