dimension,segment,rows,positive_rows,negative_rows,positive_rate,pr_auc,roc_auc,precision,recall,f1,true_positive,true_negative,false_positive,false_negative,fp_rate_among_negatives,fn_rate_among_positives
credit_rating,A,108,0,108,0.0,,,0.0,0.0,0.0,0,99,9,0,0.08333333333333333,
credit_rating,A+,101,0,101,0.0,,,0.0,0.0,0.0,0,99,2,0,0.019801980198019802,
credit_rating,A-,71,0,71,0.0,,,0.0,0.0,0.0,0,64,7,0,0.09859154929577464,
credit_rating,AA,43,0,43,0.0,,,0.0,0.0,0.0,0,43,0,0,0.0,
credit_rating,AA+,22,0,22,0.0,,,0.0,0.0,0.0,0,22,0,0,0.0,
credit_rating,AA-,93,0,93,0.0,,,0.0,0.0,0.0,0,93,0,0,0.0,
credit_rating,AAA,12,0,12,0.0,,,0.0,0.0,0.0,0,12,0,0,0.0,
credit_rating,B,19,19,0,1.0,,,1.0,1.0,1.0,19,0,0,0,,0.0
credit_rating,B+,23,22,1,0.9565217391304348,0.9999999999999998,1.0,1.0,0.8636363636363636,0.926829268292683,19,1,0,3,0.0,0.13636363636363635
credit_rating,B-,17,17,0,1.0,,,1.0,1.0,1.0,17,0,0,0,,0.0
credit_rating,BB,54,54,0,1.0,,,1.0,0.7592592592592593,0.8631578947368421,41,0,0,13,,0.24074074074074073
credit_rating,BB+,58,56,2,0.9655172413793104,0.9980321422684701,0.9464285714285714,1.0,0.7857142857142857,0.88,44,2,0,12,0.0,0.21428571428571427
credit_rating,BB-,28,28,0,1.0,,,1.0,0.9285714285714286,0.9629629629629629,26,0,0,2,,0.07142857142857142
credit_rating,BBB,94,0,94,0.0,,,0.0,0.0,0.0,0,71,23,0,0.24468085106382978,
credit_rating,BBB+,104,0,104,0.0,,,0.0,0.0,0.0,0,80,24,0,0.23076923076923078,
credit_rating,BBB-,62,0,62,0.0,,,0.0,0.0,0.0,0,38,24,0,0.3870967741935484,
credit_rating,C,3,3,0,1.0,,,1.0,1.0,1.0,3,0,0,0,,0.0
credit_rating,CCC,3,3,0,1.0,,,1.0,1.0,1.0,3,0,0,0,,0.0
credit_rating,D,1,1,0,1.0,,,1.0,1.0,1.0,1,0,0,0,,0.0
credit_rating,,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
rating_boundary_group,deep_speculative_B_plus_or_lower,66,65,1,0.9848484848484849,1.0,1.0,1.0,0.9538461538461539,0.9763779527559056,62,1,0,3,0.0,0.046153846153846156
rating_boundary_group,missing_rating,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
rating_boundary_group,near_investment_BBB_plus_to_BBB_minus,260,0,260,0.0,,,0.0,0.0,0.0,0,189,71,0,0.27307692307692305,
rating_boundary_group,near_speculative_BB_plus_to_BB_minus,140,138,2,0.9857142857142858,0.999130493330187,0.9420289855072463,1.0,0.8043478260869565,0.891566265060241,111,2,0,27,0.0,0.1956521739130435
rating_boundary_group,upper_investment_A_or_above,450,0,450,0.0,,,0.0,0.0,0.0,0,432,18,0,0.04,
is_exact_boundary_bbb_minus_bb_plus,False,804,147,657,0.1828358208955224,0.8477429380192718,0.9524844945588585,0.6649484536082474,0.8775510204081632,0.7565982404692082,129,592,65,18,0.0989345509893455,0.12244897959183673
is_exact_boundary_bbb_minus_bb_plus,True,120,56,64,0.4666666666666667,0.6128356834804921,0.6932198660714286,0.6470588235294118,0.7857142857142857,0.7096774193548387,44,40,24,12,0.375,0.21428571428571427
is_near_boundary_bbb_bb,False,524,65,459,0.12404580152671756,0.9633459096861835,0.9940506116976706,0.775,0.9538461538461539,0.8551724137931035,62,441,18,3,0.0392156862745098,0.046153846153846156
is_near_boundary_bbb_bb,True,400,138,262,0.345,0.670567816304916,0.8050116163292401,0.6098901098901099,0.8043478260869565,0.69375,111,191,71,27,0.27099236641221375,0.1956521739130435
rating_agency_group,BIG3,482,60,422,0.12448132780082988,0.851996293741521,0.964652448657188,0.7352941176470589,0.8333333333333334,0.78125,50,404,18,10,0.04265402843601896,0.16666666666666666
rating_agency_group,FOREIGN,3,0,3,0.0,,,0.0,0.0,0.0,0,3,0,0,0.0,
rating_agency_group,OTHER,431,143,288,0.33178654292343385,0.7751328183399728,0.8702408702408703,0.634020618556701,0.8601398601398601,0.7299703264094956,123,217,71,20,0.2465277777777778,0.13986013986013987
rating_agency_group,,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
selection_scope,BIG3,482,60,422,0.12448132780082988,0.851996293741521,0.964652448657188,0.7352941176470589,0.8333333333333334,0.78125,50,404,18,10,0.04265402843601896,0.16666666666666666
selection_scope,FOREIGN_BACKFILL,3,0,3,0.0,,,0.0,0.0,0.0,0,3,0,0,0.0,
selection_scope,OTHER_DOMESTIC,431,143,288,0.33178654292343385,0.7751328183399728,0.8702408702408703,0.634020618556701,0.8601398601398601,0.7299703264094956,123,217,71,20,0.2465277777777778,0.13986013986013987
selection_scope,,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
market_x_rating_boundary,KOSDAQ / deep_speculative_B_plus_or_lower,52,52,0,1.0,,,1.0,0.9423076923076923,0.9702970297029703,49,0,0,3,,0.057692307692307696
market_x_rating_boundary,KOSDAQ / missing_rating,1,0,1,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,
market_x_rating_boundary,KOSDAQ / near_investment_BBB_plus_to_BBB_minus,148,0,148,0.0,,,0.0,0.0,0.0,0,91,57,0,0.38513513513513514,
market_x_rating_boundary,KOSDAQ / near_speculative_BB_plus_to_BB_minus,112,111,1,0.9910714285714286,0.9991613536092407,0.9099099099099099,1.0,0.7927927927927928,0.8844221105527639,88,1,0,23,0.0,0.2072072072072072
market_x_rating_boundary,KOSDAQ / upper_investment_A_or_above,114,0,114,0.0,,,0.0,0.0,0.0,0,100,14,0,0.12280701754385964,
market_x_rating_boundary,KOSPI / deep_speculative_B_plus_or_lower,14,13,1,0.9285714285714286,0.9999999999999998,1.0,1.0,1.0,1.0,13,1,0,0,0.0,0.0
market_x_rating_boundary,KOSPI / missing_rating,7,0,7,0.0,,,0.0,0.0,0.0,0,7,0,0,0.0,
market_x_rating_boundary,KOSPI / near_investment_BBB_plus_to_BBB_minus,112,0,112,0.0,,,0.0,0.0,0.0,0,98,14,0,0.125,
market_x_rating_boundary,KOSPI / near_speculative_BB_plus_to_BB_minus,28,27,1,0.9642857142857143,0.9986772486772484,0.9629629629629629,1.0,0.8518518518518519,0.92,23,1,0,4,0.0,0.14814814814814814
market_x_rating_boundary,KOSPI / upper_investment_A_or_above,336,0,336,0.0,,,0.0,0.0,0.0,0,332,4,0,0.011904761904761904,
