set,classifier,n,tp,fp,tn,fn,precision,recall,f1,accuracy
rolling pilot 5,1차 모델,5,1,2,1,1,0.3333,0.5,0.4,0.4
rolling pilot 5,2차 검토대상(보류+부적격),5,2,3,0,0,0.4,1.0,0.5714,0.4
rolling pilot 5,2차 위험신호(위험보류+부적격),5,2,2,1,0,0.5,1.0,0.6667,0.6
rolling pilot 5,2차 부적격만,5,1,1,2,1,0.5,0.5,0.5,0.6
historical test 12,1차 모델,12,3,6,0,3,0.3333,0.5,0.4,0.25
historical test 12,2차 검토대상(보류+부적격),12,6,6,0,0,0.5,1.0,0.6667,0.5
historical test 12,2차 위험신호(위험보류+부적격),12,6,1,5,0,0.8571,1.0,0.9231,0.9167
historical test 12,2차 부적격만,12,3,1,5,3,0.75,0.5,0.6,0.6667
holdout guardrail 8,1차 모델,8,4,2,0,2,0.6667,0.6667,0.6667,0.5
holdout guardrail 8,2차 검토대상(보류+부적격),8,6,2,0,0,0.75,1.0,0.8571,0.75
holdout guardrail 8,2차 위험신호(위험보류+부적격),8,6,0,2,0,1.0,1.0,1.0,1.0
holdout guardrail 8,2차 부적격만,8,4,0,2,2,1.0,0.6667,0.8,0.75
Agno round2 10,1차 모델,10,2,4,2,2,0.3333,0.5,0.4,0.4
Agno round2 10,2차 검토대상(보류+부적격),10,4,5,1,0,0.4444,1.0,0.6154,0.5
Agno round2 10,2차 위험신호(위험보류+부적격),10,3,1,5,1,0.75,0.75,0.75,0.8
Agno round2 10,2차 부적격만,10,1,0,6,3,1.0,0.25,0.4,0.7
Agno round3 10,1차 모델,10,3,3,2,2,0.5,0.6,0.5455,0.5
Agno round3 10,2차 검토대상(보류+부적격),10,5,4,1,0,0.5556,1.0,0.7143,0.6
Agno round3 10,2차 위험신호(위험보류+부적격),10,3,1,4,2,0.75,0.6,0.6667,0.7
Agno round3 10,2차 부적격만,10,1,0,5,4,1.0,0.2,0.3333,0.6
random rolling 10,1차 모델,10,1,1,8,0,0.5,1.0,0.6667,0.9
random rolling 10,2차 검토대상(보류+부적격),10,1,1,8,0,0.5,1.0,0.6667,0.9
random rolling 10,2차 위험신호(위험보류+부적격),10,1,0,9,0,1.0,1.0,1.0,1.0
random rolling 10,2차 부적격만,10,1,0,9,0,1.0,1.0,1.0,1.0
