evaluation_mode,split,rolling_eval_year,policy_year,committee_policy,sample_category,market,stock_code,corp_name,fiscal_year,eval_year,as_of_date,actual_label_name,model_predicted_label_name,model_error_type,credit_rating,rating_boundary_group,rating_agency_group,industry_macro_category,firm_size_group,prob_speculative,threshold,stage1_probability_margin,trigger_reason_code,trigger_reason,evidence_cutoff_rule,committee_success_question,company_selection_json
rolling_validation_error_risk,rolling_validation,2021,2020,error_risk_rolling_10,fn_caught_by_stage2_review,KOSDAQ,206560,(주)덱스터스튜디오,2021,2022,2021-12-31,투기등급,투자적격,false_negative,BB+,near_speculative_BB_plus_to_BB_minus,OTHER,it_services,small_and_medium,0.28884283,0.31,-0.0211571729183197,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투기등급을 1차 모델이 놓친 사례입니다. 위원회가 보류/부적격으로 끌어올리는지 확인합니다.,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""(주)덱스터스튜디오"", ""market"": ""KOSDAQ"", ""stock_code"": ""206560""}, ""request_id"": ""committee-eval-KOSDAQ-206560-2021"", ""selected_at"": ""2026-05-21T01:02:13.329086+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2021,2020,error_risk_rolling_10,fn_caught_by_stage2_review,KOSDAQ,048550,(주)에스엠컬처앤콘텐츠,2021,2022,2021-12-31,투기등급,투자적격,false_negative,BB+,near_speculative_BB_plus_to_BB_minus,OTHER,it_services,mid_sized,0.28778344,0.31,-0.0222165560722351,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투기등급을 1차 모델이 놓친 사례입니다. 위원회가 보류/부적격으로 끌어올리는지 확인합니다.,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""(주)에스엠컬처앤콘텐츠"", ""market"": ""KOSDAQ"", ""stock_code"": ""048550""}, ""request_id"": ""committee-eval-KOSDAQ-048550-2021"", ""selected_at"": ""2026-05-21T01:02:13.329094+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2020,2019,error_risk_rolling_10,fn_caught_by_stage2_review,KOSDAQ,087600,(주)픽셀플러스,2020,2021,2020-12-31,투기등급,투자적격,false_negative,BB,near_speculative_BB_plus_to_BB_minus,OTHER,manufacturing,small_and_medium,0.3016695,0.325,-0.0233304917812347,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투기등급을 1차 모델이 놓친 사례입니다. 위원회가 보류/부적격으로 끌어올리는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)픽셀플러스"", ""market"": ""KOSDAQ"", ""stock_code"": ""087600""}, ""request_id"": ""committee-eval-KOSDAQ-087600-2020"", ""selected_at"": ""2026-05-21T01:02:13.329035+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2020,2019,error_risk_rolling_10,fn_caught_by_stage2_review,KOSDAQ,215090,(주)솔디펜스,2020,2021,2020-12-31,투기등급,투자적격,false_negative,BB-,near_speculative_BB_plus_to_BB_minus,OTHER,manufacturing,small_and_medium,0.3016695,0.325,-0.0233304917812347,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투기등급을 1차 모델이 놓친 사례입니다. 위원회가 보류/부적격으로 끌어올리는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)솔디펜스"", ""market"": ""KOSDAQ"", ""stock_code"": ""215090""}, ""request_id"": ""committee-eval-KOSDAQ-215090-2020"", ""selected_at"": ""2026-05-21T01:02:13.329044+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2020,2019,error_risk_rolling_10,fp_needing_committee_mitigation,KOSDAQ,262260,(주)에이프로,2020,2021,2020-12-31,투자적격,투기등급,false_positive,BBB-,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,small_and_medium,0.3307737,0.325,0.0057737112045287,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투자적격을 1차 모델이 과민 경고한 사례입니다. 위원회가 적격/보류로 완화하는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)에이프로"", ""market"": ""KOSDAQ"", ""stock_code"": ""262260""}, ""request_id"": ""committee-eval-KOSDAQ-262260-2020"", ""selected_at"": ""2026-05-21T01:02:13.329150+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2022,2021,error_risk_rolling_10,fp_needing_committee_mitigation,KOSPI,058730,다스코(주),2022,2023,2022-12-31,투자적격,투기등급,false_positive,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,mid_sized,0.25831285,0.25,0.008312851190567,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투자적격을 1차 모델이 과민 경고한 사례입니다. 위원회가 적격/보류로 완화하는지 확인합니다.,"{""analysis"": {""eval_year"": 2023, ""fiscal_year"": 2022}, ""as_of_date"": ""2022-12-31"", ""company"": {""corp_name"": ""다스코(주)"", ""market"": ""KOSPI"", ""stock_code"": ""058730""}, ""request_id"": ""committee-eval-KOSPI-058730-2022"", ""selected_at"": ""2026-05-21T01:02:13.329196+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2019,2018,error_risk_rolling_10,fp_needing_committee_mitigation,KOSDAQ,031310,(주)아이즈비전,2019,2020,2019-12-31,투자적격,투기등급,false_positive,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,it_services,mid_sized,0.23360561,0.225,0.008605608344078,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투자적격을 1차 모델이 과민 경고한 사례입니다. 위원회가 적격/보류로 완화하는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""(주)아이즈비전"", ""market"": ""KOSDAQ"", ""stock_code"": ""031310""}, ""request_id"": ""committee-eval-KOSDAQ-031310-2019"", ""selected_at"": ""2026-05-21T01:02:13.329204+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2019,2018,error_risk_rolling_10,fp_needing_committee_mitigation,KOSDAQ,094970,제이엠티(주),2019,2020,2019-12-31,투자적격,투기등급,false_positive,BBB-,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,small_and_medium,0.23422381,0.225,0.0092238128185272,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투자적격을 1차 모델이 과민 경고한 사례입니다. 위원회가 적격/보류로 완화하는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""제이엠티(주)"", ""market"": ""KOSDAQ"", ""stock_code"": ""094970""}, ""request_id"": ""committee-eval-KOSDAQ-094970-2019"", ""selected_at"": ""2026-05-21T01:02:13.329212+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2021,2020,error_risk_rolling_10,bbb_minus_bb_plus_boundary,KOSDAQ,123330,(주)제닉,2021,2022,2021-12-31,투자적격,투기등급,false_positive,BBB-,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,small_and_medium,0.9491993,0.31,0.6391993188858032,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투자적격을 1차 모델이 과민 경고한 사례입니다. 위원회가 적격/보류로 완화하는지 확인합니다.,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""(주)제닉"", ""market"": ""KOSDAQ"", ""stock_code"": ""123330""}, ""request_id"": ""committee-eval-KOSDAQ-123330-2021"", ""selected_at"": ""2026-05-21T01:02:13.329365+00:00"", ""source"": ""csv_upload""}"
rolling_validation_error_risk,rolling_validation,2020,2019,error_risk_rolling_10,bbb_minus_bb_plus_boundary,KOSDAQ,018700,(주)바른손,2020,2021,2020-12-31,투기등급,투기등급,true_positive,BB+,near_speculative_BB_plus_to_BB_minus,OTHER,wholesale_retail,small_and_medium,0.9720375,0.325,0.6470374941825867,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 맞춘 위험 사례입니다. 위원회가 외부근거로 위험 설명을 보강하는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)바른손"", ""market"": ""KOSDAQ"", ""stock_code"": ""018700""}, ""request_id"": ""committee-eval-KOSDAQ-018700-2020"", ""selected_at"": ""2026-05-21T01:02:13.329356+00:00"", ""source"": ""csv_upload""}"
