evaluation_mode,split,rolling_eval_year,policy_year,committee_policy,sample_category,market,stock_code,corp_name,fiscal_year,eval_year,as_of_date,actual_label_name,model_predicted_label_name,model_error_type,credit_rating,rating_boundary_group,rating_agency_group,industry_macro_category,firm_size_group,prob_speculative,threshold,stage1_probability_margin,trigger_reason_code,trigger_reason,evidence_cutoff_rule,committee_success_question,company_selection_json
rolling_validation_tn_overhold_expanded,rolling_validation,2019,2018,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,036000,(주)예림당,2019,2020,2019-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,it_services,mid_sized,0.2226509,0.225,-0.0023490995168685,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""(주)예림당"", ""market"": ""KOSDAQ"", ""stock_code"": ""036000""}, ""request_id"": ""committee-eval-KOSDAQ-036000-2019"", ""selected_at"": ""2026-05-22T08:19:39.585083+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2019,2018,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,140290,청광건설(주),2019,2020,2019-12-31,투자적격,투자적격,true_negative,BBB+,near_investment_BBB_plus_to_BBB_minus,OTHER,construction,small_and_medium,0.21977559,0.225,-0.0052244126796722,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""청광건설(주)"", ""market"": ""KOSDAQ"", ""stock_code"": ""140290""}, ""request_id"": ""committee-eval-KOSDAQ-140290-2019"", ""selected_at"": ""2026-05-22T08:19:39.585114+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2019,2018,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,019540,(주)일지테크,2019,2020,2019-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,mid_sized,0.2190933,0.225,-0.0059067070484161,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""(주)일지테크"", ""market"": ""KOSDAQ"", ""stock_code"": ""019540""}, ""request_id"": ""committee-eval-KOSDAQ-019540-2019"", ""selected_at"": ""2026-05-22T08:19:39.585128+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2019,2018,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,006140,(주)피제이전자,2019,2020,2019-12-31,투자적격,투자적격,true_negative,A+,upper_investment_A_or_above,OTHER,manufacturing,mid_sized,0.2184593,0.225,-0.0065407067537307,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""(주)피제이전자"", ""market"": ""KOSDAQ"", ""stock_code"": ""006140""}, ""request_id"": ""committee-eval-KOSDAQ-006140-2019"", ""selected_at"": ""2026-05-22T08:19:39.585141+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2022,2021,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,127710,(주)아시아경제,2022,2023,2022-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,it_services,small_and_medium,0.2422206,0.25,-0.0077794045209884,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2023, ""fiscal_year"": 2022}, ""as_of_date"": ""2022-12-31"", ""company"": {""corp_name"": ""(주)아시아경제"", ""market"": ""KOSDAQ"", ""stock_code"": ""127710""}, ""request_id"": ""committee-eval-KOSDAQ-127710-2022"", ""selected_at"": ""2026-05-22T08:19:39.585151+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2019,2018,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,032680,(주)소프트센,2019,2020,2019-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,it_services,small_and_medium,0.21503384,0.225,-0.00996615588665,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""(주)소프트센"", ""market"": ""KOSDAQ"", ""stock_code"": ""032680""}, ""request_id"": ""committee-eval-KOSDAQ-032680-2019"", ""selected_at"": ""2026-05-22T08:19:39.585160+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,265740,(주)엔에프씨,2020,2021,2020-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,small_and_medium,0.31423748,0.325,-0.0107625246047973,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)엔에프씨"", ""market"": ""KOSDAQ"", ""stock_code"": ""265740""}, ""request_id"": ""committee-eval-KOSDAQ-265740-2020"", ""selected_at"": ""2026-05-22T08:19:39.585169+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2019,2018,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSPI,058730,다스코(주),2019,2020,2019-12-31,투자적격,투자적격,true_negative,A-,upper_investment_A_or_above,OTHER,manufacturing,mid_sized,0.21417423,0.225,-0.0108257740736007,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""다스코(주)"", ""market"": ""KOSPI"", ""stock_code"": ""058730""}, ""request_id"": ""committee-eval-KOSPI-058730-2019"", ""selected_at"": ""2026-05-22T08:19:39.585177+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2019,2018,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,204020,(주)그리티,2019,2020,2019-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,small_and_medium,0.21354613,0.225,-0.0114538729190826,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2020, ""fiscal_year"": 2019}, ""as_of_date"": ""2019-12-31"", ""company"": {""corp_name"": ""(주)그리티"", ""market"": ""KOSDAQ"", ""stock_code"": ""204020""}, ""request_id"": ""committee-eval-KOSDAQ-204020-2019"", ""selected_at"": ""2026-05-22T08:19:39.585185+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2022,2021,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,126640,(주)화신정공,2022,2023,2022-12-31,투자적격,투자적격,true_negative,A-,upper_investment_A_or_above,OTHER,manufacturing,mid_sized,0.23825942,0.25,-0.0117405802011489,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2023, ""fiscal_year"": 2022}, ""as_of_date"": ""2022-12-31"", ""company"": {""corp_name"": ""(주)화신정공"", ""market"": ""KOSDAQ"", ""stock_code"": ""126640""}, ""request_id"": ""committee-eval-KOSDAQ-126640-2022"", ""selected_at"": ""2026-05-22T08:19:39.585194+00:00"", ""source"": ""csv_upload""}"
