artifact_dir,rows,strict_success_rate,review_safe_success_rate,run_failures,speed_wall_sec,speed_mean_case_sec,throughput_cases_per_minute
committee_review_batch_secondary_signal_connected,12,1.0,,0,,,
rerun_check_random_rolling_10,10,1.0,1.0,0,1.6494,0.6451,363.7686
committee_review_holdout_unseen_guardrail_speed_batch,8,1.0,1.0,0,1.4247,0.3558,336.913
rerun_check_holdout_guardrail,8,1.0,1.0,0,1.1707,0.4302,410.0111
committee_review_live_claude_pilot_label_alignment,4,1.0,,0,,,
committee_review_batch_rerun_keyword_context_claude,12,0.916667,,0,,,
committee_review_batch_secondary_trigger_rerun,12,0.916667,,0,,,
committee_review_batch_other_candidates,20,0.9,,0,,,
committee_review_rolling_validation_agno_claude_round2_batch,10,0.9,1.0,0,,,
committee_review_rolling_validation_agno_claude_round3_after_guardrail_batch,10,0.9,1.0,0,1.4552,0.4295,412.3145
rerun_check_round2_agno,10,0.9,1.0,0,1.2696,0.3738,472.5898
rerun_check_round3_after_guardrail,10,0.9,1.0,0,1.2387,0.3644,484.3788
committee_review_isolated_icr_guardrail_deterministic_8,8,0.875,1.0,0,1.8684,0.4666,256.9043
committee_review_live_claude_12case_label_alignment,12,0.833333,,0,,,
rerun_check_historical_test_12,12,0.833333,0.833333,0,1.8694,0.4665,385.1503
committee_review_rolling_validation_agno_claude_round3_batch,10,0.8,1.0,0,259.331,69.3528,2.3136
.,12,0.75,,0,,,
committee_review_holdout_unseen_deterministic_speed_baseline,8,0.75,0.75,0,1.3777,0.344,348.4068
committee_review_live_claude_pilot_fp_mitigation,4,0.75,,0,,,
committee_review_rolling_validation_batch,5,0.6,0.8,0,,,
rerun_check_rolling_pilot_5,5,0.6,0.8,0,1.6207,0.9572,185.1052
committee_review_live_claude_pilot,4,0.5,,0,,,
committee_review_rolling_validation_agno_claude_retry_batch,2,0.5,0.5,0,,,
