corp_name,stock_code,fiscal_year,credit_rating,rating_boundary_group,sample_prob_speculative,sample_threshold,before_final_committee_label,before_committee_decision_type,before_recommended_guardrail_action,after_final_committee_label,after_committee_decision_type,after_recommended_guardrail_action,label_changed,financial_supports,financial_blockers,current_ratio,cash_ratio,interest_coverage_ratio,ocf_to_sales,ocf_to_total_liabilities,cashflow_coverage_ratio,net_margin,equity_ratio,debt_ratio,total_borrowings_ratio,short_term_borrowings_share,capital_impairment_ratio,icr_under_1,is_2y_consecutive_ocf_deficit,is_2y_consecutive_operating_loss,after_conflict_resolution
(주)엔에프씨,265740,2020,BBB,near_investment_BBB_plus_to_BBB_minus,0.31423748,0.325,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,2.013137197296512,1.4161651512262023,7.523657190798394,0.1466847842607632,0.1832030825437207,8.072955873051,0.0229591652247101,0.653973066767649,0.5291149602576698,0.1353299217214029,0.354569762175686,-55.45820551288654,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)휴니드테크놀러지스,005870,2020,A,upper_investment_A_or_above,0.31136712,0.325,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,1.4268707667841662,0.5332980247187371,30.047687156494067,0.1789595085900053,0.2702519024408633,100.70996470685182,0.0288422771235881,0.4763297021889523,1.0993861928083504,0.0,,-0.6903716659269632,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)머큐리,100590,2020,BBB,near_investment_BBB_plus_to_BBB_minus,0.31128055,0.325,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,2.1984359951597052,0.5519838941526785,2.799099520544706,0.0297298954020429,0.0762740147527839,2.9206137369783236,0.0696916334500423,0.6358367989648217,0.5727306151956864,0.1228746422104756,0.0,-9.861412095694815,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)레몬,294140,2020,BBB,near_investment_BBB_plus_to_BBB_minus,0.31128055,0.325,보류,boundary_hold,lower_to_eligible_candidate,적격,eligible,already_eligible,True,"liquidity,cashflow,capital",,0.7442708479989778,0.2969175024177704,18.79712871054474,0.2612444787802566,0.5440663934151128,24.362544094547193,0.1554304766917303,0.6099222867792706,0.6395531392705078,0.2635379207637582,1.0,-2.488314524985507,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
현대무벡스(주),319400,2020,AA-,upper_investment_A_or_above,0.31128055,0.325,보류,risk_hold,keep_hold,보류,risk_hold,keep_hold,False,capital,icr_under_1,,,-0.505516257263782,,0.0757988061258174,3.255896289317904,,0.8398574717871082,0.1906782205225001,0.155973174754526,0.0,-18.558001477958236,1,0,0,"모델 원판단은 투자적격이지만, 45개 보조 변수셋의 추가 검토 신호가 FN 가능성을 보완해 위원회 의견은 보류로 정리했습니다."
(주)한울반도체,320000,2020,BBB,near_investment_BBB_plus_to_BBB_minus,0.31128055,0.325,보류,boundary_hold,keep_hold,보류,boundary_hold,keep_hold,False,"liquidity,capital","ocf_both_negative,net_margin_below_minus_10pct",9.990134306862014,3.692007222631967,3.135664886762026,-0.0696862273415184,-0.4004908109416731,-11.16579589336995,-0.1437771010064047,0.9126436085486324,0.0957179677073392,0.0,,-10.044735992706258,0,1,0,"모델 원판단은 투자적격이지만, 경계등급 확인 신호가 있어 위원회 의견은 경계등급 보류로 정리했습니다. 이는 위험 확정이나 과민경고 완화가 아니라, 추가 근거 확인이 필요한 상태입니다. 경계등급 보류 플래그: 투기등급 확률이 31.1%, 기준선이 32.5%로 차이가 1.4%p에 불과합니다. 모델 기준선 경계에서 판단이 흔들릴 수 있는 구간이므로, 투자적격 쪽으로 확정하기보다 추가 근거 확인 대상으로 분리합니다."
(주)에스피시스템스,317830,2020,BBB,near_investment_BBB_plus_to_BBB_minus,0.30990976,0.325,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,1.624964499607283,0.387656996346702,1.6676098698524895,0.1735634517805687,0.2427202028205064,19.598068310189134,0.0096849464252132,0.5800022261156468,0.7241313135936305,0.1482864719488739,0.8719141209823846,-36.685349325410954,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)미래생명자원,218150,2020,BBB,near_investment_BBB_plus_to_BBB_minus,0.30830675,0.325,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,3.077952806649773,0.3419453212776202,6.0121519740055644,0.0178603017023343,0.1012672991085417,3.603164355342239,0.0200686931603742,0.7855594929476367,0.2729780608311703,0.1132441946221362,1.0,-15.43541014266181,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
(주)포메탈,119500,2020,BBB+,near_investment_BBB_plus_to_BBB_minus,0.30689192,0.325,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,1.207429810955515,0.1601865380741807,11.040053648352217,0.0809510345523887,0.2420331197543994,24.26072036028013,0.0338580903000126,0.723786602780807,0.3816226995055918,0.1065903161445809,1.0,-6.611052436488954,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
대정화금(주),120240,2020,A,upper_investment_A_or_above,0.30689192,0.325,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,2.622084360148666,1.221200260370666,5.087211802992262,0.1120604874464161,0.2720237908562404,4.514282718237501,0.1111476673973371,0.7948189846295168,0.2581481058433987,0.1085586821802197,0.8582009822229361,-34.86890678506616,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
신원종합개발(주),017000,2020,A,upper_investment_A_or_above,0.3065629,0.325,보류,risk_hold,keep_hold,보류,risk_hold,keep_hold,False,"liquidity,capital","icr_under_1,ocf_both_negative,net_margin_below_minus_10pct",2.4017822695622195,0.3823937807361041,0.5980755677917321,-0.086225248258811,-0.1078343570728806,-2.042302895740199,-0.1156231204267254,0.4305945120228734,1.3223705181520735,0.2300881650436541,0.6618541539144421,-0.4127943655790976,1,0,0,"모델 원판단은 투자적격이지만, 45개 보조 변수셋의 추가 검토 신호가 FN 가능성을 보완해 위원회 의견은 보류로 정리했습니다."
(주)핸디소프트,220180,2021,BBB-,near_investment_BBB_plus_to_BBB_minus,0.29693395,0.31,적격,eligible,already_eligible,적격,eligible,already_eligible,False,"liquidity,cashflow,capital",,5.520442295102175,4.54200115377024,1000000.0,0.1339010016100111,0.2078902679655604,1000000.0,0.2099857866520834,0.8508910790997992,0.1752385523396845,0.0,,-5.455996380358615,0,0,0,"모델 원판단(투자적격)과 위원회 라벨(적격)이 대체로 일치하며, Stage 2는 판단을 덮어쓰기보다 근거와 설명을 보완했습니다."
