market,stock_code,corp_name,fiscal_year,eval_year,split,is_speculative,credit_rating,rating_boundary_group,prob_speculative,threshold,stage1_risk,financial_support_count,financial_blocker_count,financial_blocker_count_extended,current_ratio,cash_ratio,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,interest_coverage_ratio,net_margin,ocf_to_sales,ocf_to_total_liabilities,ocf_to_total_borrowings,cashflow_coverage_ratio,short_term_borrowings_share,dividend_payer,is_2y_consecutive_operating_loss,is_2y_consecutive_ocf_deficit,icr_under_1,candidate__dashboard_composite_filter,candidate__financial_resilience_v1_support8_block0,candidate__financial_resilience_strict_support9_block0,candidate__financial_resilience_lax_support7_block0,candidate__financial_resilience_v1_support8_block0_prob_lt_0_85,candidate__financial_resilience_v1_support8_block0_prob_lt_0_90,candidate__extended_blocker_support8_block0,candidate__liquidity_capital_profit_core,candidate__liquidity_capital_profit_core_prob_lt_0_85,candidate__liquidity_capital_profit_core_prob_lt_0_80,candidate__liquidity_capital_profit_core_plus_support8,candidate__liquidity_capital_profit_core_plus_support8_prob_lt_0_85,candidate__liquidity_capital_profit_core_plus_ocf_not_deep_negative,candidate__cashflow_quality_core,candidate__low_borrowing_buffer,candidate__dividend_balance_sheet_buffer,candidate__dashboard_or_financial_resilience_v1
KOSDAQ,000250,삼천당제약(주),2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.0508338584206783,0.315,False,12,0,0,2.828051,0.697536,0.731481,0.36709,0.069178,-24.446909,3.709573,-0.021736,0.121598,0.213834,0.830018,9.090985,0.433147,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,002290,(주)삼일기업공사,2023,2024,test,0,A+,upper_investment_A_or_above,0.047494990740888,0.315,False,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,003380,(주)하림지주,2023,2024,test,0,A-,upper_investment_A_or_above,0.0091076212041632,0.315,False,10,0,1,0.771063,0.224113,0.392042,1.550745,0.383126,-465.775615,1.646604,0.014782,0.074668,0.110681,0.175632,2.613095,0.560057,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,003380,(주)하림지주,2024,2025,test,0,A-,upper_investment_A_or_above,0.0076211773880255,0.315,False,10,0,1,0.790136,0.213936,0.369548,1.706006,0.445899,-527.549368,2.041792,0.014244,0.071602,0.08669,0.12257,2.343985,0.468187,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,005160,동국산업(주),2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.0558800452800201,0.315,False,8,1,1,1.357304,0.074338,0.588616,0.6989,0.221843,-8.686303,-2.554987,-0.027267,0.010657,0.021969,0.04074,0.760361,0.802099,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,006140,(주)피제이전자,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.191647630796431,0.315,False,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,007390,(주)네이처셀,2023,2024,test,1,BB-,near_speculative_BB_plus_to_BB_minus,0.9111421751293016,0.315,True,6,4,4,9.639219,7.092991,0.897959,0.113637,0.0,-0.914648,-8.955396,-0.603607,-0.109982,-0.304928,,-1.855281,,0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,007530,(주)와이엠,2024,2025,test,1,BB-,near_speculative_BB_plus_to_BB_minus,0.8360515871348821,0.315,True,9,0,0,0.895481,0.277738,0.358585,1.788736,0.355379,-4.040322,1.891738,0.030166,0.061049,0.104792,0.189137,3.2562,0.860383,0,0,0,0,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
KOSDAQ,007680,(주)대원,2023,2024,test,0,A-,upper_investment_A_or_above,0.2830263920697127,0.315,False,8,3,3,3.675881,0.554911,0.615656,0.624284,0.168435,-43.552478,-39.210689,-0.131547,-0.128599,-0.299905,-0.684341,-35.424795,0.558264,1,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,007770,한일화학공업(주),2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.203513090352219,0.315,False,6,4,4,1.472023,0.122,0.709383,0.409677,0.128651,-58.51573,-6.791389,-0.124679,-0.018304,-0.052158,-0.117823,-1.611419,1.0,1,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,007820,(주)에스엠코어,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.1157130850451894,0.315,False,9,2,2,2.008641,0.40492,0.594901,0.680953,0.0,-3.858459,-57.94287,-0.107342,0.04497,0.235806,,24.072464,,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,009520,(주)포스코엠텍,2023,2024,test,0,A+,upper_investment_A_or_above,0.0522706688576811,0.315,False,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,009620,삼보산업(주),2023,2024,test,1,B-,deep_speculative_B_plus_or_lower,0.8771214171462651,0.315,True,5,2,3,0.740195,0.057463,0.115285,7.674146,0.510745,-6.859885,-0.044298,-0.039202,0.032903,0.046546,0.080628,1.003766,0.77977,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
