policy,description,test_rows,stage1_risk_rows,stage1_fp_total,stage1_tp_total,candidate_count,fp_mitigated,tp_softened,fp_remaining,tp_preserved,candidate_precision_for_fp,fp_mitigation_rate,tp_softening_rate,net_fp_minus_tp,weighted_net_fp_minus_2tp,stage1_reject_precision_before,reject_precision_after_if_hold_is_not_reject,stage1_reject_recall_before,reject_recall_after_if_hold_is_not_reject,hold_or_reject_recall_after
dividend_balance_sheet_buffer,배당 이력과 자본/부채/현금 방어 조건 충족,924,262,89,173,4,3,1,86,172,0.75,0.033707865168539325,0.005780346820809248,2,1,0.6603053435114504,0.6666666666666666,0.8522167487684729,0.8472906403940886,0.8522167487684729
liquidity_capital_profit_core_plus_ocf_not_deep_negative,유동성·자본·이익 방어 조건과 OCF/매출액 -5% 이상,924,262,89,173,9,6,3,83,170,0.6666666666666666,0.06741573033707865,0.017341040462427744,3,0,0.6603053435114504,0.6719367588932806,0.8522167487684729,0.8374384236453202,0.8522167487684729
liquidity_capital_profit_core,유동성·현금·자본·이자보상·순이익률 핵심 방어 조건 충족,924,262,89,173,11,7,4,82,169,0.6363636363636364,0.07865168539325842,0.023121387283236993,3,-1,0.6603053435114504,0.6733067729083665,0.8522167487684729,0.8325123152709359,0.8522167487684729
liquidity_capital_profit_core_prob_lt_0_85,"유동성·자본·이익 방어 조건 충족, 1차 확률 85% 미만",924,262,89,173,11,7,4,82,169,0.6363636363636364,0.07865168539325842,0.023121387283236993,3,-1,0.6603053435114504,0.6733067729083665,0.8522167487684729,0.8325123152709359,0.8522167487684729
liquidity_capital_profit_core_plus_support8,유동성·자본·이익 방어 조건과 재무 방어 신호 8개 이상 동시 충족,924,262,89,173,11,7,4,82,169,0.6363636363636364,0.07865168539325842,0.023121387283236993,3,-1,0.6603053435114504,0.6733067729083665,0.8522167487684729,0.8325123152709359,0.8522167487684729
liquidity_capital_profit_core_plus_support8_prob_lt_0_85,"유동성·자본·이익 방어 조건, 재무 방어 8개 이상, 1차 확률 85% 미만",924,262,89,173,11,7,4,82,169,0.6363636363636364,0.07865168539325842,0.023121387283236993,3,-1,0.6603053435114504,0.6733067729083665,0.8522167487684729,0.8325123152709359,0.8522167487684729
liquidity_capital_profit_core_prob_lt_0_80,"유동성·자본·이익 방어 조건 충족, 1차 확률 80% 미만",924,262,89,173,10,6,4,83,169,0.6,0.06741573033707865,0.023121387283236993,2,-2,0.6603053435114504,0.6706349206349206,0.8522167487684729,0.8325123152709359,0.8522167487684729
low_borrowing_buffer,낮은 차입금 비중과 유동성 버퍼 동시 충족,924,262,89,173,10,6,4,83,169,0.6,0.06741573033707865,0.023121387283236993,2,-2,0.6603053435114504,0.6706349206349206,0.8522167487684729,0.8325123152709359,0.8522167487684729
cashflow_quality_core,이자보상·OCF·자본비율 방어 조건 충족,924,262,89,173,14,6,8,83,165,0.42857142857142855,0.06741573033707865,0.046242774566473986,-2,-10,0.6603053435114504,0.6653225806451613,0.8522167487684729,0.812807881773399,0.8522167487684729
dashboard_composite_filter,현재 대시보드 조합형 재무 스트레스 필터가 정상으로 본 stage1 위험 기업,924,262,89,173,25,13,12,76,161,0.52,0.14606741573033707,0.06936416184971098,1,-11,0.6603053435114504,0.679324894514768,0.8522167487684729,0.7931034482758621,0.8522167487684729
extended_blocker_support8_block0,"재무 방어 신호 8개 이상, 확장 차단 신호 0개",924,262,89,173,30,11,19,78,154,0.36666666666666664,0.12359550561797752,0.10982658959537572,-8,-27,0.6603053435114504,0.6637931034482759,0.8522167487684729,0.7586206896551724,0.8522167487684729
financial_resilience_strict_support9_block0,"재무 방어 신호 9개 이상, 강한 차단 신호 0개",924,262,89,173,31,11,20,78,153,0.3548387096774194,0.12359550561797752,0.11560693641618497,-9,-29,0.6603053435114504,0.6623376623376623,0.8522167487684729,0.7536945812807881,0.8522167487684729
financial_resilience_lax_support7_block0,"재무 방어 신호 7개 이상, 강한 차단 신호 0개",924,262,89,173,35,13,22,76,151,0.37142857142857144,0.14606741573033707,0.12716763005780346,-9,-31,0.6603053435114504,0.6651982378854625,0.8522167487684729,0.7438423645320197,0.8522167487684729
financial_resilience_v1_support8_block0,"재무 방어 신호 8개 이상, 강한 차단 신호 0개",924,262,89,173,34,12,22,77,151,0.35294117647058826,0.1348314606741573,0.12716763005780346,-10,-32,0.6603053435114504,0.6622807017543859,0.8522167487684729,0.7438423645320197,0.8522167487684729
financial_resilience_v1_support8_block0_prob_lt_0_85,"재무 방어 신호 8개 이상, 차단 0개, 1차 확률 85% 미만",924,262,89,173,34,12,22,77,151,0.35294117647058826,0.1348314606741573,0.12716763005780346,-10,-32,0.6603053435114504,0.6622807017543859,0.8522167487684729,0.7438423645320197,0.8522167487684729
financial_resilience_v1_support8_block0_prob_lt_0_90,"재무 방어 신호 8개 이상, 차단 0개, 1차 확률 90% 미만",924,262,89,173,34,12,22,77,151,0.35294117647058826,0.1348314606741573,0.12716763005780346,-10,-32,0.6603053435114504,0.6622807017543859,0.8522167487684729,0.7438423645320197,0.8522167487684729
dashboard_or_financial_resilience_v1,현재 대시보드 필터 또는 재무 방어 v1 중 하나라도 충족,924,262,89,173,53,23,30,66,143,0.4339622641509434,0.25842696629213485,0.17341040462427745,-7,-37,0.6603053435114504,0.6842105263157895,0.8522167487684729,0.7044334975369458,0.8522167487684729
