policy_name,policy_type,selection_rule,split,threshold_detail,rows,positive_rows,positive_rate,pr_auc,roc_auc,logloss,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
current_artifact_threshold,global,saved_model_threshold,valid,0.320000,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8801775147928994,0.8729772727272727,0.7294685990338164,0.8579545454545454,0.7885117493472584,444,56,25,151
current_artifact_threshold,global,saved_model_threshold,test,0.320000,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8874458874458875,0.8747907599598259,0.7004048582995951,0.8522167487684729,0.7688888888888888,647,74,30,173
default_0_5,global,fixed_0_5,valid,0.500000,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8683431952662722,0.8171136363636364,0.7668711656441718,0.7102272727272727,0.7374631268436578,462,38,51,125
default_0_5,global,fixed_0_5,test,0.500000,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8928571428571429,0.8322492706490028,0.7736842105263158,0.7241379310344828,0.7480916030534351,678,43,56,147
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,0.280000,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8772189349112426,0.8783409090909091,0.7142857142857143,0.8806818181818182,0.7888040712468194,438,62,21,155
global_valid_best_f1_grid,global,valid_best_f1_grid,test,0.280000,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8787878787878788,0.8780907743077144,0.6716981132075471,0.8768472906403941,0.7606837606837608,634,87,25,178
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,valid,0.240000,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.863905325443787,0.8767045454545455,0.6794871794871795,0.9034090909090909,0.7756097560975609,425,75,17,159
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,test,0.240000,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8701298701298701,0.8778516428332297,0.6487455197132617,0.8916256157635468,0.7510373443983404,623,98,22,181
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,valid,0.320000,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8801775147928994,0.8729772727272727,0.7294685990338164,0.8579545454545454,0.7885117493472584,444,56,25,151
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,test,0.320000,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8874458874458875,0.8747907599598259,0.7004048582995951,0.8522167487684729,0.7688888888888888,647,74,30,173
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,valid,0.375000,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.878698224852071,0.8590909090909091,0.7422680412371134,0.8181818181818182,0.7783783783783784,450,50,32,144
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,test,0.375000,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8896103896103896,0.8602515663111578,0.7224669603524229,0.8078817733990148,0.7627906976744185,658,63,39,164
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,valid,0.435000,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8727810650887574,0.833,0.7586206896551724,0.75,0.7542857142857142,458,42,44,132
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,test,0.435000,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8971861471861472,0.8580276435984504,0.7547169811320755,0.7881773399014779,0.7710843373493976,669,52,43,160
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,valid,KOSDAQ:0.280; KOSPI:0.310; fallback:0.280,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8801775147928994,0.8803409090909091,0.7209302325581395,0.8806818181818182,0.7928388746803068,440,60,21,155
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,test,KOSDAQ:0.280; KOSPI:0.310; fallback:0.280,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8798701298701299,0.8770146826725334,0.6755725190839694,0.8719211822660099,0.7612903225806452,636,85,26,177
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,valid,it_services:0.345; manufacturing:0.285; wholesale_retail:0.435; fallback:0.280,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8875739644970414,0.8816590909090909,0.7427184466019418,0.8693181818181818,0.8010471204188482,447,53,23,153
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,test,it_services:0.345; manufacturing:0.285; wholesale_retail:0.435; fallback:0.280,924,203,0.2196969696969697,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8787878787878788,0.8727820555741547,0.6756756756756757,0.8620689655172413,0.7575757575757576,637,84,28,175
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,market=KOSDAQ:0.335; fallback:0.320,676,176,0.2603550295857988,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8801775147928994,0.8711363636363636,0.7317073170731707,0.8522727272727273,0.7874015748031497,445,55,26,150
