policy_name,dimension,segment,threshold,fallback_used,valid_rows,valid_positive_rows,valid_precision,valid_recall,valid_f1,target_recall_floor
market_valid_best_f1_by_segment,market,KOSDAQ,0.335,False,403,143,0.6759776536312849,0.8461538461538461,0.751552795031056,
market_valid_best_f1_by_segment,market,KOSPI,0.265,False,273,33,0.7142857142857143,0.9090909090909091,0.8,
industry_valid_best_f1_by_segment,industry_macro_category,construction,0.285,True,34,4,0.75,0.75,0.75,
industry_valid_best_f1_by_segment,industry_macro_category,it_services,0.31,False,129,23,0.5588235294117647,0.8260869565217391,0.6666666666666667,
industry_valid_best_f1_by_segment,industry_macro_category,manufacturing,0.335,False,450,136,0.6993865030674846,0.8382352941176471,0.7625418060200668,
industry_valid_best_f1_by_segment,industry_macro_category,other,0.285,True,11,0,0.0,0.0,0.0,
industry_valid_best_f1_by_segment,industry_macro_category,transport_storage,0.285,True,11,1,1.0,1.0,1.0,
industry_valid_best_f1_by_segment,industry_macro_category,wholesale_retail,0.5,False,41,12,1.0,0.9166666666666666,0.9565217391304348,
kosdaq_conservative_recall_0.85,market,KOSDAQ,0.33,False,403,143,0.6703296703296703,0.8531468531468531,0.7507692307692306,0.85
targeted_kosdaq_it_mfg_conservative_recall_0.85,market,KOSDAQ,0.33,False,403,143,0.6703296703296703,0.8531468531468531,0.7507692307692306,0.85
targeted_kosdaq_it_mfg_conservative_recall_0.85,industry_macro_category,it_services,0.315,True,129,23,0.5588235294117647,0.8260869565217391,0.6666666666666667,0.85
targeted_kosdaq_it_mfg_conservative_recall_0.85,industry_macro_category,manufacturing,0.32,False,450,136,0.6763005780346821,0.8602941176470589,0.7572815533980582,0.85
kosdaq_conservative_recall_0.80,market,KOSDAQ,0.35,False,403,143,0.6842105263157895,0.8181818181818182,0.7452229299363058,0.8
targeted_kosdaq_it_mfg_conservative_recall_0.80,market,KOSDAQ,0.35,False,403,143,0.6842105263157895,0.8181818181818182,0.7452229299363058,0.8
targeted_kosdaq_it_mfg_conservative_recall_0.80,industry_macro_category,it_services,0.315,False,129,23,0.5588235294117647,0.8260869565217391,0.6666666666666667,0.8
targeted_kosdaq_it_mfg_conservative_recall_0.80,industry_macro_category,manufacturing,0.345,False,450,136,0.7088607594936709,0.8235294117647058,0.761904761904762,0.8
