scope,dimension,segment,rows,positive_rows,positive_rate,threshold,pr_auc,roc_auc,logloss,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
all_splits,split,test,924,203,0.2196969696969697,0.305,0.7912000414519348,0.9250049534376856,0.27948905391237394,0.8517316017316018,0.8483667320292696,0.6195652173913043,0.8423645320197044,0.7139874739039666,616,105,32,171
all_splits,split,train,3851,878,0.22799272916125682,0.305,0.9470106153347306,0.9830040217691953,0.17721627581261856,0.908595170085692,0.9263538896384852,0.7271157167530224,0.958997722095672,0.8271119842829077,2657,316,36,842
all_splits,split,valid,676,176,0.2603550295857988,0.305,0.8105267838778414,0.9239374999999999,0.3027166371977392,0.8357988165680473,0.8411363636363636,0.6382978723404256,0.8522727272727273,0.7299270072992701,415,85,26,150
test,overall,test_all,924,203,0.2196969696969697,0.305,0.7912000414519348,0.9250049534376856,0.27948905391237394,0.8517316017316018,0.8483667320292696,0.6195652173913043,0.8423645320197044,0.7139874739039666,616,105,32,171
test,fiscal_year,2023,637,161,0.25274725274725274,0.305,0.7761538862374788,0.9052990761522,0.33114254513677077,0.8100470957613815,0.8235750822067958,0.5854700854700855,0.8509316770186336,0.6936708860759494,379,97,24,137
test,fiscal_year,2024,287,42,0.14634146341463414,0.305,0.8729512802363292,0.9635568513119533,0.1648435002192004,0.9442508710801394,0.8884353741496599,0.8095238095238095,0.8095238095238095,0.8095238095238095,237,8,8,34
test,market,KOSDAQ,427,163,0.38173302107728335,0.305,0.8006255180574051,0.8522727272727272,0.46175753187908675,0.7283372365339579,0.7486173080498233,0.6044444444444445,0.8343558282208589,0.7010309278350515,175,89,27,136
test,market,KOSPI,497,40,0.08048289738430583,0.305,0.7637261804238729,0.9588347921225383,0.12289219256069113,0.9577464788732394,0.9199945295404814,0.6862745098039216,0.875,0.7692307692307692,441,16,5,35
test,industry_macro_category,construction,44,6,0.13636363636363635,0.305,0.7329365079365079,0.9605263157894738,0.1974940644997317,0.9318181818181818,0.9605263157894737,0.6666666666666666,1.0,0.8,35,3,0,6
test,industry_macro_category,it_services,176,21,0.11931818181818182,0.305,0.7305925352903233,0.9405529953917051,0.1902536111597824,0.8693181818181818,0.8228878648233486,0.47058823529411764,0.7619047619047619,0.5818181818181817,137,18,5,16
test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.305,0.7969217438366528,0.9056376713104541,0.339059794323823,0.8244147157190636,0.8291567561445237,0.6325581395348837,0.8395061728395061,0.7214854111405835,357,79,26,136
test,industry_macro_category,other,22,0,0.0,0.305,,,,0.9545454545454546,,0.0,0.0,0.0,21,1,0,0
test,industry_macro_category,transport_storage,21,0,0.0,0.305,,,,1.0,,0.0,0.0,0.0,21,0,0,0
test,industry_macro_category,wholesale_retail,63,14,0.2222222222222222,0.305,0.8306680266266733,0.967930029154519,0.1751390079852232,0.9206349206349206,0.9234693877551021,0.7647058823529411,0.9285714285714286,0.8387096774193549,45,4,1,13
