policy_name,policy_type,selection_rule,split,dimension,segment,rows,positive_rows,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
current_artifact_threshold,global,saved_model_threshold,valid,market,KOSDAQ,403,143,0.3548387096774194,0.7692307692307693,0.7928321678321679,0.625,0.8741258741258742,0.728862973760933,185,75,18,125
current_artifact_threshold,global,saved_model_threshold,valid,market,KOSPI,273,33,0.12087912087912088,0.9340659340659341,0.8579545454545454,0.7142857142857143,0.7575757575757576,0.7352941176470589,230,10,8,25
current_artifact_threshold,global,saved_model_threshold,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.8449612403100775,0.8545939294503692,0.5405405405405406,0.8695652173913043,0.6666666666666666,89,17,3,20
current_artifact_threshold,global,saved_model_threshold,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8133333333333334,0.820391532409142,0.6477272727272727,0.8382352941176471,0.7307692307692308,252,62,22,114
current_artifact_threshold,global,saved_model_threshold,test,market,KOSDAQ,427,163,0.38173302107728335,0.7283372365339579,0.7486173080498233,0.6044444444444445,0.8343558282208589,0.7010309278350515,175,89,27,136
current_artifact_threshold,global,saved_model_threshold,test,market,KOSPI,497,40,0.08048289738430583,0.9577464788732394,0.9199945295404814,0.6862745098039216,0.875,0.7692307692307692,441,16,5,35
current_artifact_threshold,global,saved_model_threshold,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8693181818181818,0.8228878648233486,0.47058823529411764,0.7619047619047619,0.5818181818181817,137,18,5,16
current_artifact_threshold,global,saved_model_threshold,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8244147157190636,0.8291567561445237,0.6325581395348837,0.8395061728395061,0.7214854111405835,357,79,26,136
default_0_5,global,fixed_0_5,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8039702233250621,0.7662587412587413,0.7711864406779662,0.6363636363636364,0.6973180076628352,233,27,52,91
default_0_5,global,fixed_0_5,valid,market,KOSPI,273,33,0.12087912087912088,0.9377289377289377,0.8077651515151515,0.8076923076923077,0.6363636363636364,0.7118644067796609,235,5,12,21
default_0_5,global,fixed_0_5,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.8604651162790697,0.6938063986874488,0.6666666666666666,0.43478260869565216,0.5263157894736841,101,5,13,10
default_0_5,global,fixed_0_5,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8377777777777777,0.7858046084675909,0.7739130434782608,0.6544117647058824,0.7091633466135459,288,26,47,89
default_0_5,global,fixed_0_5,test,market,KOSDAQ,427,163,0.38173302107728335,0.7915690866510539,0.7657208588957055,0.7642857142857142,0.656441717791411,0.7062706270627062,231,33,56,107
default_0_5,global,fixed_0_5,test,market,KOSPI,497,40,0.08048289738430583,0.9537223340040242,0.7695295404814004,0.8148148148148148,0.55,0.6567164179104479,452,5,18,22
default_0_5,global,fixed_0_5,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.9147727272727273,0.7663594470046082,0.6666666666666666,0.5714285714285714,0.6153846153846153,149,6,9,12
default_0_5,global,fixed_0_5,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8478260869565217,0.7734454638124364,0.7795275590551181,0.6111111111111112,0.6851211072664359,408,28,63,99
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8238213399503722,0.8241258741258741,0.7195121951219512,0.8251748251748252,0.7687296416938111,214,46,25,118
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,market,KOSPI,273,33,0.12087912087912088,0.9413919413919414,0.8621212121212121,0.7575757575757576,0.7575757575757576,0.7575757575757576,232,8,8,25
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.8682170542635659,0.8517227235438884,0.59375,0.8260869565217391,0.6909090909090908,93,13,4,19
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8555555555555555,0.8402257399775197,0.7414965986394558,0.8014705882352942,0.7703180212014136,276,38,27,109
global_valid_best_f1_grid,global,valid_best_f1_grid,test,market,KOSDAQ,427,163,0.38173302107728335,0.7494145199063232,0.7527537646402678,0.6443298969072165,0.7668711656441718,0.700280112044818,195,69,38,125
global_valid_best_f1_grid,global,valid_best_f1_grid,test,market,KOSPI,497,40,0.08048289738430583,0.959758551307847,0.9096827133479213,0.7083333333333334,0.85,0.7727272727272727,443,14,6,34
