rows,positive_rows,positive_rate,threshold,pr_auc,roc_auc,logloss,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
672,167,0.24851190476190477,0.1,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.7366071428571429,0.8047133455860556,0.4845679012345679,0.9401197604790419,0.639511201629328,338,167,10,157
672,167,0.24851190476190477,0.15,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.7723214285714286,0.8224639829252387,0.5238095238095238,0.9221556886227545,0.6681127982646421,365,140,13,154
672,167,0.24851190476190477,0.2,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.7961309523809523,0.8322938281852137,0.5551470588235294,0.9041916167664671,0.6879271070615034,384,121,16,151
672,167,0.24851190476190477,0.25,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8199404761904762,0.840119760479042,0.592741935483871,0.8802395209580839,0.708433734939759,404,101,20,147
672,167,0.24851190476190477,0.3,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8497023809523809,0.8559139147447679,0.6473214285714286,0.8682634730538922,0.7416879795396419,426,79,22,145
672,167,0.24851190476190477,0.315,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8497023809523809,0.8458943499140332,0.6542056074766355,0.8383233532934131,0.7349081364829397,431,74,27,140
672,167,0.24851190476190477,0.35,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8526785714285714,0.8358510701369538,0.67,0.8023952095808383,0.7302452316076296,439,66,33,134
672,167,0.24851190476190477,0.4,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8482142857142857,0.8188533823442224,0.671957671957672,0.7604790419161677,0.7134831460674158,443,62,40,127
672,167,0.24851190476190477,0.45,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8482142857142857,0.806829904547341,0.6836158192090396,0.7245508982035929,0.7034883720930233,449,56,46,121
672,167,0.24851190476190477,0.5,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8482142857142857,0.7907986008181657,0.7018633540372671,0.6766467065868264,0.6890243902439024,457,48,54,113
672,167,0.24851190476190477,0.55,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.84375,0.7517578703978183,0.7421875,0.5688622754491018,0.6440677966101694,472,33,72,95
672,167,0.24851190476190477,0.6,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.84375,0.7397343926009368,0.7672413793103449,0.5329341317365269,0.6289752650176679,478,27,78,89
672,167,0.24851190476190477,0.65,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8303571428571429,0.7047726329519179,0.7676767676767676,0.4550898203592814,0.5714285714285714,482,23,91,76
672,167,0.24851190476190477,0.7,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8303571428571429,0.6927491551550364,0.8045977011494253,0.41916167664670656,0.5511811023622046,488,17,97,70
672,167,0.24851190476190477,0.75,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8273809523809523,0.6767415663722061,0.84,0.3772455089820359,0.5206611570247934,493,12,104,63
672,167,0.24851190476190477,0.8,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8184523809523809,0.6487579296851841,0.8813559322033898,0.31137724550898205,0.4601769911504424,498,7,115,52
672,167,0.24851190476190477,0.85,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8035714285714286,0.6148099839924113,0.8888888888888888,0.23952095808383234,0.3773584905660377,500,5,127,40
672,167,0.24851190476190477,0.9,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.7946428571428571,0.5888302602715362,0.967741935483871,0.17964071856287425,0.303030303030303,504,1,137,30
