variant,display_name,evaluation_scope,probability_bin,rows,mean_probability,actual_positive_rate,calibration_gap
current_platt,Current Platt,valid,"(-0.001, 0.1]",369,0.02518524880031417,0.016260162601626018,0.008925086198688151
current_platt,Current Platt,valid,"(0.1, 0.2]",63,0.15229095972390608,0.14285714285714285,0.009433816866763228
current_platt,Current Platt,valid,"(0.2, 0.3]",34,0.24518398028958455,0.2647058823529412,-0.019521902063356633
current_platt,Current Platt,valid,"(0.3, 0.4]",25,0.3493261421167557,0.56,-0.21067385788324433
current_platt,Current Platt,valid,"(0.4, 0.5]",23,0.4654523512655544,0.34782608695652173,0.11762626430903267
current_platt,Current Platt,valid,"(0.5, 0.6]",24,0.5361046138508755,0.625,-0.08889538614912451
current_platt,Current Platt,valid,"(0.6, 0.7]",22,0.6548864447585326,0.6818181818181818,-0.02693173705964913
current_platt,Current Platt,valid,"(0.7, 0.8]",24,0.758000722383963,0.75,0.008000722383962988
current_platt,Current Platt,valid,"(0.8, 0.9]",39,0.8589320395261296,0.8461538461538461,0.012778193372283475
current_platt,Current Platt,valid,"(0.9, 1.0]",53,0.9504794674263394,0.9245283018867925,0.025951165539546905
current_platt,Current Platt,test,"(-0.001, 0.1]",542,0.02178773543857594,0.025830258302583026,-0.004042522864007088
current_platt,Current Platt,test,"(0.1, 0.2]",86,0.1406062250987434,0.05813953488372093,0.08246669021502248
current_platt,Current Platt,test,"(0.2, 0.3]",41,0.2483086679019982,0.17073170731707318,0.07757696058492503
current_platt,Current Platt,test,"(0.3, 0.4]",26,0.3540815823055485,0.38461538461538464,-0.030533802309836156
current_platt,Current Platt,test,"(0.4, 0.5]",37,0.4465442765629288,0.5405405405405406,-0.0939962639776118
current_platt,Current Platt,test,"(0.5, 0.6]",32,0.5433066819461179,0.59375,-0.050443318053882136
current_platt,Current Platt,test,"(0.6, 0.7]",38,0.6513010292741269,0.6052631578947368,0.04603787137939008
current_platt,Current Platt,test,"(0.7, 0.8]",28,0.7524014586244262,0.6428571428571429,0.1095443157672833
current_platt,Current Platt,test,"(0.8, 0.9]",41,0.8575070427492119,0.8536585365853658,0.0038485061638460216
current_platt,Current Platt,test,"(0.9, 1.0]",53,0.9547980711949359,0.9811320754716981,-0.026334004276762246
refit_platt_valid,Refit Platt,valid,"(-0.001, 0.1]",369,0.025185249161079074,0.016260162601626018,0.008925086559453056
refit_platt_valid,Refit Platt,valid,"(0.1, 0.2]",63,0.15229096002048398,0.14285714285714285,0.00943381716334113
refit_platt_valid,Refit Platt,valid,"(0.2, 0.3]",34,0.24518398121401314,0.2647058823529412,-0.019521901138928044
refit_platt_valid,Refit Platt,valid,"(0.3, 0.4]",25,0.3493261404870987,0.56,-0.21067385951290135
refit_platt_valid,Refit Platt,valid,"(0.4, 0.5]",23,0.46545234776277256,0.34782608695652173,0.11762626080625083
refit_platt_valid,Refit Platt,valid,"(0.5, 0.6]",24,0.5361046092363556,0.625,-0.08889539076364439
refit_platt_valid,Refit Platt,valid,"(0.6, 0.7]",22,0.6548864377419789,0.6818181818181818,-0.026931744076202913
refit_platt_valid,Refit Platt,valid,"(0.7, 0.8]",24,0.7580007058948951,0.75,0.0080007058948951
refit_platt_valid,Refit Platt,valid,"(0.8, 0.9]",39,0.8589320431521549,0.8461538461538461,0.012778196998308733
refit_platt_valid,Refit Platt,valid,"(0.9, 1.0]",53,0.9504794760569217,0.9245283018867925,0.025951174170129265
refit_platt_valid,Refit Platt,test,"(-0.001, 0.1]",542,0.021787735698163082,0.025830258302583026,-0.004042522604419944
refit_platt_valid,Refit Platt,test,"(0.1, 0.2]",86,0.14060622539224424,0.05813953488372093,0.08246669050852332
refit_platt_valid,Refit Platt,test,"(0.2, 0.3]",41,0.24830866787299963,0.17073170731707318,0.07757696055592644
refit_platt_valid,Refit Platt,test,"(0.3, 0.4]",26,0.35408158063246403,0.38461538461538464,-0.030533803982920604
refit_platt_valid,Refit Platt,test,"(0.4, 0.5]",37,0.4465442756479172,0.5405405405405406,-0.09399626489262336
refit_platt_valid,Refit Platt,test,"(0.5, 0.6]",32,0.5433066801690263,0.59375,-0.05044331983097372
refit_platt_valid,Refit Platt,test,"(0.6, 0.7]",38,0.6513010225099813,0.6052631578947368,0.046037864615244506
refit_platt_valid,Refit Platt,test,"(0.7, 0.8]",28,0.7524014499886172,0.6428571428571429,0.10954430713147434
refit_platt_valid,Refit Platt,test,"(0.8, 0.9]",41,0.8575070429654743,0.8536585365853658,0.003848506380108474
refit_platt_valid,Refit Platt,test,"(0.9, 1.0]",53,0.954798074663123,0.9811320754716981,-0.026334000808575064
isotonic_valid,Isotonic Valid,valid,"(-0.001, 0.1]",370,0.016216216216216217,0.016216216216216217,0.0
isotonic_valid,Isotonic Valid,valid,"(0.1, 0.2]",67,0.13432835820895522,0.13432835820895522,0.0
isotonic_valid,Isotonic Valid,valid,"(0.3, 0.4]",29,0.3103448275862069,0.3103448275862069,0.0
isotonic_valid,Isotonic Valid,valid,"(0.4, 0.5]",62,0.45161290322580644,0.45161290322580644,0.0
isotonic_valid,Isotonic Valid,valid,"(0.6, 0.7]",19,0.6842105263157895,0.6842105263157895,0.0
isotonic_valid,Isotonic Valid,valid,"(0.7, 0.8]",40,0.75,0.75,0.0
isotonic_valid,Isotonic Valid,valid,"(0.8, 0.9]",55,0.8727272727272727,0.8727272727272727,0.0
isotonic_valid,Isotonic Valid,valid,"(0.9, 1.0]",34,0.9705882352941176,0.9705882352941176,0.0
isotonic_valid,Isotonic Valid,test,"(-0.001, 0.1]",549,0.014363142124747682,0.025500910746812388,-0.011137768622064706
isotonic_valid,Isotonic Valid,test,"(0.1, 0.2]",81,0.12769528907782737,0.06172839506172839,0.06596689401609898
