variant,display_name,operating_mode,operating_mode_display,threshold_detail,evaluation_scope,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
current_platt,Current Platt,recall_first,Recall 우선,global:0.225; valid recall floor 0.90,valid,0.6794871794871795,0.9034090909090909,0.775609756097561,425,75,17,159
current_platt,Current Platt,recall_first,Recall 우선,global:0.225; valid recall floor 0.90,test,0.6411149825783972,0.9064039408866995,0.7510204081632653,618,103,19,184
current_platt,Current Platt,balanced,균형,global:0.300; valid recall floor 0.85,valid,0.7238095238095238,0.8636363636363636,0.7875647668393783,442,58,24,152
current_platt,Current Platt,balanced,균형,global:0.300; valid recall floor 0.85,test,0.6941176470588235,0.8719211822660099,0.7729257641921398,643,78,26,177
current_platt,Current Platt,fp_reduction_global,FP 축소 Global,global:0.380; valid recall floor 0.80,valid,0.7395833333333334,0.8068181818181818,0.7717391304347826,450,50,34,142
current_platt,Current Platt,fp_reduction_global,FP 축소 Global,global:0.380; valid recall floor 0.80,test,0.7222222222222222,0.8325123152709359,0.7734553775743707,656,65,34,169
current_platt,Current Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.380; fallback:0.300,valid,0.7395833333333334,0.8068181818181818,0.7717391304347826,450,50,34,142
current_platt,Current Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.380; fallback:0.300,test,0.7203389830508474,0.8374384236453202,0.7744874715261959,655,66,33,170
refit_platt_valid,Refit Platt,recall_first,Recall 우선,global:0.225; valid recall floor 0.90,valid,0.6794871794871795,0.9034090909090909,0.775609756097561,425,75,17,159
refit_platt_valid,Refit Platt,recall_first,Recall 우선,global:0.225; valid recall floor 0.90,test,0.6411149825783972,0.9064039408866995,0.7510204081632653,618,103,19,184
refit_platt_valid,Refit Platt,balanced,균형,global:0.300; valid recall floor 0.85,valid,0.7238095238095238,0.8636363636363636,0.7875647668393783,442,58,24,152
refit_platt_valid,Refit Platt,balanced,균형,global:0.300; valid recall floor 0.85,test,0.6941176470588235,0.8719211822660099,0.7729257641921398,643,78,26,177
