variant,display_name,operating_mode,operating_mode_display,threshold_detail,eval_year,policy_year,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
fold_platt,Fold Platt,recall_first,Recall 우선,global:0.160; valid recall floor 0.90,2019,2018,0.5695652173913044,0.9357142857142857,0.7081081081081081,335,99,9,131
fold_platt,Fold Platt,balanced,균형,global:0.260; valid recall floor 0.85,2019,2018,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
fold_platt,Fold Platt,fp_reduction_global,FP 축소 Global,global:0.330; valid recall floor 0.80,2019,2018,0.7300613496932515,0.85,0.7854785478547854,390,44,21,119
fold_platt,Fold Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.330; fallback:0.260,2019,2018,0.7041420118343196,0.85,0.7702265372168284,384,50,21,119
fold_isotonic,Fold Isotonic,recall_first,Recall 우선,global:0.165; valid recall floor 0.90,2019,2018,0.5689655172413793,0.9428571428571428,0.7096774193548387,334,100,8,132
fold_isotonic,Fold Isotonic,balanced,균형,global:0.200; valid recall floor 0.85,2019,2018,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
fold_isotonic,Fold Isotonic,fp_reduction_global,FP 축소 Global,global:0.320; valid recall floor 0.80,2019,2018,0.7228915662650602,0.8571428571428571,0.7843137254901961,388,46,20,120
fold_isotonic,Fold Isotonic,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.320; fallback:0.200,2019,2018,0.7017543859649122,0.8571428571428571,0.7717041800643086,383,51,20,120
fold_beta,Fold Beta,recall_first,Recall 우선,global:0.145; valid recall floor 0.90,2019,2018,0.5695652173913044,0.9357142857142857,0.7081081081081081,335,99,9,131
fold_beta,Fold Beta,balanced,균형,global:0.230; valid recall floor 0.85,2019,2018,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
fold_beta,Fold Beta,fp_reduction_global,FP 축소 Global,global:0.270; valid recall floor 0.80,2019,2018,0.7228915662650602,0.8571428571428571,0.7843137254901961,388,46,20,120
fold_beta,Fold Beta,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.270; fallback:0.230,2019,2018,0.7017543859649122,0.8571428571428571,0.7717041800643086,383,51,20,120
fold_segment_market_platt,Fold Market Segment Platt,recall_first,Recall 우선,global:0.160; valid recall floor 0.90,2019,2018,0.5745614035087719,0.9357142857142857,0.7119565217391305,337,97,9,131
fold_segment_market_platt,Fold Market Segment Platt,balanced,균형,global:0.255; valid recall floor 0.85,2019,2018,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_global,FP 축소 Global,global:0.330; valid recall floor 0.80,2019,2018,0.7329192546583851,0.8428571428571429,0.7840531561461794,391,43,22,118
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.305; fallback:0.255,2019,2018,0.7017543859649122,0.8571428571428571,0.7717041800643086,383,51,20,120
fold_segment_industry_platt,Fold Industry Segment Platt,recall_first,Recall 우선,global:0.165; valid recall floor 0.90,2019,2018,0.5695652173913044,0.9357142857142857,0.7081081081081081,335,99,9,131
fold_segment_industry_platt,Fold Industry Segment Platt,balanced,균형,global:0.270; valid recall floor 0.85,2019,2018,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_global,FP 축소 Global,global:0.310; valid recall floor 0.80,2019,2018,0.7212121212121212,0.85,0.780327868852459,388,46,21,119
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.310; fallback:0.270,2019,2018,0.7,0.85,0.7677419354838709,383,51,21,119
fold_platt,Fold Platt,recall_first,Recall 우선,global:0.285; valid recall floor 0.90,2020,2019,0.6888888888888889,0.8211920529801324,0.7492447129909365,396,56,27,124
fold_platt,Fold Platt,balanced,균형,global:0.355; valid recall floor 0.85,2020,2019,0.7407407407407407,0.7947019867549668,0.7667731629392971,410,42,31,120
fold_platt,Fold Platt,fp_reduction_global,FP 축소 Global,global:0.460; valid recall floor 0.80,2020,2019,0.8055555555555556,0.7682119205298014,0.7864406779661017,424,28,35,116
fold_platt,Fold Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.505; fallback:0.355,2020,2019,0.7891156462585034,0.7682119205298014,0.7785234899328859,421,31,35,116
fold_isotonic,Fold Isotonic,recall_first,Recall 우선,global:0.440; valid recall floor 0.90,2020,2019,0.6885245901639344,0.8344370860927153,0.7544910179640718,395,57,25,126
fold_isotonic,Fold Isotonic,balanced,균형,global:0.440; valid recall floor 0.85,2020,2019,0.6885245901639344,0.8344370860927153,0.7544910179640718,395,57,25,126
