variant,display_name,operating_mode,operating_mode_display,folds,precision_mean,recall_mean,f1_mean,precision_pooled,recall_pooled,f1_pooled,true_positive_sum,false_positive_sum,false_negative_sum,true_negative_sum
fold_beta,Fold Beta,balanced,균형,4,0.6916675349549772,0.8432101287233738,0.7588689376474644,0.6895213454075032,0.8433544303797469,0.7587188612099643,533,240,99,1654
fold_beta,Fold Beta,fp_reduction_global,FP 축소 Global,4,0.7392173185951749,0.795732633812104,0.7651429727978841,0.7360703812316716,0.7943037974683544,0.7640791476407915,502,180,130,1714
fold_beta,Fold Beta,fp_reduction_kosdaq,FP 축소 KOSDAQ,4,0.7348291123678388,0.7840849065393767,0.7572059360389121,0.7329376854599406,0.7816455696202531,0.7565084226646247,494,180,138,1714
fold_beta,Fold Beta,recall_first,Recall 우선,4,0.6186137703480081,0.8906470392190591,0.7277630431920004,0.6146288209606987,0.8908227848101266,0.727390180878553,563,353,69,1541
fold_isotonic,Fold Isotonic,balanced,균형,4,0.6809908389585343,0.8531439035578108,0.757263572692604,0.6814159292035398,0.8528481012658228,0.7575544624033732,539,252,93,1642
fold_isotonic,Fold Isotonic,fp_reduction_global,FP 축소 Global,4,0.7134293586348528,0.8157105587569164,0.7603670440829695,0.7103448275862069,0.814873417721519,0.759027266028003,515,210,117,1684
fold_isotonic,Fold Isotonic,fp_reduction_kosdaq,FP 축소 KOSDAQ,4,0.7273978077522114,0.7946878314841891,0.7583321911954792,0.7250361794500724,0.7927215189873418,0.7573696145124716,501,190,131,1704
fold_isotonic,Fold Isotonic,recall_first,Recall 우선,4,0.6204881076058183,0.8957440117829192,0.7308665464262479,0.616557734204793,0.8955696202531646,0.7303225806451612,566,352,66,1542
fold_platt,Fold Platt,balanced,균형,4,0.6916675349549772,0.8432101287233738,0.7588689376474644,0.6895213454075032,0.8433544303797469,0.7587188612099643,533,240,99,1654
fold_platt,Fold Platt,fp_reduction_global,FP 축소 Global,4,0.7410097644522227,0.7939469195263897,0.7654341783890315,0.7378497790868925,0.7927215189873418,0.7643020594965676,501,178,131,1716
fold_platt,Fold Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,4,0.7354260188351904,0.7822991922536624,0.7568365253270419,0.7336309523809523,0.7800632911392406,0.7561349693251532,493,179,139,1715
fold_platt,Fold Platt,recall_first,Recall 우선,4,0.6213177125130381,0.8906470392190591,0.7295832143491713,0.6173245614035088,0.8908227848101266,0.7292746113989638,563,349,69,1545
fold_segment_industry_platt,Fold Industry Segment Platt,balanced,균형,4,0.6866919548241763,0.8420248487715375,0.7558005497515112,0.6855670103092784,0.8417721518987342,0.7556818181818182,532,244,100,1650
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_global,FP 축소 Global,4,0.729723386930135,0.7955567680112382,0.760368516920717,0.7275362318840579,0.7943037974683544,0.7594553706505295,502,188,130,1706
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,4,0.7286176284083703,0.7805030854906683,0.7524638471928276,0.727810650887574,0.7784810126582279,0.7522935779816514,492,184,140,1710
fold_segment_industry_platt,Fold Industry Segment Platt,recall_first,Recall 우선,4,0.6187703965217882,0.884775827097847,0.7261592853214571,0.6156387665198237,0.884493670886076,0.7259740259740259,559,349,73,1545
fold_segment_market_platt,Fold Market Segment Platt,balanced,균형,4,0.6890757479763181,0.8389487650870101,0.7555890141731423,0.6865284974093264,0.8386075949367089,0.7549857549857549,530,242,102,1652
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_global,FP 축소 Global,4,0.7366656381530523,0.7862899931194633,0.7599393137911177,0.7348148148148148,0.7848101265822784,0.7589900535577658,496,179,136,1715
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,4,0.7298935591992028,0.788816619362977,0.7568696852204744,0.7276720351390923,0.7863924050632911,0.755893536121673,497,186,135,1708
fold_segment_market_platt,Fold Market Segment Platt,recall_first,Recall 우선,4,0.6242456602000552,0.8925378429517503,0.7325445996176155,0.6204620462046204,0.8924050632911392,0.7319922128487996,564,345,68,1549
