variant,display_name,operating_mode,operating_mode_display,dimension,segment,rows,positive_rows,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
current_platt,Current Platt,recall_first,Recall 우선,overall,all,924,203,0.6411149825783972,0.9064039408866995,0.7510204081632653,618,103,19,184
current_platt,Current Platt,recall_first,Recall 우선,market,KOSDAQ,427,163,0.6548672566371682,0.9079754601226994,0.7609254498714653,186,78,15,148
current_platt,Current Platt,recall_first,Recall 우선,market,KOSPI,497,40,0.5901639344262295,0.9,0.7128712871287128,432,25,4,36
current_platt,Current Platt,recall_first,Recall 우선,industry,manufacturing,598,162,0.6517857142857143,0.9012345679012346,0.7564766839378239,358,78,16,146
current_platt,Current Platt,recall_first,Recall 우선,industry,it_services,176,21,0.6206896551724138,0.8571428571428571,0.72,144,11,3,18
current_platt,Current Platt,balanced,균형,overall,all,924,203,0.6941176470588235,0.8719211822660099,0.7729257641921398,643,78,26,177
current_platt,Current Platt,balanced,균형,market,KOSDAQ,427,163,0.7014925373134329,0.8650306748466258,0.7747252747252747,204,60,22,141
current_platt,Current Platt,balanced,균형,market,KOSPI,497,40,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
current_platt,Current Platt,balanced,균형,industry,manufacturing,598,162,0.7035175879396985,0.8641975308641975,0.775623268698061,377,59,22,140
current_platt,Current Platt,balanced,균형,industry,it_services,176,21,0.6538461538461539,0.8095238095238095,0.723404255319149,146,9,4,17
current_platt,Current Platt,fp_reduction_global,FP 축소 Global,overall,all,924,203,0.7222222222222222,0.8325123152709359,0.7734553775743707,656,65,34,169
current_platt,Current Platt,fp_reduction_global,FP 축소 Global,market,KOSDAQ,427,163,0.7362637362637363,0.8220858895705522,0.7768115942028986,216,48,29,134
current_platt,Current Platt,fp_reduction_global,FP 축소 Global,market,KOSPI,497,40,0.6730769230769231,0.875,0.7608695652173914,440,17,5,35
current_platt,Current Platt,fp_reduction_global,FP 축소 Global,industry,manufacturing,598,162,0.7297297297297297,0.8333333333333334,0.7780979827089337,386,50,27,135
current_platt,Current Platt,fp_reduction_global,FP 축소 Global,industry,it_services,176,21,0.6818181818181818,0.7142857142857143,0.6976744186046512,148,7,6,15
current_platt,Current Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,overall,all,924,203,0.7203389830508474,0.8374384236453202,0.7744874715261959,655,66,33,170
