variant,note,added_features,added_feature_count,feature_count,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
baseline_46_native,공식 46개 입력셋 baseline,,0,46,2019,2018,1490,511,574,0.24390243902439024,208,0.26,policy_max_precision_with_recall_ge_0.85,0.6598639455782312,0.8584070796460177,0.7461538461538462,0.8372569073739627,0.9281140214346066,0.07753907594998936,0.2649589460815406,0.8339327529852092,0.9332620144832127,0.08156045593684022,0.27283373949970724,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
baseline_46_native,공식 46개 입력셋 baseline,,0,46,2020,2019,2001,574,603,0.2504145936981758,397,0.355,policy_max_precision_with_recall_ge_0.85,0.7628205128205128,0.85,0.8040540540540541,0.8756525229728871,0.9542462146148781,0.07080758437741723,0.23411887456095118,0.8539769071400813,0.9408222469671218,0.08217155868174439,0.26482676391725424,0.7407407407407407,0.7947019867549668,0.7667731629392971,410,42,31,120
baseline_46_native,공식 46개 입력셋 baseline,,0,46,2021,2020,2575,603,673,0.2451708766716196,372,0.305,policy_max_precision_with_recall_ge_0.85,0.7318435754189944,0.8675496688741722,0.793939393939394,0.8782915203560517,0.9493787727832151,0.07491681389860909,0.24384401801059238,0.8217395440230841,0.9226079694583632,0.09093402243744587,0.29620962550037194,0.6456310679611651,0.806060606060606,0.7169811320754716,435,73,32,133
baseline_46_native,공식 46개 입력셋 baseline,,0,46,2022,2021,3178,673,676,0.2603550295857988,169,0.24,policy_max_precision_with_recall_ge_0.85,0.6396396396396397,0.8606060606060606,0.7338501291989664,0.8355013023750794,0.932307325220711,0.08615538508697891,0.2770493663821113,0.835461477433602,0.9282840909090908,0.09009746453445143,0.29314058252680314,0.7027027027027027,0.8863636363636364,0.7839195979899497,434,66,20,156
macro_regime_51_raw,"금리, 스프레드, 환율 변화량 5개 raw macro feature 추가","market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff",5,51,2019,2018,1490,511,574,0.24390243902439024,355,0.23,policy_max_precision_with_recall_ge_0.85,0.6689655172413793,0.8584070796460177,0.751937984496124,0.8449487669666376,0.9305821141103748,0.07585452413729993,0.2587451321633293,0.8323422908292841,0.9336899275839368,0.08272757399488181,0.27446943312168137,0.6410256410256411,0.8928571428571429,0.746268656716418,364,70,15,125
macro_regime_51_raw,"금리, 스프레드, 환율 변화량 5개 raw macro feature 추가","market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff",5,51,2020,2019,2001,574,603,0.2504145936981758,355,0.32,policy_max_precision_with_recall_ge_0.85,0.74375,0.85,0.7933333333333333,0.8750508076091151,0.9525510204081633,0.0713549900599736,0.23642029538144116,0.8566609540635982,0.9417746000117213,0.08112127026075869,0.2620558168094384,0.7251461988304093,0.8211920529801324,0.7701863354037267,405,47,27,124
macro_regime_51_raw,"금리, 스프레드, 환율 변화량 5개 raw macro feature 추가","market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff",5,51,2021,2020,2575,603,673,0.2451708766716196,376,0.325,policy_max_precision_with_recall_ge_0.85,0.7471264367816092,0.8609271523178808,0.8,0.8825550589873166,0.9513567367989216,0.07261847602097726,0.23795159407528357,0.8252372262545169,0.9235504652827486,0.09075433308703058,0.2950625870677529,0.6802030456852792,0.8121212121212121,0.7403314917127072,445,63,31,134
macro_regime_51_raw,"금리, 스프레드, 환율 변화량 5개 raw macro feature 추가","market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff",5,51,2022,2021,3178,673,676,0.2603550295857988,255,0.265,policy_max_precision_with_recall_ge_0.85,0.6926829268292682,0.8606060606060606,0.7675675675675676,0.8433476696687611,0.9368289191123838,0.08349283301592919,0.26926913731048085,0.8373498017033035,0.929590909090909,0.08804912808009503,0.2892120456220729,0.7018348623853211,0.8693181818181818,0.7766497461928934,435,65,23,153
macro_shock_components_51,악화 방향으로만 절단한 macro shock component 5개 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up",5,51,2019,2018,1490,511,574,0.24390243902439024,355,0.23,policy_max_precision_with_recall_ge_0.85,0.6689655172413793,0.8584070796460177,0.751937984496124,0.8449487669666376,0.9305821141103748,0.07585452413729993,0.2587451321633293,0.8323422908292841,0.9336899275839368,0.08272757399488181,0.27446943312168137,0.6410256410256411,0.8928571428571429,0.746268656716418,364,70,15,125
macro_shock_components_51,악화 방향으로만 절단한 macro shock component 5개 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up",5,51,2020,2019,2001,574,603,0.2504145936981758,355,0.32,policy_max_precision_with_recall_ge_0.85,0.74375,0.85,0.7933333333333333,0.8750508076091151,0.9525510204081633,0.0713549900599736,0.23642029538144116,0.8566609540635982,0.9417746000117213,0.08112127026075869,0.2620558168094384,0.7251461988304093,0.8211920529801324,0.7701863354037267,405,47,27,124
macro_shock_components_51,악화 방향으로만 절단한 macro shock component 5개 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up",5,51,2021,2020,2575,603,673,0.2451708766716196,353,0.345,policy_max_precision_with_recall_ge_0.85,0.7543859649122807,0.8543046357615894,0.8012422360248447,0.8854942675647853,0.9524556056965364,0.07208529059543546,0.2357654659770364,0.8246205099212336,0.9231329038415652,0.09039722739673417,0.2962035205722663,0.6875,0.8,0.7394957983193278,448,60,33,132
macro_shock_components_51,악화 방향으로만 절단한 macro shock component 5개 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up",5,51,2022,2021,3178,673,676,0.2603550295857988,302,0.26,policy_max_precision_with_recall_ge_0.85,0.6778846153846154,0.8545454545454545,0.7560321715817694,0.8456998477348048,0.9358267716535432,0.08388925786558664,0.2709889065420806,0.8371023492642387,0.9311363636363637,0.0876891269829423,0.28698287189540117,0.695067264573991,0.8806818181818182,0.7769423558897243,432,68,21,155
macro_vulnerability_interactions_56,"macro shock과 차입, 이자보상, 현금 유동성 취약도의 interaction 10개 추가","macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",10,56,2019,2018,1490,511,574,0.24390243902439024,356,0.24,policy_max_precision_with_recall_ge_0.85,0.6510067114093959,0.8584070796460177,0.7404580152671756,0.8361403834651395,0.9264463912482768,0.07866034342511405,0.26630773347925135,0.8349840043946025,0.9318959842001316,0.08305346167143032,0.2751062447494807,0.6544502617801047,0.8928571428571429,0.7552870090634441,368,66,15,125
macro_vulnerability_interactions_56,"macro shock과 차입, 이자보상, 현금 유동성 취약도의 interaction 10개 추가","macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",10,56,2020,2019,2001,574,603,0.2504145936981758,133,0.425,policy_max_precision_with_recall_ge_0.85,0.7628205128205128,0.85,0.8040540540540541,0.8580136334120753,0.9463298222514812,0.07393966946366537,0.2494324644643291,0.8508339533170268,0.937950536248022,0.08217589652506149,0.26918479744368473,0.7741935483870968,0.7947019867549668,0.7843137254901961,417,35,31,120
macro_vulnerability_interactions_56,"macro shock과 차입, 이자보상, 현금 유동성 취약도의 interaction 10개 추가","macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",10,56,2021,2020,2575,603,673,0.2451708766716196,380,0.305,policy_max_precision_with_recall_ge_0.85,0.7371428571428571,0.8543046357615894,0.7914110429447853,0.8754735131728715,0.9489099220535662,0.0744293082711957,0.24345206813646111,0.8261541347434734,0.9238010021474589,0.08954990645713667,0.29475016646913504,0.6989247311827957,0.7878787878787878,0.7407407407407407,452,56,35,130
