eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,threshold_tuned,policy_id,note,probability_ceiling,score_threshold,min_group_count,stage1_precision,stage1_recall,stage1_f1,stage1_false_positive,stage1_false_negative,trigger_precision,trigger_recall,trigger_f1,trigger_false_positive,trigger_false_negative,rescue_trigger_count,rescue_true_risk_count,rescue_normal_count,rescue_precision,target_stage1_recall,target_stage1_false_negative,target_trigger_recall,target_trigger_false_negative
2019,2018,1490,511,574,0.24390243902439024,0.26,baseline_stage1_only,공식 46 Stage1 기준선. Rescue gate를 적용하지 않음,0.0,1.0,99,0.6775956284153005,0.8857142857142857,0.7678018575851393,59,16,0.6775956284153005,0.8857142857142857,0.7678018575851393,59,16,0,0,0,0.0,0.9102564102564102,7,0.9102564102564102,7
2019,2018,1490,511,574,0.24390243902439024,0.26,strict_low_prob_010_score_078,"Stage1 확률 0.10 이하, rescue score 0.78 이상인 매우 보수적 gate",0.1,0.78,2,0.6775956284153005,0.8857142857142857,0.7678018575851393,59,16,0.6775956284153005,0.8857142857142857,0.7678018575851393,59,16,0,0,0,0.0,0.9102564102564102,7,0.9102564102564102,7
2019,2018,1490,511,574,0.24390243902439024,0.26,conservative_group2_prob030_score065,기본 후보. Stage1 정상 구간에서 stress group 2개 이상이 강한 KOSDAQ 제조업만 추가 검토,0.3,0.65,2,0.6775956284153005,0.8857142857142857,0.7678018575851393,59,16,0.6702702702702703,0.8857142857142857,0.7630769230769231,61,16,2,0,2,0.0,0.9102564102564102,7,0.9102564102564102,7
2019,2018,1490,511,574,0.24390243902439024,0.26,moderate_group1_prob030_score055,Review load를 조금 더 허용하는 후보. stress group 1개 이상이면 추가 검토,0.3,0.55,1,0.6775956284153005,0.8857142857142857,0.7678018575851393,59,16,0.6458333333333334,0.8857142857142857,0.7469879518072289,68,16,9,0,9,0.0,0.9102564102564102,7,0.9102564102564102,7
2019,2018,1490,511,574,0.24390243902439024,0.26,recall_prob030_score045,Recall 우선 참고 후보. FP 비용이 커 운영 기본값으로는 부적합할 수 있음,0.3,0.45,0,0.6775956284153005,0.8857142857142857,0.7678018575851393,59,16,0.5727272727272728,0.9,0.7,94,14,37,2,35,0.05405405405405406,0.9102564102564102,7,0.9358974358974359,5
2020,2019,2001,574,603,0.2504145936981758,0.355,baseline_stage1_only,공식 46 Stage1 기준선. Rescue gate를 적용하지 않음,0.0,1.0,99,0.7407407407407407,0.7947019867549668,0.7667731629392971,42,31,0.7407407407407407,0.7947019867549668,0.7667731629392971,42,31,0,0,0,0.0,0.8351648351648352,15,0.8351648351648352,15
2020,2019,2001,574,603,0.2504145936981758,0.355,strict_low_prob_010_score_078,"Stage1 확률 0.10 이하, rescue score 0.78 이상인 매우 보수적 gate",0.1,0.78,2,0.7407407407407407,0.7947019867549668,0.7667731629392971,42,31,0.7407407407407407,0.7947019867549668,0.7667731629392971,42,31,0,0,0,0.0,0.8351648351648352,15,0.8351648351648352,15
2020,2019,2001,574,603,0.2504145936981758,0.355,conservative_group2_prob030_score065,기본 후보. Stage1 정상 구간에서 stress group 2개 이상이 강한 KOSDAQ 제조업만 추가 검토,0.3,0.65,2,0.7407407407407407,0.7947019867549668,0.7667731629392971,42,31,0.7439024390243902,0.8079470198675497,0.7746031746031746,42,29,2,2,0,1.0,0.8351648351648352,15,0.8571428571428571,13
2020,2019,2001,574,603,0.2504145936981758,0.355,moderate_group1_prob030_score055,Review load를 조금 더 허용하는 후보. stress group 1개 이상이면 추가 검토,0.3,0.55,1,0.7407407407407407,0.7947019867549668,0.7667731629392971,42,31,0.6971428571428572,0.8079470198675497,0.7484662576687117,53,29,13,2,11,0.15384615384615385,0.8351648351648352,15,0.8571428571428571,13
2020,2019,2001,574,603,0.2504145936981758,0.355,recall_prob030_score045,Recall 우선 참고 후보. FP 비용이 커 운영 기본값으로는 부적합할 수 있음,0.3,0.45,0,0.7407407407407407,0.7947019867549668,0.7667731629392971,42,31,0.6218905472636815,0.8278145695364238,0.7102272727272727,76,26,39,5,34,0.1282051282051282,0.8351648351648352,15,0.8901098901098901,10
