candidate_id,display_name,note,half_life_years,use_monotonic_constraints,monotonic_profile,risk_proxy_pack,feature_count,added_risk_proxy_count,monotonic_constraint_count,folds,eval_pr_auc_mean,eval_pr_auc_std,eval_pr_auc_min,eval_pr_auc_max,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_min,eval_roc_auc_max,eval_brier_mean,eval_brier_std,eval_brier_min,eval_brier_max,eval_logloss_mean,eval_logloss_std,eval_logloss_min,eval_logloss_max,eval_precision_at_threshold_mean,eval_precision_at_threshold_std,eval_precision_at_threshold_min,eval_precision_at_threshold_max,eval_recall_at_threshold_mean,eval_recall_at_threshold_std,eval_recall_at_threshold_min,eval_recall_at_threshold_max,eval_f1_at_threshold_mean,eval_f1_at_threshold_std,eval_f1_at_threshold_min,eval_f1_at_threshold_max,eval_false_positive_at_threshold_mean,eval_false_positive_at_threshold_std,eval_false_positive_at_threshold_min,eval_false_positive_at_threshold_max,eval_false_negative_at_threshold_mean,eval_false_negative_at_threshold_std,eval_false_negative_at_threshold_min,eval_false_negative_at_threshold_max,total_false_positive,total_false_negative,eval_pr_auc_mean_delta_vs_baseline,eval_precision_at_threshold_mean_delta_vs_baseline,eval_recall_at_threshold_mean_delta_vs_baseline,eval_f1_at_threshold_mean_delta_vs_baseline,total_false_positive_delta_vs_baseline,total_false_negative_delta_vs_baseline
baseline_current,현재 46 XGBoost,sample weight와 monotonic constraint를 쓰지 않는 현재 공식 구조,,False,,False,46,0,0,4,0.8362776703954942,0.011519384840055576,0.8217395440230841,0.8539769071400813,0.9312440804544471,0.0066924824006917025,0.9226079694583632,0.9408222469671218,0.08619087539762048,0.0043403506128740195,0.08156045593684022,0.09093402243744587,0.28175267786103414,0.013273297744424609,0.26482676391725424,0.29620962550037194,0.6916675349549772,0.03481138211938044,0.6456310679611651,0.7407407407407407,0.8432101287233738,0.0430173088839391,0.7947019867549668,0.8863636363636364,0.7588689376474644,0.025121692196728062,0.7169811320754716,0.7839195979899497,60.0,11.510864433221338,42.0,73.0,24.75,6.905613658466566,16.0,32.0,240,99,0.0,0.0,0.0,0.0,0,0
time_decay_half_life_1y,최근연도 가중 half-life 1년,학습 연도가 정책연도에서 1년 멀어질 때마다 가중치를 절반으로 감소,1.0,False,,False,46,0,0,4,0.8311220403376389,0.010391486496388684,0.8177549994921993,0.8466059111281653,0.931015150100845,0.006383766837742164,0.920973514674302,0.9386977670984,0.08726717213318716,0.0034563933038427312,0.08332877358692678,0.09165576130877755,0.284675958773252,0.010860167310482161,0.2716713652840362,0.30021364421002855,0.6773584389570604,0.02939553007323853,0.6507936507936508,0.7261904761904762,0.8463455212006538,0.03348555460422465,0.8079470198675497,0.8806818181818182,0.7514717936581473,0.014253526986910812,0.7297297297297297,0.7648902821316614,64.25,11.008519428151999,46.0,75.0,24.25,5.448623679425842,17.0,30.0,257,97,-0.005155630057855243,-0.014309095997916854,0.003135392477280008,-0.007397143989317123,17,-2
risk_proxy_monotonic_time_decay_3y,위험 proxy 단조 제약 + half-life 3년,위험방향 percentile proxy만 higher-risk 방향으로 단조 제약,3.0,True,risk_proxy,True,58,12,12,4,0.8330366258458584,0.01727543393398936,0.8149913302157871,0.8607035844568938,0.9293649062052988,0.006860449938180922,0.9209019327129563,0.9395622106311903,0.08751972322908892,0.006182597285799296,0.08010089828849458,0.09520502435384265,0.28601676523995156,0.016342588539154036,0.26456700832720864,0.3028320006243028,0.6878342288694176,0.0469213169166813,0.6212121212121212,0.7530120481927711,0.8321836207390844,0.03729070203753818,0.7757575757575758,0.8785714285714286,0.7514423031756003,0.02641341107500682,0.7252124645892352,0.7886435331230284,60.25,12.356678356257397,41.0,75.0,26.75,7.084313657652377,17.0,37.0,241,107,-0.0032410445496358076,-0.0038333060855596512,-0.011026507984289391,-0.007426634471864091,1,8
monotonic_guardrail_time_decay_3y,위험 guardrail 단조 제약 + half-life 3년,명확한 부실 guardrail 변수만 제약해 과도한 수익성 제약을 피함,3.0,True,distress_guardrail,False,46,0,9,4,0.8289341010135503,0.009477426301142077,0.8198843288667397,0.8427953192863725,0.9305169667790645,0.005328144025247531,0.922930088284419,0.9370567895446288,0.08754672442071525,0.004199526589309743,0.08223442276560207,0.09245886810376042,0.2856187929582273,0.011179487573714213,0.27423389163803863,0.2974149979545269,0.6862369782357427,0.02992004349548813,0.6510416666666666,0.7333333333333333,0.8324469266936154,0.03647826719873539,0.8013245033112583,0.8928571428571429,0.7510710340897506,0.011023792718780812,0.7348066298342542,0.7658227848101266,60.5,9.604686356149273,44.0,67.0,26.75,6.832825184358224,15.0,32.0,242,107,-0.007343569381943915,-0.005430556719234536,-0.010763202029758334,-0.0077979035577138145,2,8
time_decay_half_life_2y,최근연도 가중 half-life 2년,2021-2022에 가까운 과거 학습 표본을 완만하게 더 반영,2.0,False,,False,46,0,0,4,0.8353461811648428,0.008332867627113527,0.826003581162494,0.8486484528773448,0.9313910469841948,0.005645929613448107,0.9227869243617275,0.9385952060012894,0.08675754249257514,0.003876142577236063,0.08182153893697941,0.09162586978998864,0.28253770719115995,0.011164712891284847,0.270267991086524,0.29755338768726214,0.6778256921178542,0.040670458807829026,0.6237623762376238,0.7349397590361446,0.8444109973911299,0.0395604793018134,0.806060606060606,0.9,0.7502527293880386,0.018797760280855103,0.726775956284153,0.7697160883280757,64.0,12.0,44.0,76.0,24.75,6.832825184358224,14.0,32.0,256,99,-0.0009314892306513389,-0.013841842837123086,0.0012008686677561498,-0.008616208259425884,16,0
monotonic_directional,방향성 단조 제약,"부채/차입/스프레드는 위험 증가, 유동성/수익성/현금흐름은 위험 감소로 제약",,True,broad,False,46,0,24,4,0.8153257259436628,0.01498135120188752,0.8025502853423809,0.8408194465537757,0.92438887241471,0.005236493129723731,0.9197613636363636,0.9329396940748991,0.09170123722491,0.0042307876267538395,0.08678814670630167,0.09728754766389971,0.2962864748123905,0.01189957538126096,0.2807709940710098,0.31208101302736607,0.674546060027407,0.041256559622828405,0.643979057591623,0.7453416149068323,0.846064565952811,0.035852443490948085,0.7947019867549668,0.8806818181818182,0.7488536244867741,0.014845842994020166,0.7287234042553191,0.7692307692307693,65.75,14.905955185763842,41.0,80.0,24.25,5.539629951540085,17.0,31.0,263,97,-0.02095194445183135,-0.017121474927570213,0.0028544372294372344,-0.010015313160690376,23,-2
time_decay_half_life_3y,최근연도 가중 half-life 3년,장기 표본을 크게 버리지 않는 완만한 recency weighting,3.0,False,,False,46,0,0,4,0.8329451423652137,0.011550348641643206,0.8240514452944664,0.8525755436233134,0.9307152245981888,0.005579445726128201,0.9249701741827726,0.9397087264842057,0.08707957580364795,0.003394446593064059,0.08305745297340064,0.09093852987030548,0.28386386786489237,0.011349173175009851,0.26716170444229104,0.2947058475271306,0.6773055493440667,0.025017747605408314,0.640625,0.7093023255813954,0.8388644605945931,0.038264115921831654,0.793939393939394,0.8785714285714286,0.7485398974639528,0.01578215547700135,0.7277777777777777,0.77,63.25,7.980444849756184,50.0,70.0,25.5,6.5,17.0,34.0,253,102,-0.0033325280302805016,-0.01436198561091051,-0.0043456681287806775,-0.010329040183511662,13,3
monotonic_time_decay_3y,단조 제약 + half-life 3년,방향성 제약과 완만한 최근연도 가중치를 함께 적용,3.0,True,broad,False,46,0,24,4,0.8151148177661625,0.018948161500719946,0.8004754120358227,0.8476401198256088,0.9248447322147484,0.007046659228381727,0.9190340909090909,0.93639746820606,0.09139227885695302,0.004782981805214926,0.0852205187924216,0.09811466821029328,0.29659317338006325,0.014682897778477078,0.27523689134461504,0.31341571988873373,0.6672022761031631,0.059600000649146195,0.6018957345971564,0.7643312101910829,0.8576581806714256,0.043209639025758695,0.7947019867549668,0.9071428571428571,0.7470793095793096,0.020772202466098247,0.7236467236467237,0.7792207792207793,69.75,19.343926695477318,37.0,84.0,22.5,6.726812023536855,13.0,31.0,279,90,-0.021162852629331708,-0.024465258851814164,0.014448051948051877,-0.011789628068154867,39,-9
risk_proxy_time_decay_3y,위험 proxy pack + half-life 3년,원변수 대신 산업-연도 내 위험방향 percentile proxy 12개를 추가,3.0,False,,True,58,12,0,4,0.8332598499543191,0.013386616414615743,0.8224741975855323,0.8561799406066186,0.9296658993374974,0.005641116325007982,0.9222381293247435,0.9381263552716405,0.08698838819884606,0.004991624554762957,0.08071528136784918,0.0921443656098283,0.284700577546463,0.012423518429504758,0.2675903745582146,0.298822682852441,0.6949827982246206,0.07254148844337327,0.5934579439252337,0.7972027972027972,0.8197887997763826,0.05812212559659935,0.7549668874172185,0.9071428571428571,0.746865721924363,0.02428895700758616,0.7175141242937854,0.7755102040816326,59.25,20.54720175595694,29.0,87.0,28.75,9.60143218483576,13.0,37.0,237,115,-0.0030178204411750453,0.003315263269643376,-0.023421328946991116,-0.012003215723101479,-3,16
monotonic_leverage_liquidity_time_decay_3y,차입/유동성 단조 제약 + half-life 3년,"수익성/규모성 변수는 풀고 차입, 유동성, 현금흐름 커버리지 중심으로 제약",3.0,True,leverage_liquidity,False,46,0,10,4,0.8297613509444846,0.011710389227403655,0.8199305564014338,0.8497631160227785,0.9289735761591862,0.005393047275664354,0.9243497971844429,0.9375549434448808,0.08888140739224323,0.003629143665540006,0.08511845312447289,0.09338717139103468,0.28745779043677977,0.011055856169726985,0.2733253857159207,0.3016510653073099,0.6667176407768878,0.041260142407495294,0.6116504854368932,0.7176470588235294,0.8446950883002208,0.03475255168755291,0.8079470198675497,0.9,0.7435002257322306,0.01773624273720526,0.723404255319149,0.7621483375959079,67.25,12.193748398257199,48.0,80.0,24.75,6.2599920127744575,14.0,29.0,269,99,-0.006516319451009611,-0.02494989417808946,0.0014849595768470225,-0.015368711915233813,29,0
