variant,note,added_features,added_feature_count,feature_count,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
baseline_46_native,공식 46개 입력셋 baseline,,0,46,2019,2018,1490,511,574,0.24390243902439024,208,0.26,policy_max_precision_with_recall_ge_0.85,0.6598639455782312,0.8584070796460177,0.7461538461538462,0.8372569073739627,0.9281140214346066,0.07753907640294985,0.2649589479902782,0.8339327529852092,0.9332620144832127,0.08156045581514801,0.2728337392380238,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
baseline_46_native,공식 46개 입력셋 baseline,,0,46,2020,2019,2001,574,603,0.2504145936981758,397,0.355,policy_max_precision_with_recall_ge_0.85,0.7628205128205128,0.85,0.8040540540540541,0.8756525229728871,0.9542462146148781,0.07080758389028523,0.2341188780204614,0.8539769071400813,0.9408222469671218,0.08217155970167543,0.26482676658392096,0.7407407407407407,0.7947019867549668,0.7667731629392971,410,42,31,120
baseline_46_native,공식 46개 입력셋 baseline,,0,46,2021,2020,2575,603,673,0.2451708766716196,372,0.305,policy_max_precision_with_recall_ge_0.85,0.7318435754189944,0.8675496688741722,0.793939393939394,0.8782915203560517,0.9493787727832151,0.07491681402021401,0.2438440196179327,0.8217395440230841,0.9226079694583632,0.09093402184296816,0.29620962359363856,0.6456310679611651,0.806060606060606,0.7169811320754716,435,73,32,133
baseline_46_native,공식 46개 입력셋 baseline,,0,46,2022,2021,3178,673,676,0.2603550295857988,169,0.24,policy_max_precision_with_recall_ge_0.85,0.6396396396396397,0.8606060606060606,0.7338501291989664,0.8355013023750794,0.932307325220711,0.08615538492126616,0.2770493658670789,0.835461477433602,0.9282840909090908,0.09009746489562304,0.2931405833498422,0.7027027027027027,0.8863636363636364,0.7839195979899497,434,66,20,156
trend_diff_pack_add_native,재무/현금흐름 악화 속도 6개 diff feature 추가,"interest_coverage_ratio_diff, cash_ratio_diff, ocf_to_sales_diff, operating_roa_diff, short_term_borrowings_share_diff, total_borrowings_ratio_diff",6,52,2019,2018,1490,511,574,0.24390243902439024,191,0.25,policy_max_precision_with_recall_ge_0.85,0.6298701298701299,0.8584070796460177,0.7265917602996255,0.8239991577520556,0.9261573353493129,0.08175399514788353,0.2727357749872092,0.8291906569564338,0.9316655694535879,0.08377241617084454,0.27655629287846933,0.6524064171122995,0.8714285714285714,0.746177370030581,369,65,18,122
trend_diff_pack_add_native,재무/현금흐름 악화 속도 6개 diff feature 추가,"interest_coverage_ratio_diff, cash_ratio_diff, ocf_to_sales_diff, operating_roa_diff, short_term_borrowings_share_diff, total_borrowings_ratio_diff",6,52,2020,2019,2001,574,603,0.2504145936981758,168,0.395,policy_max_precision_with_recall_ge_0.85,0.7947019867549668,0.8571428571428571,0.8247422680412371,0.8626241235053657,0.949292297564187,0.07235580055077406,0.24320253982686824,0.850933034569376,0.938170310027545,0.0822000228523181,0.2689290383329902,0.7575757575757576,0.8278145695364238,0.7911392405063291,412,40,26,125
trend_diff_pack_add_native,재무/현금흐름 악화 속도 6개 diff feature 추가,"interest_coverage_ratio_diff, cash_ratio_diff, ocf_to_sales_diff, operating_roa_diff, short_term_borrowings_share_diff, total_borrowings_ratio_diff",6,52,2021,2020,2575,603,673,0.2451708766716196,399,0.345,policy_max_precision_with_recall_ge_0.85,0.75,0.8543046357615894,0.7987616099071208,0.8801542313112967,0.9526167731348532,0.07367458394024423,0.23725684939024966,0.8253743184370546,0.922870436649964,0.09046574930898608,0.29718013271228283,0.6770833333333334,0.7878787878787878,0.7282913165266106,446,62,35,130
trend_diff_pack_add_native,재무/현금흐름 악화 속도 6개 diff feature 추가,"interest_coverage_ratio_diff, cash_ratio_diff, ocf_to_sales_diff, operating_roa_diff, short_term_borrowings_share_diff, total_borrowings_ratio_diff",6,52,2022,2021,3178,673,676,0.2603550295857988,399,0.23,policy_max_precision_with_recall_ge_0.85,0.6574074074074074,0.8606060606060606,0.7454068241469817,0.8494320687899931,0.9346218086375566,0.08396781213429957,0.2713554279130088,0.8268551783407145,0.9275681818181817,0.09153276849859165,0.29642999056678554,0.6695652173913044,0.875,0.7586206896551724,424,76,22,154
peer_ratio_pct_pack_add_native,동일 산업-연도 내 ratio percentile 4개 추가,"net_margin_industry_year_pct, interest_coverage_ratio_industry_year_pct, short_term_borrowings_share_industry_year_pct, cashflow_coverage_ratio_industry_year_pct",4,50,2019,2018,1490,511,574,0.24390243902439024,393,0.23,policy_max_precision_with_recall_ge_0.85,0.6423841059602649,0.8584070796460177,0.7348484848484849,0.841646491224062,0.9302041179348068,0.07741194637365827,0.26061522758466316,0.833521907486403,0.9302337063857801,0.08304472175868993,0.2772131215118096,0.6275510204081632,0.8785714285714286,0.7321428571428571,361,73,17,123
peer_ratio_pct_pack_add_native,동일 산업-연도 내 ratio percentile 4개 추가,"net_margin_industry_year_pct, interest_coverage_ratio_industry_year_pct, short_term_borrowings_share_industry_year_pct, cashflow_coverage_ratio_industry_year_pct",4,50,2020,2019,2001,574,603,0.2504145936981758,371,0.39,policy_max_precision_with_recall_ge_0.85,0.7727272727272727,0.85,0.8095238095238095,0.8686306677815078,0.9509052007899934,0.07059787914152023,0.2387688537594651,0.8548494004040463,0.9391226630721444,0.08009290807710076,0.2660351116829426,0.7625,0.8079470198675497,0.7845659163987139,414,38,29,122
