market,stock_code,fiscal_year,corp_name_source,firm_size_code_source,firm_size_name_source,firm_size_group_source,firm_size_source_year,equity_total_source,shares_outstanding_source,close_price_source,market_cap_source,market_to_book_source
KOSDAQ,000250,2025,삼천당제약(주),,,mid_sized,2024,363593226,23457472,232500,5453862240000,14.999900575705444
KOSDAQ,000440,2025,(주)중앙에너비스,,,small_and_medium,2024,52007261,6227130,15670,97579127100,1.876259684200635
KOSDAQ,0007C0,2025,(주)아크릴,,,other,,43747826,8030324,37150,298326536600,6.819231122479092
KOSDAQ,0008Z0,2025,에스엔시스(주),,,other,,172671982,9436564,29800,281209607200,1.6285769349656274
KOSDAQ,0009K0,2025,(주)에임드바이오,,,other,,192571951,64156161,57600,3695394873600,19.18968393065717
KOSDAQ,001000,2025,신라섬유(주),,,small_and_medium,2024,,24277540,2030,49283406200,
KOSDAQ,0010V0,2025,제이피아이헬스케어(주),,,other,,63050499,5105400,14300,73007220000,1.1579166090342916
KOSDAQ,0013V0,2025,삼진식품(주),,,other,,41706863,9918656,13910,137968504960,3.3080528008064283
KOSDAQ,001540,2025,안국약품(주),,,mid_sized,2024,166289461,13042420,8460,110338873200,0.6635349741136031
KOSDAQ,0015G0,2025,(주)그린광학,,,other,,65562826,11702541,15350,179634004350,2.739875861208301
KOSDAQ,0015N0,2025,(주)아로마티카,,,other,,,12715050,9410,119648620500,
KOSDAQ,0015S0,2025,(주)페스카로,,,other,,60993311,9662730,15040,145327459200,2.382678638318225
KOSDAQ,001810,2025,무림에스피(주),,,mid_sized,2024,200734648,22137500,1496,33117700000,0.16498247975606084
KOSDAQ,001840,2025,이화공영(주),,,mid_sized,2024,,22283636,1616,36010355776,
KOSDAQ,002230,2025,피에스텍(주),,,small_and_medium,2024,136478651,19273820,9830,189461650600,1.3882145611184273
KOSDAQ,002290,2025,(주)삼일기업공사,,,small_and_medium,2024,,12400000,3765,46686000000,
KOSDAQ,002680,2025,(주)한탑,,,small_and_medium,2024,47323064,32316799,715,23106511285,0.4882716656934978
KOSDAQ,002800,2025,신신제약(주),,,small_and_medium,2024,74520123,15170500,5860,88899130000,1.1929546868837024
KOSDAQ,003100,2025,(주)선광,,,mid_sized,2024,434164088,6600000,19330,127578000000,0.2938474266439098
KOSDAQ,003310,2025,대주산업(주),,,small_and_medium,2024,111857384,35392350,3400,120333990000,1.0757804777554962
KOSDAQ,003380,2025,(주)하림지주,,,large,2024,6277593000,112005621,10630,1190619751230,0.1896618259944536
KOSDAQ,003800,2025,(주)에이스침대,,,mid_sized,2024,748443132,11090000,30650,339908500000,0.4541540772666212
KOSDAQ,004590,2025,(주)한국가구,,,small_and_medium,2024,199860326,15000000,4800,72000000000,0.3602515889021416
KOSDAQ,004650,2025,(주)창해에탄올,,,mid_sized,2024,145650523,9190885,9820,90254490700,0.619664721011678
KOSDAQ,004780,2025,(주)대륙제관,,,mid_sized,2024,,15903199,3690,58682804310,
KOSDAQ,005160,2025,동국산업(주),,,mid_sized,2024,471041762,54244482,2730,148087435860,0.31438281657073114
KOSDAQ,005290,2025,(주)동진쎄미켐,,,mid_sized,2024,1101580532,51414494,36650,1884341205100,1.7105796175235966
KOSDAQ,005670,2025,(주)푸드웰,,,mid_sized,2024,116152611,10000000,6190,61900000000,0.5329195742315255
KOSDAQ,005710,2025,대원산업(주),,,mid_sized,2024,584505571,20037600,14160,283732416000,0.48542294560952953
KOSDAQ,005860,2025,한일사료(주),,,mid_sized,2024,164675147,39403685,3070,120969312950,0.7345936235903284
KOSDAQ,005990,2025,매일홀딩스(주),,,mid_sized,2024,856077494,13298304,11070,147212225280,0.17196133096801164
KOSDAQ,006050,2025,(주)국영지앤엠,,,small_and_medium,2024,,34895243,1311,45747663573,
