feature,importance
OperINC_InterEXP_Ratio_win,0.13411741
OCF_InterEXP_Ratio_win,0.09110548
NI_INC,0.0622937
InterEXP_SalesINC_Ratio_win,0.04005491
Total_EQ,0.037554324
NI_SalesINC_Ratio_win,0.036202036
OCF_3Y_Mean,0.028518148
Current_AST,0.02582555
log_Total_AST,0.023242295
firm_age,0.018112132
SalesINC_Growth_Missing,0.018062258
OperINC_InterEXP_Ratio_Trend_Missing,0.018023804
WorkingCapital_TotalAST_Ratio_win,0.01757442
TD_TotalAST_Ratio_win,0.01750373
Interest_EXP,0.016461195
CurAST_CurLIAB_Ratio_win,0.015862951
OperINC_InterEXP_Ratio_Trend,0.01575761
Current_LIAB,0.015044248
Operating_INC,0.014575083
Debt_Ratio_win,0.014516863
OperINC_SalesINC_Ratio_win,0.014509671
TotalEQ_TotalAST_Ratio_win,0.014384908
CCE_CurLIAB_Ratio_win,0.014368406
OperINC_Growth_win,0.013762127
NetDebt_TotalAST_Ratio_win,0.013527821
SalesINC_Growth_win,0.012991361
Sales_INC,0.01298864
OCF_TotalLIAB_Ratio_win,0.012843551
INVAST_TotalAST_Ratio_win,0.01280008
GrossINC_SalesINC_Ratio_win,0.012564732
BaseRate,0.012477182
OCF,0.012272644
TD,0.01179178
Total_AST,0.011717175
OCF_TD_Ratio_win,0.011478866
firm_history_len,0.011223352
USDKRW,0.011201084
ContractAST_SalesINC_Ratio_win,0.011158724
Spread_Quality,0.010716392
OCF_SalesINC_Ratio_win,0.010596457
ShortLIAB_TD_Ratio_win,0.010515605
Total_LIAB,0.010371531
TradeAST_TotalAST_Ratio_win,0.009671015
3YRate_CorpBond_BBB,0.00955526
3YRate_CorpBond_AA,0.009049083
OperINC_Growth_Missing,0.008985692
PPI,0.008555452
OperINC_Growth_Neg_2Y_Flag,0.008401616
3YRate_KTB,0.008021064
Spread_Credit,0.007090561
AO_Missing_Flag,0.0
AO_NonClean_Flag,0.0
ZeroInterestExpense_Flag,0.0
CapitalImpairment_Flag,0.0
OCF_Neg,0.0
OCF_Neg_2Y_Flag,0.0
